'an'hao 案号
'an'juan 案卷
'an'quan'zhang'hu 安全账户
'ban'hen'chang'du 瘢痕长度
'ban'ma'xian 斑马线
'ban'quan 版权
'bang'gong 帮工
'bang'ming'pai 傍名牌
'bang'xin'zui 帮信罪
'bang'zhu'xin'xi'wang'luo'fan'zui'huo'dong 帮助信息网络犯罪活动
'bang'zhu'xin'xi'wang'luo'fan'zui'huo'dong'zui 帮助信息网络犯罪活动罪
'bao'bi 包庇
'bao'chi'su'jing 保持肃静
'bao'dan 保单
'bao'gao'cai'chan'ling 报告财产令
'bao'hu'fan'wei 保护范围
'bao'hu'san 保护伞
'bao'hu'zuo'pin'wan'zheng'quan 保护作品完整权
'bao'lei 暴雷
'bao'mi'xie'yi 保密协议
'bao'wai'jiu'yi 保外就医
'bao'xian'biao'zhi 保险标志
'bao'zheng'shu 保证书
'bei'xuan'ju'quan 被选举权
'bei'zhu 备注
'ben'an'shi'yong'fa'lv'tiao'kuan 本案适用法律条款
'ben'jian'yu'yuan'jian'he'dui'wu'yi 本件与原件核对无异
'bi'feng'gang'yuan'ze 避风港原则
'bi'gu'gu'zhe 鼻骨骨折
'bi'he'xing'lu'nao'sun'shang 闭合性颅脑损伤
'bi'lu'qian'zi 笔录签字
'bi'te'bi 比特币
'bi'xu 必须
'bian'geng 变更
'bian'geng'che'dao 变更车道
'bian'mai 变卖
'bian'zao 变造
'biao'xian 标线
'bing'li'zi'liao 病历资料
'bo'duo'zheng'zhi'quan'li 剥夺政治权利
'bo'hui 驳回
'bu'chang'kuan 补偿款
'bu'chong'zhen'cha 补充侦查
'bu'dan'er'qie 不但而且
'bu'de'fa'yan 不得发言
'bu'de'lu'yin'lu'xiang 不得录音录像
'bu'de'she'ying 不得摄影
'bu'fen'hu'li'yi'lai 部分护理依赖
'bu'fu 不符
'bu'jiao 补缴
'bu'qi'su'jue'ding'shu 不起诉决定书
'bu'ru'qi 哺乳期
'bu'tie 补贴
'bu'wei'fan'fa'lv'gui'ding 不违反法律规定
'bu'xi'fei 补习费
