'an'quan'sheng'chan 安全生产
'bao'gao'bao'song 报告报送
'bao'hu'guo'jia 保护国家
'bao'zheng'gong'cheng'xiang'mu 保证工程项目
'bao'zhi'zeng'zhi 保值增值
'bi'xu'zhao'biao 必须招标
'bian'zhi'que'ding 编制确定
'biao'di'ping'biao 标底评标
'biao'jue'quan'zu'yi 表决权足以
'biao'zhun'bian'hua 标准变化
'biao'zhun'gui'ding 标准规定
'biao'zhun'ping'xuan 标准评选
'cai'gou'dan'xiang 采购单项
'cai'gou'fan'wei 采购范围
'cai'gou'zhao'biao 采购招标
'cai'liao'cai'gou 材料采购
'cai'liao'huo'wu 材料货物
'cai'wu'yu'suan 财务预算
'can'zhao'zhi'xing 参照执行
'ce'hua'zi'jin 策划资金
'chan'neng'guo'sheng 产能过剩
'chan'pin'pin'zhong 产品品种
'chan'quan'fei'zhuan'li 产权非专利
'chang'huan'zhai'wu 偿还债务
'chang'huan'zi'chan 偿还资产
'cheng'guo'te'bie 成果特别
'cheng'jian'dan'xiang 城建单项
'cheng'shi'gui'dao'jiao'tong 城市轨道交通
'chi'you'gu'fen 持有股份
'chou'bei'zu'jian 筹备组建
'chou'cuo'jian'she 筹措建设
'chou'cuo'jian'she'zi'jin 筹措建设资金
'chou'hui'xin'yong 抽回信用
'chu'bu'she'ji 初步设计
'chu'zi'zi'ge 出资资格
'da'dao'biao'zhun 达到标准
'da'xing'ji'chu'she'shi 大型基础设施
'da'zhong'xing'ji'jian 大中型基建
'dai'biao'zu'cheng 代表组成
'dai'kuan'yuan'zhu 贷款援助
'dai'kuan'zhai'wu 贷款债务
'dan'wei'bian'zhi 单位编制
'dan'wei'zhi'ze 单位职责
'dan'xiang'gong'cheng 单项工程
'di'gu'gao'xin'ji'shu 低估高新技术
'di'wei'chu'zi'e 地位出资额
'dian'jie'lv'shui'ni 电解铝水泥
'dian'li'bi'yao'tiao'jian 电力必要条件
'ding'yuan'ding'e 定员定额
'dong'shi'hui'jue'ding 董事会决定
'dong'shi'hui'pin'ren 董事会聘任
'dong'shi'hui'shen'cha 董事会审查
'du'li'xing 独立性
'duo'jing'gui'qi'ta 多晶硅其他
'fa'ding'zhi'ze 法定职责
'fa'gui'ping'gu 法规评估
'fa'lv'di'wei 法律地位
'fa'lv'fa'gui 法律法规
'fa'lv'ze'ren 法律责任
'fa'zhan'ji'chu 发展基础
'fan'wei'gui'ding 范围规定
'fang'zhen'an'shi 方针按时
'fei'zhai'wu'xing 非债务性
'fen'chang'yuan'qi 分厂原企
'fen'gong'si'she 分公司设
'fu'wu'huo'dong 服务活动
'fu'wu'xing 服务性
'gai'ge'wei'ling 改革委令
'gai'ge'wei'xiang'guan 改革委相关
'gai'suan'fan'wei 概算范围
'gai'suan'tiao'zheng 概算调整
'gai'suan'wen'jian 概算文件
'gang'kou'yan'hai 港口沿海
'gao'ji'guan'li'ren'yuan 高级管理人员
'ge'ti'si'ying 个体私营
'gong'cheng'fan'wei 工程范围
'gong'cheng'jian'li 工程监理
'gong'cheng'jian'she 工程建设
'gong'cheng'she'ji 工程设计
'gong'cheng'xiang'mu 工程项目
'gong'gong'li'yi 公共利益
'gong'ping'xing 公平性
'gong'si'chong'xin 公司重新
'gong'si'she'li 公司设立
'gong'si'zi'ben 公司资本
'gong'ye'yu'mi 工业玉米
'gong'yi'liu'cheng 工艺流程
'gong'yi'xing 公益性
'gong'yong'shi'ye 公用事业
'gong'zhong'an'quan 公众安全
'gong'zi'fu'li 工资福利
'gu'ben'zong'e 股本总额
'gu'ding'zi'chan 固定资产
'gu'dong'hui'gu'dong'da'hui 股东会股东大会
'gu'fen'you'xian 股份有限
'gu'fen'you'xian'gong'si 股份有限公司
'guan'li'ji'ben 管理基本
'guan'li'ren'yuan 管理人员
'guan'xi'she'hui 关系社会
'gui'ding'bi'li 规定比例
'gui'fan'xing'wei 规范行为
'guo'ji'zu'zhi 国际组织
'guo'jia'fa'zhan 国家发展
'guo'jia'rong'zi 国家融资
'guo'you'qi'ye 国有企业
'guo'you'zi'jin 国有资金
'hang'ye'gang'tie 行业钢铁
'he'tong'gu'suan'jia 合同估算价
'he'tong'guan'li 合同管理
'he'tong'guan'li'zhi 合同管理制
'he'tong'wen'jian 合同文件
'ji'ben'bao'zhang 基本保障
'ji'ben'yuan'ze 基本原则
'ji'chang'fang'di'chan 机场房地产
'ji'chu'huo'bi 基础货币
'ji'chu'she'shi 基础设施
'ji'gou'fa'lv 机构法律
'ji'hua'luo'shi 计划落实
'ji'hua'mu'biao 计划目标
'ji'hua'qi'ye 计划企业
'ji'hua'zu'zhi 计划组织
'ji'shu'tu'di 技术土地
'jia'fei'chu'wai 钾肥除外
'jian'li'dan'wei 监理单位
'jian'she'bao'zheng 建设保证
'jian'she'biao'zhun 建设标准
'jian'she'dan'wei 建设单位
'jian'she'ji'chu'she'shi 建设基础设施
'jian'she'jin'du 建设进度
'jian'she'sheng'chan 建设生产
'jiao'tan'huang'lin 焦炭黄磷
'jiao'tong'ji'chu 交通基础
'jie'pin'gao'ji 解聘高级
'jin'du'kong'zhi 进度控制
'jin'xing'zhao'biao 进行招标
'jing'ji'xiao'yi 经济效益
'jing'ying'xing 经营性
'jing'ying'xing'gong'cheng 经营性工程
'jing'ying'zhai'wu 经营债务
'jue'suan'gui'huan 决算归还
'jue'yi'zhong'da'ying'xiang 决议重大影响
'jun'gong'yan'shou 竣工验收
'kai'fa'bao'zhang'xing 开发保障性
'kai'gong'bao'gao 开工报告
'kan'cha'she'ji 勘察设计
'ke'xing'xing'yan'jiu 可行性研究
'ke'xue'xing 科学性
'kong'gu'zhu'dao 控股主导
'lai'yuan'bi'li 来源比例
'li'yi'ti'gao 利益提高
'mei'tan'dian'shi 煤炭电石
'nei'bu'ji'gou 内部机构
'nei'he'hang'yun 内河航运
'neng'yuan'jiao'tong 能源交通
'nian'du'tou'zi 年度投资
'pai'qian'zhuan'zhi 派遣专职
'pei'xun'ren'yuan 培训人员
'pi'zhun'shou'quan'chu'li 批准授权处理
'pin'ren'jie'pin 聘任解聘
'pu'di'liu'dong'zi'jin 铺底流动资金
'qiang'zhi'jian'li 强制监理
'quan'bu'bu'fen 全部部分
'quan'guo'cheng'fu'ze 全过程负责
'quan'mian'fu'ze 全面负责
'ren'jiao'chu'zi'e 认缴出资额
'ren'min'bi'yi'shang 人民币以上
'ren'yuan'zhi'ze 人员职责
'shang'pin'zhu'fang 商品住房
'she'bei'cai'liao 设备材料
'she'bei'xuan'xing 设备选型
'she'hui'gong'gong 社会公共
'she'hui'hua 社会化
'she'ji'ju'bu 设计局部
'she'ji'tiao'zheng 设计调整
'she'li'chou'bei 设立筹备
'she'shi'xiang'mu 设施项目
'she'zhi'lao'dong 设置劳动
'shen'he'shang'bao 审核上报
'shen'jia'gong'hua'fei 深加工化肥
'shen'pi'cheng'li 审批成立
'shen'qing'bao'gao 申请报告
'sheng'chan'jing'ying 生产经营
'sheng'chan'zhun'bei 生产准备
'shi'gong'dan'xiang 施工单项
'shi'gong'dui'wu 施工队伍
'shi'gong'jian'li 施工监理
'shi'gong'jie'duan 施工阶段
'shi'ji'zhi'pei 实际支配
'shi'jian'bao'gao 事件报告
'shi'sheng'chan 试生产
'shi'shi'kong'zhi 实施控制
'shi'shi'nian'du 实施年度
'shi'shi'qian'ti 实施前提
'shi'shi'sheng'chan 实施生产
'shi'shi'yi'ju 实施依据
'shi'wu'gong'ye 实物工业
'shi'ye'dan'wei 事业单位
'shi'yong'guo'you 使用国有
'shi'yong'quan'zuo'jia 使用权作价
'suo'you'zhe'quan'yi 所有者权益
'tiao'zheng'sheng'chan 调整生产
'tie'he'jin'shao'jian 铁合金烧碱
'tie'lu'gong'lu 铁路公路
'tong'xin'shui'li 通信水利
'tong'zhi'gui'ding 通知规定
