'an'gou 暗沟
'an'gou'she'zhi 暗沟设置
'an'tang 暗塘
'ba'lei'tu 八类土
'ban'chang 板长
'ban'di'tuo'kong 板底脱空
'ban'gan'han'ping'yuan'di'qu 半干旱平原地区
'ban'gang'xing'cai'liao 半刚性材料
'ban'gang'xing'dian'ceng 半刚性垫层
'ban'gang'xing'ji'ceng 半刚性基层
'ban'gu'ti'zhuang'tai 半固体状态
'ban'hou'gai'bian'chu 板厚改变处
'ban'jian'ying'zhuang'tai 半坚硬状态
'ban'kai'ji'pei 半开级配
'ban'lu'qian 半路堑
'ban'shan'dong 半山峒
'ban'tian'ban'wa'lu'ji 半填半挖路基
'ban'zhuang'yue'shu 板桩约束
'bao'he'nian'xing'tu 饱和黏性土
'bao'he'ruan'ruo'tu'ceng 饱和软弱土层
'bao'mo'shui 薄膜水
'bao'mo'yue'shu 薄膜约束
'bao'po'ji'mi 爆破挤密
'bian'gou 边沟
'bian'ping'ke'li 扁平颗粒
'bian'po'jiao'dou 边坡较陡
'bian'xing'chan'sheng 变形产生
'bian'xing'liang'kong'zhi 变形量控制
'bian'yuan'pai'shui'xi'tong 边缘排水系统
'biao'ceng'di'ji'ya'shi 表层地基压实
'biao'mian'ceng 表面层
'biao'mian'nai'mo 表面耐磨
'bing'dong'di'qu 冰冻地区
'bing'hai 病害
'bu'jun'yun'bian'xing 不均匀变形
'bu'jun'yun'dong'zhang 不均匀冻胀
'bu'liang'tu'zhi'lu'ji'chu'li 不良土质路基处理
'bu'liang'tu'zhi'lu'ji'chu'li'fen'lei 不良土质路基处理分类
'bu'tou'shui'di'ji'ceng 不透水底基层
'bu'tou'shui'xing'hao 不透水性好
'cai'zhi 材质
'chan'ru'shui'ni 掺入水泥
'chang'jian'shi'gong'an'quan'shi'gu'ji'yu'fang 常见施工安全事故及预防
'chang'shui'wei'bian'hua 常水位变化
'chang'yong'lu'ji'tu'de'zhu'yao'xing'neng'can'shu 常用路基土的主要性能参数
'chang'zhan'gong'cheng'shi'gong 厂站工程施工
'chao'shi'huang'tu 潮湿黄土
'chao'shi'lu'duan 潮湿路段
'chao'zai'yu'ya 超载预压
'che'liang'xing'shi'ji'chu'tiao'jian 车辆行驶基础条件
'che'zai'zuo'yong 车载作用
'chen'jiang'fa'zhan'jia'su 沉降发展加速
'chen'jiang'liang'jian'xiao 沉降量减小
'chen'xian 沉陷
'cheng'fen 成分
'cheng'shi'ci'gan'lu 城市次干路
'cheng'shi'ci'gan'lu'yi'xia'dao'lu'mian'ceng 城市次干路以下道路面层
'cheng'shi'dao'lu'gong'cheng'she'ji'gui'fan 城市道路工程设计规范
'cheng'shi'dao'lu'guan'li'de'you'guan'gui'ding 城市道路管理的有关规定
'cheng'shi'dao'lu'shi'yong'gong'neng 城市道路使用功能
'cheng'shi'gei'shui'pai'shui'chu'li'chang'zhan'gong'cheng 城市给水排水处理厂站工程
'cheng'shi'gei'shui'pai'shui'guan'dao'gong'cheng 城市给水排水管道工程
'cheng'shi'gong're'guan'dao'gong'cheng 城市供热管道工程
'cheng'shi'guan'dao'gong'cheng 城市管道工程
'cheng'shi'guan'dao'gong'cheng'an'quan'zhi'liang'kong'zhi 城市管道工程安全质量控制
