'ai'deng 爱灯
'ai'mao 爱猫
'ai'su 爱素
'ai'xi 爱希
'ai'xiang 爱祥
'ai'yin 爱音
'ba'fan'hai'ling 八幡海铃
'bi'tian'ban'zou 碧天伴走
'bu'shi'dao 步拾道
'can'hen'zi 残痕字
'chang'qi'shuang'shi 长崎爽世
'chang'qi'su'shi 长崎素世
'chu'hua 初华
'chu'jiu'sheng 処救生
'chu'xiang 初祥
'chun'ri'ying 春日影
'da'miao 大喵
'deng'mao 灯猫
'deng'xi 灯希
'duan'cheng'shan 端程山
'fen'yin'da 焚音打
'feng'chuan'xiang'zi 丰川祥子
'gao'song'deng 高松灯
'ge'qi'ming 歌齐鸣
'gu'huai'lao 孤坏牢
'guo'duo'huan 过惰幻
'hai'ling 海玲
'hui'ceng'fu 回层浮
'jing'jiang'xiang 静降想
'le'nai 乐奈
'li'xi 立希
'lun'fu'yu 轮符雨
'mao'mu 猫睦
'mao'xi 猫希
'meng'du'tu'xi 猛独突袭
'mi'lu'ri'ri 迷路日日
'mi'xing'jiao 迷星叫
'miao'hui'wei'lai 描绘未来
'miao'meng 喵梦
'ming'wu'sheng 名无声
'ming'xian'yin 明弦音
'mu'zi'mi 睦子米
'qian'zai'biao'ming 潜在表明
'qian'zao'ai'yin 千早爱音
'ruo'mai 若麦
'ruo'ye'mu 若叶睦
'san'jiao'chu'hua 三角初华
'san'jiao'chu'yin 三角初音
'sha'cun'zou 砂寸奏
'shi'chao'ban 诗超绊
'shuang'shi 爽世
'su'mu 素睦
'su'shi 素世
'su'xiang 素祥
'wang'lan'yin 往栏印
'wu'lu'shi 无路矢
'wu'zhou'tu 雾周途
'xi'hai 希海
'xiang'mu 祥睦
'xiang'zi 祥子
'yao'le'nai 要乐奈
'ye'yin'ran 夜隐染
'yi'na'kong 壱雫空
'yin'yi'hui 音一会
'ying'se'wu 影色舞
'you'tian'si'ruo'mai 祐天寺若麦
'yu'ri'jian'qiu 聿日笺秋
'zhang'xin'zheng'ming 掌心正铭
'zhui'ming'li'xi 椎名立希
