'an'niu 按钮
'bang'zhu'wen'jian 帮助文件
'bao'cun 保存
'bao'cun'dian 保存点
'bao'rong 包容
'bei'fen 备份
'bei'fen'she'bei 备份设备
'bei'fen'wen'jian 备份文件
'bei'jing 背景
'ben'di'de 本地的
'ben'di'ma 本地码
'ben'ji'ma 本机码
'bian'cheng 编程
'bian'jie'jian'cha 边界检查
'bian'kuang 边框
'bian'li 遍历
'bian'lian 编连
'bian'liang 变量
'bian'yi'ji'shi'bian'yi 编译即时编译
'bian'yi'qi 编译器
'bian'yi'qi 编译期
'bian'yi'shi 编译时
'biao'da'shi 表达式
'biao'di 标的
'biao'ji 标记
'biao'ji'yue'shu 表级约束
'biao'shu 表述
'biao'xian 表现
'biao'zhi'fu 标识符
'bie'ming 别名
'bing'fa 并发
'bing'fa'ji'zhi 并发机制
'bing'xing 并行
'bu'bian'xing 不变性
'bu'er'zhi 布尔值
'bu'jian 部件
'bu'shu 部署
'cai'dan 菜单
'cai'yong'shuang'zi'jie'dui'zi'fu'jin'xing'bian'ma 采用双字节对字符进行编码
'can'kao 参考
'can'shu 参数
'can'shu'hua 参数化
'can'shu'lie'biao 参数列表
'cao'zuo 操作
'cao'zuo'fu 操作符
'cao'zuo'xi'tong 操作系统
'ceng'ci'jie'gou 层次结构
'ceng'ci'shi'shu'ju 层次式数据
'ceng'li 层例
'cha'jian 插件
'cha'xun'yu'ji'cheng 查询与集成
'cha'zhao 查找
'cha'zhao'biao 查找表
'chai'xiang 拆箱
'chai'xiang'zhuan'huan 拆箱转换
'chang'liang 常量
'chang'shang 厂商
'chao'lian'jie 超链接
'chao'wen'ben'biao'ji'yu'yan 超文本标记语言
'che'xiao 撤销
'cheng'fen 成分
'cheng'xu'she'ji 程序设计
'cheng'xu'yuan 程序员
'cheng'yuan 成员
'cheng'yuan'chu'shi'zhi'lie'biao 成员初始值列表
'cheng'yuan'han'shu 成员函数
'cheng'yuan'qu'yong'yun'suan'zi 成员取用运算子
'chi'hua 池化
'chi'jiu'xing 持久性
'chong'ding'xiang 重定向
'chong'gou 重构
'chong'xin'ding'yi 重新定义
'chong'zai 重载
'chou'xiang 抽象
'chou'xiang'de 抽象的
'chou'xiang'ji'lei 抽象基类
'chou'xiang'lei 抽象类
'chou'xiang'wu 抽象物
'chou'xiang'xing 抽象性
'chu'fa'qi 触发器
'chu'li'qi 处理器
'chu'shi'hua 初始化
'chu'shi'hua'lie'biao 初始化列表
'chu'shi'zhi'lie'biao 初始值列表
'chuan'hang 串行
'chuan'shu'kong'zhi'xie'yi 传输控制协议
'chuang'jian 创建
'chuang'kou 窗口
'chuang'kou'guo'cheng 窗口过程
'chuang'kou'han'shu 窗口函数
'chuang'ti 窗体
'cun'chu'guo'cheng 存储过程
'cun'dang'wen'jian 存档文件
'cun'gen 存根
'cun'qu 存取
'cuo'wu'ri'zhi 错误日志
'da'bao 打包
'da'kuo'hao 大括号
'da'yin 打印
'da'yin'ji 打印机
'dai'ma'fang'wen'an'quan 代码访问安全
'dai'ma'ye 代码页
'dan'can'han'shu 单参函数
'dan'ci 单词
'dan'xian'cheng 单线程
'dan'xuan'an'niu 单选按钮
'dang'qie'jin'dang 当且仅当
'dao'chu 导出
'dao'ru 导入
'deng'hao'cao'zuo'fu 等号操作符
'deng'ji 等级
'deng'lu 登录
'deng'lu'an'quan'mo'shi 登录安全模式
'di'gui 递归
'di'san'fang 第三方
'di'zhi 地址
'di'zhi'kong'jian 地址空间
'dian'cao'zuo'fu 点操作符
'dian'zi'shang'wu 电子商务
'diao'du 调度
'diao'du'cheng'xu 调度程序
'diao'yong 调用
'diao'yong'cao'zuo'fu 调用操作符
'die'dai 迭代
'die'dai'de 迭代的
'die'dai'qi 迭代器
'ding'yi 定义
'ding'zhi 定制
'dong'tai'chao'wen'ben'biao'ji'yu'yan 动态超文本标记语言
'dong'zuo 动作
'du'li'ji 独立集
'duan'dian 断点
'duan'dui'duan'shen'fen'yan'zheng 端对端身份验证
'duan'kou 端口
'duan'yan 断言
'dui'hua'kuang 对话框
'dui'lie 队列
'dui'qi 对齐
'dui'xiang 对象
'dui'xiang'mo'xing 对象模型
'dui'zhan 堆栈
'duo'dian'wei'tuo 多点委托
'duo'dui'duo'guan'xi 多对多关系
'duo'dui'yi'guan'xi 多对一关系
'duo'ren'wu 多任务
'duo'tai 多态
'duo'wei'shu'ju'ji 多维数据集
'duo'xian'cheng 多线程
'duo'xian'cheng'fu'wu'qi'ying'yong'cheng'xu 多线程服务器应用程序
'duo'yong'hu 多用户
'fan'fu'de 反复的
'fan'hua'de 泛化的
'fan'hui 返回
'fan'hui'bian'qi 反汇编器
'fan'hui'lei'xing 返回类型
'fan'hui'zhi 返回值
'fan'she 反射
'fan'wei 范围
'fan'xing 泛型
'fang'han'shu 仿函数
'fang'huo'qiang 防火墙
'fang'kuo'hao 方括号
'fang'wen 访问
'fang'wen'han'shu 访问函数
'fang'wen'ji'bie 访问级别
'fei'shou'kong'dai'ma 非受控代码
'fei'tuo'guan'dai'ma 非托管代码
'fen'bu'shi 分布式
'fen'bu'shi'cha'xun 分布式查询
'fen'bu'shi'ji'suan 分布式计算
'fen'bu'shi'wang'jian'ying'yong'cheng'xu 分布式网间应用程序
'fen'lei 分类
'fen'pai 分派
'fen'pei 分配
'fen'pei'qi 分配器
'fen'zu'kuang 分组框
'feng'zhuang 封装
'fu'gai 覆盖
'fu'he 复合
'fu'he'jian 复合键
'fu'he'suo'yin 复合索引
'fu'jia 附加
'fu'lei 父类
'fu'wu 服务
'fu'wu'duan 服务端
'fu'wu'qi 服务器
'fu'xie 覆写
'fu'xuan'an'niu 复选按钮
'fu'xuan'kuang 复选框
'fu'zai'ping'heng 负载平衡
'fu'zhi 赋值
'fu'zhi'cao'zuo'fu 赋值操作符
'fu'zuo'yong 副作用
'gai'nian 概念
'gang'mu'jie'gou 纲目结构
'gao'ceng 高层
'gao'ji'de 高级的
'gao'jie 高阶
'gao'su'huan'cun 高速缓存
'gao'xiao 高效
'ge'li'ji'bie 隔离级别
'gen'zong 跟踪
'gong'cheng 工程
'gong'cheng'an'pai 工程安排
'gong'neng 功能
'gong'zuo'qie'huan 工作切换
'gou'jian 构件
'gou'zao 构造
'gou'zao'han'shu 构造函数
'gou'zao'qi 构造器
'gou'zi 钩子
'gua'qi 挂起
'guan'dao 管道
'guan'xi'shu'ju'ku 关系数据库
'guang'biao 光标
'gui'dang'wen'jian 归档文件
'gui'fan 规范
'gui'ge 规格
'gui'huan 归还
'gun'dong'tiao 滚动条
'guo'cheng 过程
'ha'xi'biao 哈希表
'han'gai 涵盖
'han'shu 函数
'han'shu'diao'yong'cao'zuo'fu 函数调用操作符
'han'shu'dui'xiang 函数对象
'han'shu'mu'ban 函数模板
'he'ge'de 合格的
'hou'tai 后台
'hou'xuan'jian 候选键
'hou'zhui 后缀
'hu'cao'zuo'neng'li 互操作能力
'hu'cao'zuo'xing 互操作性
'hu'chi'ti 互斥体
'hu'chi'yuan 互斥元
'hua'kuai 滑块
'hua'kuo'hao 花括号
'huan'jing 环境
'hui'gun 回滚
'hui'hua 会话
'hui'tiao 回调
'huo'dong'de 活动的
'huo'suo 活锁
'ji'ben'shu'ju'jie'gou 基本数据结构
'ji'cheng 继承
'ji'cheng 集成
'ji'cheng'ji'zhi 继承机制
'ji'cheng'kai'fa'huan'jing 集成开发环境
'ji'cheng'ti'xi 继承体系
'ji'cun'qi 寄存器
'ji'hao 记号
'ji'he 集合
'ji'he'fu'gai 集合覆盖
'ji'he'pei'zhi 集合配置
'ji'he'yu'chuan'de'wen'ti 集合与串的问题
'ji'huo 激活
'ji'lei 基类
'ji'lei'ku 基类库
'ji'lei'xing 基类型
'ji'lian'geng'xin 级联更新
'ji'lian'shan'chu 级联删除
'ji'lu 记录
'ji'lu'ji 记录集
'ji'qi'dai'ma 机器代码
'ji'qi'ma 机器码
'ji'shi'geng'xin 即时更新
'ji'yu'dui'xiang'de 基于对象的
'ji'yu'xiao'xi'de 基于消息的
'jia'gou 架构
'jia'zai 加载
'jian'cha'dian 检查点
'jian'dan'dui'xiang'fang'wen'xie'yi 简单对象访问协议
'jian'dan'you'jian'chuan'shu'xie'yi 简单邮件传输协议
'jian'kuo'hao 尖括号
'jian'lie 键列
'jian'mo 建模
'jian'mo'yu'yan 建模语言
'jian'rong 兼容
'jian'suo'shu'ju 检索数据
'jian'tie'ban 剪贴板
'jian'tou'cao'zuo'fu 箭头操作符
'jian'zhuang 健壮
'jian'zhuang'xing 健壮性
'jiao'cha'biao'cha'xun 交叉表查询
'jiao'hu 交互
'jie'ceng'shi'shu'ju 阶层式数据
'jie'gou'hua'cha'xun'yu'yan 结构化查询语言
'jie'guo'ji 结果集
'jie'kou 接口
'jie'kou'ding'yi'yu'yan 接口定义语言
'jie'ping'tu 截屏图
'jie'shi'qi 解释器
'jie'xi 解析
'jie'xi'guo'cheng 解析过程
'jie'xi'qi 解析器
'jin'cheng 进程
'jin'du'zhi'shi'qi 进度指示器
'jing'tai 静态
'ju'bing 句柄
'ju'bu'de 局部的
'ju'bu'dui'xiang 局部对象
'ju'bu'te'hua 局部特化
'ju'he 聚合
'ju'ji 聚集
'ju'ti'de 具体的
'ju'ti'lei 具体类
'ju'xian'hua 具现化
'ju'xian'hua'shi'ti 具现化实体
'ju'xian'ti 具现体
'jue'yi 决议
'kao'bei 拷贝
'ke'bian'de 可变的
'ke'hu 客户
'ke'hu'duan 客户端
'ke'hu'duan'ying'yong'cheng'xu 客户端应用程序
'ke'hu'duan'you'biao 客户端游标
'ke'hu'ji 客户机
'ke'hu'qu 客户区
'ke'jing'you'liu'lan'qi'fang'wen'de'ying'yong'cheng'xu 可经由浏览器访问的应用程序
'ke'kuo'zhan'biao'ji'yu'yan 可扩展标记语言
'ke'kuo'zhan'de 可扩展的
'ke'kuo'zhan'yang'shi'biao'yu'yan 可扩展样式表语言
'ke'kuo'zhan'yang'shi'biao'yu'yan'zhuan'huan 可扩展样式表语言转换
'ke'long 克隆
'ke'man'zu'xing 可满足性
'ke'shen'suo'de 可伸缩的
'ke'xing'de 可行的
'kong'jian 控件
'kong'xian'shi'jian 空闲时间
'kong'zhi'tai 控制台
'kuai'zhao 快照
'kuang'jia 框架
'la'ji'hui'shou 垃圾回收
'la'ji'shou'ji 垃圾收集
'lei'ceng'ci'jie'gou 类层次结构
'lei'chang 类厂
'lei'ding'yi 类定义
'lei'ji'cheng'lie'biao 类继承列表
'lei'ku 类库
'lei'mu'ban 类模板
'lei'mu'ban'bu'fen'te'hua 类模板部分特化
'lei'mu'ban'te'hua 类模板特化
'lei'sheng'ming 类声明
'lei'xing 类型
'lei'zhuang'zai'qi 类装载器
'li'cheng 例程
'lian'biao 链表
'lian'he'cha'xun 联合查询
'lian'jie 连接
'lian'jie 链接
'lian'jie'chi 连接池
'lian'jie'qi 连接器
'lian'jie'qi 链接器
'lian'tong'fen'zhi 连通分支
'lie'biao 列表
'lie'biao'kuang 列表框
'lie'ji 列集
'lin'shi'biao 临时表
'lin'shi'dui'xiang 临时对象
'ling'jian 零件
'liu'lan'qi'ying'yong 浏览器应用
'mei'ju 枚举
'mei'ju'cheng'yuan 枚举成员
'mei'ju'qi 枚举器
'mi'feng'lei 密封类
'mi'ma 密码
'mian'xiang'dui'xiang'de 面向对象的
'miao'shu'yu'yan 描述语言
'ming'ling'hang 命令行
'ming'ming'can'shu 命名参数
'ming'ming'guan'dao 命名管道
'ming'ming'kong'jian 命名空间
'ming'zi'kong'jian 名字空间
'mo'hu'pi'pei 模糊匹配
'mo'kuai 模块
'mo'ren'jie'guo'ji 默认结果集
'mo'ren'shi'li 默认实例
'mo'ren'shu'ju'ku 默认数据库
'mo'ren'yue'shu 默认约束
'mo'ren'zhi 默认值
'mo'shi 模式
'mo'shi'ding'yi'yu'yan 模式定义语言
'mo'shi'pi'pei 模式匹配
'mu'ban 模板
'mu'biao 目标
'mu'lu 目录
'nei'cun 内存
'nei'cun'xie'lou 内存泄漏
'nei'jian 内建
'nei'lian 内联
'nei'lian'jie 内联接
'nei'lian'zhan'kai 内联展开
'nei'zhi 内置
'pai'fa 派发
'pai'lie 排列
'pai'sheng'lei 派生类
'pai'xu 排序
'pang'ke'hu'duan 胖客户端
'pao'chu 抛出
'pei'zhi 配置
'pei'zhi'qi 配置器
'pi'chu'li 批处理
'pi'pei 匹配
'ping'gu 评估
'ping'mu 屏幕
'ping'tai 平台
'ping'zhu 评注
'qian'gun 前滚
'qian'ming 签名
'qian'tao'biao 嵌套表
'qian'tao'cha'xun 嵌套查询
'qian'tao'lei 嵌套类
'qian'zhi'sheng'ming 前置声明
'qian'zhui 前缀
'qie'fen'chuang'kou 切分窗口
'qing'chu 清除
'qing'li 清理
'qu'dong 驱动
'qu'dong'cheng'xu 驱动程序
'qu'jian 区间
'qu'kuai 区块
'qu'zhi'han'shu 取值函数
'quan'ju'de 全局的
'quan'ju'dui'xiang 全局对象
'quan'qiu'wei'yi'biao'zhi'fu 全球唯一标识符
'que'sheng 缺省
'que'xian'cuo'wu 缺陷错误
're'jian 热键
'ri'li 日历
'ri'qi 日期
'ri'zhi 日志
'rong'qi 容器
'ruan'jian 软件
'ruan'jian'kai'fa'bao 软件开发包
'san'ji 散集
'san'lie'biao 散列表
'shai'xuan 筛选
'shan'cun 闪存
'shang'wu 商务
'shang'xia'wen 上下文
'shang'xian'yi'wei 上限溢位
'she'bei 设备
'she'ji'mo'shi 设计模式
'she'zhi'han'shu 设值函数
'shen'fen'yan'zheng 身份验证
'sheng'cheng 生成
'sheng'cun'kong'jian 生存空间
'sheng'ming 声明
'sheng'ming'qi 生命期
'shi'can 实参
'shi'jian 事件
'shi'jian'chu'li'qi 事件处理器
'shi'jian'qu'dong'de 事件驱动的
'shi'li 实例
'shi'pei'qi 适配器
'shi'pin 视频
'shi'ti 实体
'shi'ti'hua 实体化
'shi'tu 视图
'shi'wu 事务
'shi'wu'hui'gun 事务回滚
'shi'wu'ri'zhi 事务日志
'shi'xian 实现
'shi'xian'pin 实现品
'shou'ke'hu'duan 瘦客户端
'shou'kong'dai'ma 受控代码
'shou'kong'dui'xiang 受控对象
'shou'kong'kuo'chong'jian 受控扩充件
'shou'ming 寿命
'shou'quan 授权
'shu'biao 鼠标
'shu'ju 数据
'shu'ju'bang'ding 数据绑定
'shu'ju'biao 数据表
'shu'ju'cao'zuo'yu'yan 数据操作语言
'shu'ju'cheng'yuan'cheng'yuan'bian'liang 数据成员成员变量
'shu'ju'dui'xiang 数据对象
'shu'ju'guan'xi'tu 数据关系图
'shu'ju'ji 数据集
'shu'ju'jie'gou 数据结构
'shu'ju'ku 数据库
'shu'ju'ku'dui'xiang 数据库对象
'shu'ju'ku'gong'cheng 数据库工程
'shu'ju'ku'guan'li'xi'tong 数据库管理系统
'shu'ju'ku'jia'gou 数据库架构
'shu'ju'ku'jiao'ben 数据库脚本
'shu'ju'ku'jue'se 数据库角色
'shu'ju'ku'mo'shi 数据库模式
'shu'ju'ku'mu'lu 数据库目录
'shu'ju'ku'suo'you'zhe 数据库所有者
'shu'ju'ku'wen'jian 数据库文件
'shu'ju'lian'jie 数据连接
'shu'ju'wan'zheng'xing 数据完整性
'shu'ju'wen'jian 数据文件
'shu'ju'yuan 数据源
'shu'ju'yuan'ming'cheng 数据源名称
'shu'ju'zi'dian 数据字典
'shu'ru'fa 输入法
'shu'xing 属性
'shu'zi'de 数字的
'shu'zu 数组
'shua'xin 刷新
'shua'xin'shu'ju 刷新数据
'shuang'zi'jie'zi'fu'ji 双字节字符集
'si'suo 死锁
'song'san'ou'he 松散耦合
'su'zhu 宿主
'suan'fa 算法
'sui'ji'shu 随机数
'sui'ji'shu'sheng'cheng 随机数生成
'suo'yin 索引
'tan'chu'shi 弹出式
'te'hua 特化
'te'xing 特性
'te'zheng 特征
'ti'jiao 提交
'ti'qu 提取
'ti'xi'jie'gou 体系结构
'tiao'kuan 条款
'tiao'se'ban 调色板
'tiao'shi 调试
'tiao'shi'qi 调试器
'tiao'zhi'jie'tiao'qi 调制解调器
'tong'pei'fu'sou'suo 通配符搜索
'tong'pei'fu'zi'fu 通配符字符
'tong'xun 通讯
'tong'yi'jian'mo'yu'yan 统一建模语言
'tong'yi'miao'shu 统一描述
'tong'yi'zi'fu'bian'ma'biao'zhun 统一字符编码标准
'tong'yi'zi'yuan'biao'zhi'fu 统一资源标识符
'tong'yi'zi'yuan'ding'wei'qi 统一资源定位器
'tong'yong'de 通用的
'tong'yong'dui'xiang'qing'qiu'zhong'jie'jia'gou 通用对象请求中介架构
'tong'yong'dui'xiang'wen'jian'ge'shi 通用对象文件格式
'tong'yong'lei'xing'xi'tong 通用类型系统
'tong'yong'suan'fa 通用算法
'tong'yong'yu'yan'gui'fan 通用语言规范
'tong'yong'yu'yan'ji'chu'she'shi 通用语言基础设施
'tou'wen'jian 头文件
'tu'biao 图标
'tu'xiang 图象
'tu'xing'jie'mian 图形界面
'tui'chi 推迟
'tui'chu 退出
'tuo'guan'dai'ma 托管代码
'tuo'guan'dui'xiang 托管对象
'tuo'guan'kuo'zhan 托管扩展
'wai'guan 外观
'wai'jian 外键
'wai'lian'jie 外联接
'wan'quan'te'hua 完全特化
'wan'zheng'xing 完整性
'wan'zheng'xing'yue'shu 完整性约束
'wang'ka 网卡
'wang'luo 网络
'wang'luo'liu 网络流
'wei'hu 维护
'wei'jing'chu'li'de 未经处理的
'wei'jing'xian'ding'de 未经限定的
'wei'jing'xiu'shi'de 未经修饰的
'wei'ma 伪码
'wei'tu 位图
'wei'tuo 委托
'wei'yi'suo'yin 唯一索引
'wei'yuan'zu 位元组
'wei'zhi'cha'xun 位置查询
'wen'ben 文本
'wen'ben'wen'jian 文本文件
'wen'dang 文档
'wen'dang'dui'xiang'mo'xing 文档对象模型
'wen'dang'lei'xing'ding'yi 文档类型定义
'wen'jian 文件
'wu'xian'di'gui 无限递归
'wu'xian'xun'huan 无限循环
'xi'gou'han'shu 析构函数
'xi'gou'qi 析构器
'xi'tong'biao 系统表
'xi'tong'shu'ju'ku 系统数据库
'xia'biao'cao'zuo'fu 下标操作符
'xia'xian'yi'wei 下限溢位
'xian'cheng 线程
'xian'cheng'an'quan'de 线程安全的
'xian'shi 显式
'xian'shi'shi'wu 显式事务
'xian'shi'te'hua 显式特化
'xian'xing'gui'hua 线性规划
'xiang'dao 向导
'xiang'deng 相等
'xiang'deng'xing 相等性
'xiang'guan'de 相关的
'xiang'guan'lian'de 相关联的
'xiang'hou'jian'rong 向后兼容
'xiang'liang 向量
'xiang'mu 项目
'xiang'su 像素
'xiang'xia'jian'rong 向下兼容
'xiao'lv 效率
'xiao'xi 消息
'xiao'xi'dui'lie 消息队列
'xiao'xi'huan 消息环
'xiao'xi'jie'kou 消息接口
'xie'qi'yong 写启用
'xie'yi 协议
'xin'xi 信息
'xing'can 形参
'xing'ji 行集
'xing'shi'can'shu 形式参数
'xiu'shi'fu 修饰符
'xiu'shi'zi 修饰字
'xu'han'shu 虚函数
'xu'lie'hua 序列化
'xu'lie'shi'rong'qi 序列式容器
'xu'ni'ji 虚拟机
'xu'ni'nei'cun 虚拟内存
'xuan'xiang 选项
'xun'huan 循环
'ya'suo 压缩
'yan'zheng'fu'wu 验证服务
'ye'wu 业务
'ye'wu'gui'ze 业务规则
'ye'wu'luo'ji 业务逻辑
'yi'ban'hua'de 一般化的
'yi'bu'de 异步的
'yi'chang 异常
'yi'chang'an'quan'de 异常安全的
'yi'chang'chu'li 异常处理
'yi'chang'chu'li'ji'zhi 异常处理机制
'yi'chang'gui'fan 异常规范
'yi'chang'sheng'ming 异常声明
'yi'dui'duo'guan'xi 一对多关系
'yi'dui'yi'guan'xi 一对一关系
'yi'yuan'cao'zuo'fu 一元操作符
'yi'zhi'xing 一致性
'yin'fa 引发
