'a'gan'hui 阿甘回
'a'gan'lai 阿甘来
'a'gan'zhuan 阿甘转
'a'li'man'zhi'nu 阿里曼之怒
'a'li'man'zhi'shi 阿里曼之视
'a'wa'er'chong'ci'za'di'shang'hai 阿瓦尔冲刺砸地伤害
'a'wa'er'pu'gong'er 阿瓦尔普攻二
'a'wa'er'pu'gong'san 阿瓦尔普攻三
'a'wa'er'pu'gong'san'shang'hai 阿瓦尔普攻三伤害
'a'wa'er'pu'gong'yi 阿瓦尔普攻一
'a'wa'er'xi'qu'xiao'guo 阿瓦尔吸取效果
'a'wa'er'za'di'shang'hai 阿瓦尔砸地伤害
'a'wei'si'ta'lie'dao 阿维斯塔烈刀
'a'xu'du'wu 阿煦毒雾
'a'xu'nu 阿煦怒
'a'xu'xu 阿煦蓄
'a'xu'zhong'quan 阿煦重拳
'ai'de'bian'shen 爱的变身
'ai'hao 哀嚎
'ai'xin 爱心
'ai'xing'tang'guo 爱星糖果
'ai'zhi'ping'di'guo 爱之平底锅
'an'cang'sha'ji 暗藏杀机
'an'chao'yong'bo 暗潮涌波
'an'chen'mi'san 暗尘弥散
'an'da'xin'yue'hu 谙达心月狐
'an'ding'zhi'xi 安定之息
'an'du'bai'hong'guan'ri 暗度白虹贯日
'an'du'bing'di'duo'zhu 暗度并蒂夺株
'an'du'dan'ran'ruo'hai 暗度澹然若海
'an'du'duan'ma'cui'cheng 暗度断马摧城
'an'du'fei'hong'po'ye 暗度飞鸿破野
'an'du'feng'yuan'zhen'sha 暗度封渊震煞
'an'du'heng'sao'qian'jun 暗度横扫千军
'an'du'jian'chu'hong'meng 暗度剑出鸿蒙
'an'du'jiu'wei'fei'hua 暗度九微飞花
'an'du'li'po'wan'jun 暗度力破万钧
'an'du'ling'yun'jian 暗度凌云剑
'an'du'ling'yun'jian'po 暗度凌云剑破
'an'du'liu'huo'lian'xing 暗度流火连星
'an'du'nan'feng'tu'yue 暗度南风吐月
'an'du'nu'feng'qing'tao 暗度怒锋倾涛
'an'du'qian'long'wu'yong 暗度潜龙勿用
'an'du'qin'yin'gong'ming 暗度琴音共鸣
'an'du'qing'shan'gong'wo 暗度青山共我
'an'du'sha'xing'zai'wei 暗度杀星在尾
'an'du'sheng'yuan'zhen 暗度圣元阵
'an'du'shi'xin'gu 暗度蚀心蛊
'an'du'shuang'tian'jian'ling 暗度霜天剑泠
'an'du'song'she'wen'xia 暗度松舍问霞
'an'du'ti'hu'guan'ding 暗度醍醐灌顶
'an'du'wei'miao'feng 暗度微妙风
'an'du'xuan'sheng'fei'cao 暗度旋生飞草
'an'fu 安抚
'an'fu'ling'hou 安抚灵猴
'an'fu'qing'xu 安抚情绪
'an'gang'gui'qie 安纲鬼切
'an'ge'la'qi'shi 安哥拉启示
'an'gou'di'tou 按狗低头
'an'gu'chen'feng 黯蛊尘锋
'an'hua 暗花
'an'hua'yin'ren 暗花隐刃
'an'huan 安患
'an'hun'tie'ya'zhen 安魂铁牙阵
'an'jian 暗箭
'an'jiang 安疆
'an'jin 暗劲
'an'lang'shi'ri 暗狼蚀日
'an'lang'xi'zhao 暗狼袭爪
'an'liu'yong'dong 暗流涌动
'an'long'huo'chong 暗龙火冲
'an'meng'xian'you'jian 暗梦仙游剑
'an'mu'jiang'lin 暗幕降临
'an'qi 暗器
'an'qi'bao'feng'yu 暗器暴风雨
'an'sha'mi'ling 暗杀密令
'an'shang 暗伤
'an'shang'bao'lie 暗伤爆裂
'an'shi 暗噬
'an'xi 暗袭
'an'xia'kai'guan 按下开关
'an'xiang 暗香
'an'xiang'lue'ying 暗香掠影
'an'xiang'lue'ying'zhui 暗香掠影坠
'an'xing 暗刑
'an'xing'chui'ye 暗星垂野
'an'xue'zao'dong 暗血躁动
'an'yin'zhong 黯引终
'an'yin'zhou 黯引咒
'an'ying 暗影
'an'ying 黯影
'an'ying'biao 暗影镖
'an'ying'fu'ji 暗影蝠击
'an'ying'ji 暗影击
'an'ying'yi'ji 暗影一击
'an'ying'zhi'li 暗影之力
'an'yue'bao'fa 暗月爆发
'an'yue'jiang'lin 暗月降临
'an'yue'jin'gu 暗月禁锢
'an'yue'xue'lian 暗月血镰
'an'zhi'gong'ji 暗之攻击
'an'zhuang'zha'yao 安装炸药
'ang'ran 盎然
'ang'ru'yue 昂如岳
