'bai'qi 白起
'bao'shu'ya 鲍叔牙
'chen'qing'zhi 陈庆之
'fan'zeng 范增
'gao'chang'gong'lan'ling'wang 高长恭兰陵王
'guan'yi'wu'guan'zhong 管夷吾管仲
'han'xin 韩信
'huo'qu'bing 霍去病
'kong'qiu'kong'zi 孔丘孔子
'li'ji'xu'mao'gong 李勣徐茂公
'li'si 李斯
'lin'xiang'ru 蔺相如
'liu'bang 刘邦
'lv'shang'jiang'zi'ya 吕尚姜子牙
'meng'tian 蒙恬
'peng'yue 彭越
'qin'liang'yu 秦良玉
'qin'qiong 秦琼
'sun'bin 孙膑
'wang'jian 王翦
'wu'qi 吴起
'xiang'ji'xiang'yu 项籍项羽
'xiao'he 萧何
'yang'da'yan 杨大眼
'ying'bu 英布
'ying'zheng'qin'shi'huang 嬴政秦始皇
'yu'chi'gong 尉迟恭
'yue'fei 岳飞
'yue'yi 乐毅
'zhang'liang 张良
'zhang'yi 张仪
'zheng'cheng'gong 郑成功
