'a'bu'suo'lun'zhi'chao 阿布索伦织巢
'a'te'la'zhi'chao 阿特拉织巢
'ai'ya'chong 矮鸦虫
'ba'luo 巴洛
'ba'na'ke 巴纳克
'bai'yu'ting 白愈厅
'bao'jun'tao'fa 暴君讨伐
'bao'nu'shou'ying 暴怒兽蝇
'bao'ran'nang 爆燃囊
'bao'ran'sui'jia 爆燃燧甲
'bei'fang'zhu'de'ge'er 被放逐的格尔
'bian'chui'shou'wang'zhe 边陲守望者
'bian'chui'yan'dong 边陲岩洞
'bian'zhi'zhe 编织者
'bian'zhi'zhe'diao'xiang 编织者雕像
'bing'jing'mai'ku 冰晶脉窟
'cai'jue'zhe'you'chong 裁决者幼虫
'cai'si'feng'jiang 裁丝疯匠
'can'bao'de'shou'ying 残暴的兽蝇
'cang'bai'you 苍白油
'cang'hu 苍湖
'cao'wa'wa 草娃娃
'chan'hui'lao'zhe 忏悔老者
'chan'hui'shi 忏悔室
'chao'sheng'zhe'qi'suo 朝圣者憩所
'chi'hong'yi'jing 赤红忆境
'chong'gao'sheng'mu'ling'si 崇高圣母灵丝
'chun'jing'he'xin 纯净核心
'chun'jing'hua'huan 纯净花环
'ci'shi'tou 磁石骰
'ci'xi'shu'wei 次席戍卫
'ci'xuan'yan 磁悬岩
'cui'ting 翠庭
'da'rong'fu 大熔釜
'da'yi'ting 大议厅
'dai'duo'zhi'yao 怠惰之钥
'deng'ji'wo'zhua 登极握爪
'di'pu'pi'er 蒂普皮尔
'di'pu'song'huo'yuan 蒂普送货员
'di'shi'er'xi'jian'zhu'shi 第十二席建筑师
'di'tu'jie 地图姐
'di'yu'shu'ku 低语书库
'dian'he'chao'xue 电荷巢穴
'ding'ci 钉刺
'er'duan'tiao 二段跳
'fang'luo 纺洛
'fang'luo'zhen'xiu 纺洛珍馐
'fei'mao'tui'si'wei'fu'te 飞毛腿斯威夫特
'fei'ming'guan'feng'qin 废鸣管风琴
'fei'ye'shan 费耶山
'fei'zhen'chong'ci 飞针冲刺
'fei'zhen'suo 飞针索
'fu'an'xiang 腐安乡
'fu'nang'zhao'huan'ling 腐囊召唤令
'fu'wen'zhi'nu 符文之怒
'fu'zhi'qu 腐殖渠
'fu'zhi'ze 腐汁泽
'gang'ji 钢棘
'gao'deng'sheng'ling 高等生灵
'gao'ting 高庭
'gao'ya'chong 高鸦虫
'ge'lin'de'er 格林德尔
'gu'juan'zhou 骨卷轴
'hai'di'zhen 骸底镇
'hai'zhong 骸冢
'hei'gua'fu 黑寡妇
'hu'zhao 弧爪
'hua'wang'ni'lai'si 花王尼莱斯
'hua'xin 花芯
'hua'xin'yi'shi 花芯仪式
'huan'yu'pi'feng 幻羽披风
'huang'zhao'yi'zhu 荒沼翼主
'hui'gen 灰根
'hui'jue 灰蕨
'hui'se'yi'hen 灰色忆痕
'hui'zhao 灰沼
'huo'ling'zhu'cong 火灵竹丛
'ji'ci'shou'huan 棘刺手环
'ji'feng'bu 疾风步
'ji'li 吉莉
'ji'sheng'shou'shu 寄生手术
'ji'shu'he'xin 机枢核心
'ji'shu'wu'zhe 机枢舞者
'ji'xin 机心
'ji'xin'bu'jian 机心部件
'ji'ya 畸芽
'ji'yi'jing'shi 记忆晶石
'ji'yuan'zhong'zhang 纪元终章
'jia'meng'de 加蒙德
'jia'mu'lin 甲木林
'jia'qiao'sui'pian 甲壳碎片
'jian'gong'xiong'di'xi'ge'ni'si'ge'long 监工兄弟西格尼斯格隆
'jian'shi'ya'na'bi'de'tian'cai'shou'fa 见识雅纳碧的天才手法
'jian'yi'yao'shi 简易钥匙
'jian'zhu'shi'jiao'tang 建筑师教堂
'jiao'tang'shi'nv 教堂侍女
'jing'jie'hua'huan 净界花环
'ju'fei'sheng'men 巨扉圣门
'ju'tai 剧台
'ju'xing'luo'ying 巨型螺蝇
'jue'dong'zuan 掘洞钻
'ka'en'zhi'chao 卡恩织巢
'ka'la'ka'ge'pang'zi 卡拉卡格胖子
'ka'la'ka'sha'chuan 卡拉卡沙川
'kan'shou'zhe 看守者
'ke'la'te 克拉特
'ke'lu'er'ban'jin 克鲁尔班金
'ke'mu'lin 壳木林
'ke'nang 壳囊
'ke'wang'ka'han 壳网卡汗
'ke'wang'zhi'xin 壳王之心
'lei'si 蕾丝
'lian'jin'shu'shi'qi'luo'tuo 炼金术师奇洛托
'lie'ren'zhi'xin 猎人之心
'lie'shou'pi'feng 猎手披风
'lie'zhe'xiao'jing 猎者小径
'ling'si'feng'bao 灵思风暴
'ling'si'zhou'sui'pian 灵丝轴碎片
'liu'lang'zhe'pi'feng 流浪者披风
'liu'sheng'ji 留声机
'luo'di 洛迪
'luo'mu 洛姆
'lv'wang'zi 绿王子
'mi'zhang 迷瘴
'mian'ju'zhi'zuo'shi 面具制作师
'mo'dai'cai'jue'zhe 末代裁决者
'mo'ge'lin'zhi'chao 默格林织巢
'mo'gu'xian'sheng 蘑菇先生
'mu'lu 苜鹿
'ni'tai'shui'lian 拟态睡莲
'nian'zhu 念珠
'nian'zhu'chao'sheng'zhe 念珠朝圣者
'nian'zhu'chuan'zhuang'ji'qi 念珠串装机器
'nian'zhu'qie'zei 念珠窃贼
'nu'nu 努努
'nv'lie'shou 女猎手
'nv'wu'jiao'tang 女巫教堂
'pa'wo 帕沃
'pan'jiao'zhi'yao 叛教之钥
'pei'po 佩珀
'pi'er 皮尔
'pi'er'bi 皮尔比
'qian'zhong 潜钟
'qie'nuo'chao'sheng'zhe 怯懦朝圣者
'qu'lian 曲镰
'rong'lu'zhi'nv 熔炉之女
'rong'yan'zhong 熔岩钟
'sai'si 赛斯
'san'chong'biao 三重镖
'san'ye'cao'wu'zhe 三叶草舞者
