'chang'dao 肠道
'chang'rong'pian 肠溶片
'chang'wei 肠胃
'chang'yan 肠炎
'fu'qian 肤浅
'gang'men 肛门
'gang'ru'tou 肛乳头
'gen'ban 跟班
'gen'bu'shang 跟不上
'gen'jin 跟进
'gen'tuan 跟团
'gen'wo 跟我
'gen'zhe 跟着
'gu'fen 股份
'gu'piao 股票
'gu'quan 股权
'gu'shi 股市
'hua'shen 化身
'hua'yan 化验
'hua'zhuang'pin 化妆品
'jian'bu'shen'zhan 肩部伸展
'jian'jia'xia'xian 肩胛下线
'nan'zhu 楠竹
'pin'qing 聘请
'pin'ren'ri'qi 聘任日期
'shi'shang 史上
'ting'bu'chu 听不出
'ting'bu'chu'lai 听不出来
'ting'bu'dao 听不到
'ting'bu'dong 听不懂
'ting'bu'jian 听不见
'ting'bu'liao 听不了
'ting'bu'qing 听不清
'ting'chu 听出
'ting'chu'lai 听出来
'ting'dao 听到
'ting'dong 听懂
'ting'dong'wen'ti 听懂问题
'ting'ge 听歌
'ting'ge'lan'ya 听歌蓝牙
'ting'guo 听过
'ting'hou 听后
'ting'hua 听话
'ting'jian 听见
'ting'jian'tu'zi'jiao 听见兔子叫
'ting'jiang 听讲
'ting'ke 听课
'ting'li'shou'sun 听力受损
'ting'qing 听清
'ting'shu 听书
'ting'shuo 听说
'ting'shuo'guo 听说过
'ting'ta 听她
'ting'tian'you'ming 听天由命
'ting'ting 听听
'ting'wen 听闻
'ting'wo 听我
'ting'wo'hua 听我话
'ting'yi'sheng 听医生
'ting'yin'yue 听音乐
'ting'yu 听雨
'ting'zhe 听着
'xin'shui 薪水
'xue'bin 薛斌
'xue'ding'e'de'mao 薛定谔的猫
'xue'tao 薛涛
'yi'bai 一百
'yi'bai'wan 一百万
'yi'ban 一半
'yi'ban 一般
'yi'ban'ban 一般般
'yi'ban'jian'shi 一般见识
'yi'bian 一遍
'yi'bu'fen 一部分
'yi'bu'yi'bu'zou 一步一步走
'yi'chang 一场
'yi'ci 一次
'yi'cun'qiang 一寸强
'yi'da'ban 一大半
'yi'da'pi 一大批
'yi'dai 一代
'yi'dai 一呆
'yi'dai'niu'nai 一袋牛奶
'yi'ding 一定
'yi'du 一度
'yi'duan 一段
'yi'dui 一堆
'yi'dui'yi 一对一
'yi'duo'hua 一朵花
'yi'fen 一份
'yi'fu 一副
'yi'ge 一个
'yi'ge'ban'yue 一个半月
'yi'ge'ren 一个人
'yi'ge'yue 一个月
'yi'gong 一共
'yi'hao 一号
'yi'he 一盒
'yi'he'niu'nai 一盒牛奶
'yi'huang 一晃
'yi'hui 一会
'yi'ji 一级
'yi'jia 一家
'yi'jian 一件
'yi'jiao 一脚
'yi'jiao 一觉
'yi'ju'hua 一句话
'yi'jue'bu'zhen 一蹶不振
'yi'kou'bu'chi 一口不吃
'yi'kuang'jie 一匡街
'yi'li'cheng 一里程
'yi'liang'ge 一两个
'yi'liang'nian 一两年
'yi'lou 一楼
'yi'lu'ping'an 一路平安
'yi'lu'shun'feng 一路顺风
'yi'meng 一梦
'yi'mi 一米
'yi'mian 一面
'yi'mu'yi'yang 一模一样
'yi'nian'qian 一年前
'yi'pan'jiao'zi 一盘饺子
'yi'pian 一片
'yi'pian 一篇
'yi'pin'ji 一品鸡
'yi'qi'chi 一起吃
'yi'qi'du 一起读
'yi'qi'mai 一起买
'yi'qiang'bi'ming 一枪毙命
'yi'ren 一人
'yi'shi 一时
'yi'tai 一台
'yi'tao 一套
'yi'tian'ban 一天班
'yi'tian'gong'zuo 一天工作
'yi'tuan'hei 一团黑
'yi'wan 一万
'yi'wan 一碗
'yi'wei 一味
'yi'xia 一下
'yi'xie 一些
'yi'xie'shui 一些水
'yi'ye 一叶
'yi'ye 一页
'yi'you'jiu'fen 一有纠纷
'yi'yuan 一院
'yi'zao 一遭
'yi'zhen 一针
'yi'zhen 一阵
'yi'zheng'tian 一整天
'yi'zhi 一致
'yi'zhi'bao'liu 一直保留
'yi'zhong'yan'se 一种颜色
'yi'zhou 一周
'yi'zun 一尊
'zheng'chu 整出
'zheng'gai 整改
'zheng'gai'dan 整改单
'zheng'ge 整个
'zheng'he 整合
'zheng'li 整理
'zheng'si 整死
'zheng'tian 整天
'zheng'wan 整完
'zhui'guan 椎管
'zhui'guan'xia'zhai 椎管狭窄
