'ai'ye 艾叶
'an'hui'zhi'tong 安蛔止痛
'an'shen'yao 安神药
'an'shen'yi'zhi 安神益智
'an'tai 安胎
'bai'ji 白及
'bai'shao 白芍
'bai'zhi 白芷
'bai'zhu 白术
'ban'lan'gen 板蓝根
'ban'xia 半夏
'bei'sha'shen 北沙参
'bie'jia 鳖甲
'bo'he 薄荷
'bu'gan'shen 补肝肾
'bu'huo'zhu'yang 补火助阳
'bu'pi'yi'fei 补脾益肺
'bu'pi'yi'qi 补脾益气
'bu'qi'sheng'yang 补气升阳
'bu'shen'ning'xin 补肾宁心
'bu'shen'yang 补肾阳
'bu'shen'zhu'yang 补肾助阳
'bu'xu'yao 补虚药
'bu'xue 补血
'bu'xue'tiao'jing 补血调经
'bu'xue'zi'yin 补血滋阴
'bu'yi'gan'shen 补益肝肾
'cang'er'zi 苍耳子
'cang'zhu 苍术
'chai'hu 柴胡
'che'qian'zi 车前子
'chen'pi 陈皮
'chi'shao 赤芍
'chu'bi 除痹
'chu'fan'an'shen 除烦安神
'chuan'bei'mu 川贝母
'chuan'xiong 川芎
'chuang'jia'sheng'yao 疮家圣药
'da'bu'yuan'qi 大补元气
'da'huang 大黄
'dai'zhe'shi 代赭石
'dan'shen 丹参
'dang'gui 当归
'di'gu'pi 地骨皮
'di'yu 地榆
'du'huo 独活
'du'zhong 杜仲
'duan'yong'shou'shi'lian'chuang 煅用收湿敛疮
'e'jiao 阿胶
'fa'biao'tou'zhen 发表透疹
'fa'han'jie'biao 发汗解表
'fa'han'jie'ji 发汗解肌
'fang'feng 防风
'fang'ji 防己
'fu'ling 茯苓
'fu'zi 附子
'gan'cao 甘草
'gan'jiang 干姜
'gan'sui 甘遂
'gao'ben 藁本
'ge'gen 葛根
'gou'teng 钩藤
'gu'jing'suo'niao 固精缩尿
'gu'jing'zhi'beng 固经止崩
'guang'huo'xiang 广藿香
'gui'jia 龟甲
'gui'zhi 桂枝
'he'jie'tui're 和解退热
'hong'hua 红花
'hou'pu 厚朴
'hua'shi 化湿
'hua'shi'yao 化湿药
'hua'tan'zhi'ke 化痰止咳
'hua'tan'zhi'ke'ping'chuan'yao 化痰止咳平喘药
'hua'yu'zhi'xue 化瘀止血
'huan'ji'zhi'tong 缓急止痛
'huang'bai 黄柏
'huang'lian 黄连
'huang'qi 黄芪
'huang'qin 黄芩
'hui'yang'jiu'ni 回阳救逆
'huo'ma'ren 火麻仁
'huo'xue 活血
'huo'xue'hua'yu'yao 活血化瘀药
'huo'xue'qu'yu 活血祛瘀
'huo'xue'tiao'jing 活血调经
'huo'xue'tong'jing 活血通经
'huo'xue'xing'qi 活血行气
'huo'xue'zhi'tong 活血止痛
'ji'huo'duan 忌火煅
'jian'pi'yi'qi 健脾益气
'jiang'qi'hua'tan 降气化痰
'jiang'qi'zhi'ke'ping'chuan 降气止咳平喘
'jiao'zhi'zi'liang'xue'zhi'xue 焦栀子凉血止血
'jie'biao 解表
'jie'biao'san'han 解表散寒
'jie'du'xiao'zhong 解毒消肿
'jie'geng 桔梗
'jie'ji'tui're 解肌退热
'jie'nue 截疟
'jie'shu 解暑
'jie'yu'xie'du 解鱼蟹毒
'jin'qian'cao 金钱草
'jin'yin'hua 金银花
'jing'jie 荆芥
'ju'hua 菊花
'kai'qiao'xing'shen 开窍醒神
'ku'xing'ren 苦杏仁
'li'dan'tui'huang 利胆退黄
'li'niao'tong'lin 利尿通淋
'li'qi'jian'pi 理气健脾
'li'qi'kuan'zhong 理气宽中
'li'qi'yao 理气药
'li'shi'tong'lin 利湿通淋
'li'shi'tui'huang 利湿退黄
'li'shui 利水
'li'shui'shen'shi 利水渗湿
'li'shui'shen'shi'yao 利水渗湿药
'li'shui'tong'lin 利水通淋
'li'shui'xiao'zhong 利水消肿
'li'yan 利咽
'li'yan'tou'zhen 利咽透疹
'lian'fei'zhi'ke 敛肺止咳
'lian'han 敛汗
'lian'qiao 连翘
'liang'gan'xi'feng 凉肝息风
'liang'xue'chu'zheng 凉血除蒸
'liang'xue'hua'yu'zhi'xue 凉血化瘀止血
'liang'xue'jie'du 凉血解毒
'liang'xue'xiao'yong 凉血消痈
'liang'xue'zhi'xue 凉血止血
'ling'yang'jiao 羚羊角
'lu'rong 鹿茸
'ma'huang 麻黄
'mai'dong 麦冬
'mai'ya 麦芽
'mang'xiao 芒硝
'ming'mu 明目
'mu'dan'pi 牡丹皮
'mu'li 牡蛎
'mu'xiang 木香
'neng'xing'xue'zhong'qi'zhi 能行血中气滞
'ning'xin 宁心
'niu'bang'zi 牛蒡子
'niu'huang 牛黄
'niu'xi 牛膝
'nv'ke'zhi'zhu'shuai 女科之主帅
'pai'nong 排脓
'ping'chong'jiang'ni 平冲降逆
'ping'gan'qian'yang 平肝潜阳
'ping'gan'xi'feng 平肝息风
'ping'gan'xi'feng'yao 平肝息风药
'ping'yi'gan'yang 平抑肝阳
'po'qi'xiao'ji 破气消积
'pu'gong'ying 蒲公英
'qi'bing'zhi'zong'si 气病之总司
'qian'cao 茜草
'qiang'huo 羌活
'qiang'jin'gu 强筋骨
'qin'jiao 秦艽
'qing'gan'ming'mu 清肝明目
'qing'hao 青蒿
'qing'li'shi're 清利湿热
'qing're'hua'tan 清热化痰
'qing're'jie'du 清热解毒
'qing're'liang'xue 清热凉血
'qing're'pai'nong 清热排脓
'qing're'ping'gan 清热平肝
'qing're'xiao'zhong 清热消肿
'qing're'xie'huo 清热泻火
'qing're'yao 清热药
'qing're'zao'shi 清热燥湿
'qing'shi're 清湿热
'qing'tou'xu're 清透虚热
'qing'xin'chu'fan 清心除烦
'qing'xin'liang'xue 清心凉血
'qing'xin'zhen'jing 清心镇惊
'qu'feng'jie'biao 祛风解表
'qu'feng'san'han 祛风散寒
'qu'feng'shi 祛风湿
'qu'feng'shi'yao 祛风湿药
'qu'feng'tong'luo 祛风通络
'qu'tan 祛痰
'qu'tan'zhi'ke 祛痰止咳
'ren'shen 人参
'rou'gan'zhi'tong 柔肝止痛
'rou'gui 肉桂
'ruan'jian'san'jie 软坚散结
'run'chang'tong'bian 润肠通便
'run'fei 润肺
'san'feng'han 散风寒
'san'han'zhi'tong 散寒止痛
'san'jie'xiao'zhong 散结消肿
'san'qi 三七
'sang'bai'pi 桑白皮
'sang'ji'sheng 桑寄生
'sang'piao'xiao 桑螵蛸
'sang'ye 桑叶
'se'chang'zhi'xie 涩肠止泻
'shan'zha 山楂
'shan'zhi'xia'ban'shen 善治下半身
'shan'zhu'yu 山茱萸
'shen'qu 神曲
'sheng'di'huang 生地黄
'sheng'jiang 生姜
'sheng'jin'zhi'ke 生津止渴
'sheng'ju'yang'qi 升举阳气
'sheng'yang'zhi'xie 升阳止泻
'shi'gao 石膏
'shi'jue'ming 石决明
'shou'lian'gu'se 收敛固涩
'shou'lian'zhi'xue 收敛止血
'shu'di'huang 熟地黄
'shu'gan'jie'yu 疏肝解郁
'shu'gan'xing'qi 疏肝行气
'shu'san'feng're 疏散风热
'suan'zao'ren 酸枣仁
'tao'ren 桃仁
'tian'ma 天麻
'tiao'chong'ren 调冲任
'tiao'jing 调经
'ting'li'zi 葶苈子
'tong'bi'qiao 通鼻窍
'tong'qiao 通窍
'tong'yang'san'jie 通阳散结
'tui're'chu'zheng 退热除蒸
'tui'xu're 退虚热
'tuo'du'sheng'ji 托毒生肌
'wai'yong'xiao'zhong'zhi'tong 外用消肿止痛
'wei'ling'xian 威灵仙
'wen'fei'hua'yin 温肺化饮
'wen'jing'zhi'xue 温经止血
'wen'li'yao 温里药
'wen'tong'jing'mai 温通经脉
