'a'li'yun'bai'lian 阿里云百炼
'a'li'yun'xu'ni'shu'zi'ren 阿里云虚拟数字人
'bai'chuan'da'mo'xing 百川大模型
'bai'du'zhi'neng'yun'xi'ling 百度智能云曦灵
'bai'ri'meng 白日梦
'bai'xiao'ying 百小应
'bei'dian'shu'zhi'xin'tian'zhi'neng'ti'ping'tai 北电数智新天智能体平台
'chan'jing 蝉镜
'chang'ya'zi'dong'zuo'qu 唱鸭自动作曲
'chu'zhan 触站
'de'li'fa'sou 得理法搜
'ding'ding 钉钉
'ding'ding'zhu'li 钉钉助理
'dou'bao'yu'yin 豆包语音
'du'jia'jian'ji 度加剪辑
'dui'you'hui'hua 堆友绘画
'fei'shu 飞书
'fei'shu'zhi'neng'huo'ban 飞书智能伙伴
'fei'ying'shu'zi'ren 飞影数字人
'gao'ding 稿定
'guai'shou'shu'zi'ren 怪兽数字人
'gui'ji'zhi'neng 硅基智能
'hai'luo 海螺
'hai'luo'shi'pin 海螺视频
'hai'mian'yin'yue 海绵音乐
'hao'jing'ke'ji'jing'zhi'zhi'neng'ti'kai'fa'ping'tai 浩鲸科技鲸智智能体开发平台
'hong'ren'feng'shu'zi'ren 红人蜂数字人
'hua'zhi'yin 话知音
'hui'bo'xing 慧播星
'hui'tun'shu'zi'ren 灰豚数字人
'huo'ban'yun 伙伴云
'ji'chuang 即创
'jian'dao'yun 简道云
'jian'jie 剪界
'jie'yue 阶跃
'jie'yue'shi'pin 阶跃视频
'ke'da'guo'chuang'zhi'neng'ti'ping'tai 科大国创智能体平台
'ke'tu 可图
'kua'ke'zhu'shou 夸克助手
'kuai'jian'ji 快剪辑
'lai'hua 来画
'lan'xin'qian'xun 蓝心千询
'ling'jing'ju'zhen 灵境矩阵
'liu'sheng'hua'ying 留声画影
'mao'pao'ya 冒泡鸭
'mei'tu'she'ji'shi 美图设计室
'mei'tu'she'ji'shi'hui'hua 美图设计室绘画
'mi'ta'sou'suo 秘塔搜索
'mian'bi'lu'ka 面壁露卡
'miao'bo 妙播
'miao'zhu 秒祝
'mo'ta'zhi'neng'ti 魔塔智能体
'mo'yin'gong'fang 魔音工坊
'na'mi 纳米
'niu'xiao'ying 牛小影
'pan'gu'zhi'neng'ti 盘古智能体
'qi'miao'yuan 奇妙元
'qi'ye'wei'xin 企业微信
'qing'liu 轻流
'shan'jian 闪剪
'shang'tang'ru'ying 商汤如影
'shi'mo'wen'dang 石墨文档
'shu'zi'ren'ke'long'fen'shen 数字人克隆分身
'teng'xun'hun'yuan 腾讯混元
'teng'xun'hun'yuan'sheng'tu 腾讯混元生图
'teng'xun'hun'yuan'shi'pin 腾讯混元视频
'teng'xun'yuan'bao 腾讯元宝
'teng'xun'yuan'qi 腾讯元器
'teng'xun'yun'dai'ma'zhu'shou 腾讯云代码助手
'teng'xun'yun'zhi'neng'ti'kai'fa'ping'tai 腾讯云智能体开发平台
'teng'xun'zhi'ying 腾讯智影
'tian'gong'zhu'shou 天工助手
'tian'pu'le 天谱乐
'tong'yi'fa'rui 通义法睿
'tong'yi'ling'ma 通义灵码
'tong'yi'qian'wen 通义千问
'tong'yi'ting'wu 通义听悟
'tong'yi'wan'xiang 通义万相
'tong'yi'wan'xiang'shi'pin 通义万相视频
'tong'yi'xing'chen 通义星尘
'tu'si'hui'hua 吐司绘画
'tuo'er'si'tuo'tian'lian'zhi'neng'ti'ping'tai 拓尔思拓天链智能体平台
'wan'xing'ai'hua 万兴爱画
'wan'xing'bo'bao 万兴播爆
'wan'xing'miao'ying 万兴喵影
'wang'yi'fu'xi'zhi'neng'ti 网易伏羲智能体
'wang'yi'tian'yin 网易天音
'wen'xiao'bai 问小白
'wen'xin'kuai'ma 文心快码
'wen'xin'yi'ge 文心一格
'wen'xin'yi'yan 文心一言
'wen'xin'zhi'neng'ti'ping'tai 文心智能体平台
'wu'jie 无界
'xi'ling'shu'zi'ren 曦灵数字人
'xi'man'zhi'neng 希曼智能
'xiao'bing 小冰
'xiao'wu'kong 小悟空
'xiao'xiao 晓晓
'xiao'yi'zhi'neng'ti'ping'tai 小艺智能体平台
'xiao'yi'zhu'shou 小艺助手
'xun'fei'ting'jian 讯飞听见
'xun'fei'xing'huo 讯飞星火
'xun'fei'xing'huo'zhi'neng'ti'ping'tai 讯飞星火智能体平台
'xun'fei'xu'ni'ren 讯飞虚拟人
'xun'fei'xu'ni'ren'jiao'hu'ping'tai 讯飞虚拟人交互平台
'xun'fei'you'ban 讯飞友伴
'xun'fei'yu'ji 讯飞语记
'xun'fei'zhi'zuo 讯飞智作
'yi'zhen'miao'chuang 一帧秒创
'yin'chong 音虫
'yin'feng 音疯
'ying'shi 应事
'you'dao'xiao'cai'yang 有道小采样
'you'shi'tui 优视推
'you'yan 有言
'yu'ju 语聚
'yu'que 语雀
'yuan'dian'zhi'ku 元典智库
'yue'wen 跃问
'zhi'fu'bao'bai'bao'xiang 支付宝百宝箱
'zhi'hu'zhi'da 知乎直答
'zhi'pu'hui'hua 智谱绘画
'zhi'pu'qing'yan 智谱清言
'zhi'pu'qing'ying 智谱清影
'zhi'yuan'hu'lian 致远互联
'zhong'guan'cun'ke'jin'de'zhu'zhi'neng'ti'ping'tai 中关村科金得助智能体平台
'zhong'guo'lian'tong'yuan'jing'wan'wu 中国联通元景万悟
'zhuo'shi'ke'ji'ling'dai'ma'hang'ye'ying'yong'kai'fa'ping'tai 卓世科技零代码行业应用开发平台
'zuo'shou'yi'sheng 左手医生
