'a'li'yun'bai'lian'a'li'zhi'neng'ti 阿里云百炼阿里智能体
'a'li'yun'xu'ni'shu'zi'ren'a'li'shu'zi'ren 阿里云虚拟数字人阿里数字人
'bai'chuan'da'mo'xing'bai'chuan 百川大模型百川
'bai'du'zhi'neng'yun'xi'ling'bai'du'shu'zi'ren 百度智能云曦灵百度数字人
'bai'ri'meng'shi'pin 白日梦视频
'bai'xiao'ying'bai'chuan 百小应百川
'chan'jing'shu'zi'ren 蝉镜数字人
'chang'ya'zi'dong'zuo'qu'chang'ya'zuo'qu 唱鸭自动作曲唱鸭作曲
'chu'zhan'hui'hua 触站绘画
'de'li'fa'sou'fa'lv'jian'suo 得理法搜法律检索
'ding'ding'a'li'xie'zuo 钉钉阿里协作
'ding'ding'zhu'li'ding'ding'zhi'neng'ti 钉钉助理钉钉智能体
'dou'bao'yu'yin'dou'bao'yu'yin 豆包语音豆包语音
'du'jia'jian'ji'shu'zi'ren 度加剪辑数字人
'dui'you'hui'hua'dui'you'hui'hua 堆友绘画堆友绘画
'fei'shu'zhi'neng'huo'ban'fei'shu'zhi'neng'ti 飞书智能伙伴飞书智能体
'fei'shu'zi'jie'xie'zuo 飞书字节协作
'fei'ying'shu'zi'ren'fei'ying'shu'zi'ren 飞影数字人飞影数字人
'gao'ding'hui'hua 稿定绘画
'guai'shou'shu'zi'ren'shu'zi'ren 怪兽数字人数字人
'gui'ji'zhi'neng'shu'zi'ren 硅基智能数字人
'hai'luo'shi'pin'hai'luo'shi'pin 海螺视频海螺视频
'hai'luo'tong'yong 海螺通用
'hai'mian'yin'yue'yin'yue 海绵音乐音乐
'hong'ren'feng'shu'zi'ren'shu'zi'ren 红人蜂数字人数字人
'hua'zhi'yin'yu'yin 话知音语音
'hui'bo'xing'shu'zi'ren 慧播星数字人
'hui'tun'shu'zi'ren'shu'zi'ren 灰豚数字人数字人
'huo'ban'yun'di'dai'ma'gong'ju 伙伴云低代码工具
'ji'chuang'shu'zi'ren 即创数字人
'jian'dao'yun'di'dai'ma'gong'ju 简道云低代码工具
'jian'jie'shu'zi'ren 剪界数字人
'jie'yue'shi'pin'jie'yue'shi'pin 阶跃视频阶跃视频
'jie'yue'tong'yong 阶跃通用
'ke'tu'hui'hua 可图绘画
'kua'ke'zhu'shou'kua'ke 夸克助手夸克
'kuai'jian'ji'shi'pin'jian'ji 快剪辑视频剪辑
'lai'hua'shu'zi'ren 来画数字人
'lan'xin'qian'xun'lan'xin 蓝心千询蓝心
'ling'jing'ju'zhen'tong'yong 灵境矩阵通用
'liu'sheng'hua'ying'shu'zi'ren 留声画影数字人
'mao'pao'ya'qu'wei 冒泡鸭趣味
'mei'tu'she'ji'shi'hui'hua'mei'tu'hui'hua 美图设计室绘画美图绘画
'mei'tu'she'ji'shi'mei'tu'she'ji 美图设计室美图设计
'mi'ta'sou'suo'mi'ta'sou'suo 秘塔搜索秘塔搜索
'mian'bi'lu'ka'mian'bi 面壁露卡面壁
'miao'bo'shu'zi'ren 妙播数字人
'miao'zhu'shu'zi'ren 秒祝数字人
'mo'ta'zhi'neng'ti'mo'ta'ping'tai 魔塔智能体魔塔平台
'mo'yin'gong'fang'yu'yin'he'cheng 魔音工坊语音合成
'na'mi'tong'yong 纳米通用
'niu'xiao'ying'shu'zi'ren 牛小影数字人
'pan'gu'zhi'neng'ti'hua'wei'zhi'neng'ti 盘古智能体华为智能体
'qi'miao'yuan'shu'zi'ren 奇妙元数字人
'qi'ye'wei'xin'wei'xin'xie'zuo 企业微信微信协作
'qing'liu'di'dai'ma'gong'ju 轻流低代码工具
'shan'jian'shu'zi'ren 闪剪数字人
'shang'tang'ru'ying'shang'tang'shu'zi'ren 商汤如影商汤数字人
'shi'mo'wen'dang'zai'xian'wen'dang 石墨文档在线文档
'shu'zi'ren'ke'long'fen'shen'shu'zi'ren'ke'long 数字人克隆分身数字人克隆
'teng'xun'hun'yuan'sheng'tu'hun'yuan'sheng'tu 腾讯混元生图混元生图
'teng'xun'hun'yuan'shi'pin'teng'xun'shi'pin 腾讯混元视频腾讯视频
'teng'xun'hun'yuan'teng'xun 腾讯混元腾讯
