'an'juan'zhuang'tai 案卷状态
'an'li'fen'lei 案例分类
'an'li'zhuang'tai 案例状态
'an'nian'jie'xi 按年结息
'ban'fa 办法
'ban'jie'lv 办结率
'ban'li'jie'guo 办理结果
'ban'li'ye'wu'jie'guo 办理业务结果
'bao'cun'qi'xian'lei'xing 保存期限类型
'bao'gao'lei'xing 报告类型
'bao'wen'ge'shi 报文格式
'bao'zhang'xing 保障性
'bao'zhang'xing'zhu'fang 保障性住房
'bao'zheng'dan'bao'lei'xing 保证担保类型
'bao'zheng'ren'lei'xing 保证人类型
'bao'zhi 保值
'bei'an 备案
'bi'li 比例
'bi'li'bian'geng 比例变更
'bi'li'tiao'zheng 比例调整
'bi'zhong 币种
'bian'geng 变更
'bian'geng'cao'zuo'lei'xing 变更操作类型
'bian'geng'deng'ji 变更登记
'bian'geng'lei'xing 变更类型
'bian'geng'xiang'mu 变更项目
'bian'zhi'qing'kuang 编制情况
'biao'zhun'hua'fu'wu 标准化服务
'bo'fu'fang'shi 拨付方式
'bu'dong'chan'quan'zheng 不动产权证
'bu'er'xuan'xiang 布尔选项
'bu'fen'sang'shi'lao'dong'neng'li 部分丧失劳动能力
'bu'fu'he'yuan'yin 不符合原因
'bu'jian'mian'shen'pi 不见面审批
'bu'jiao 补缴
'bu'jiao'ji'zhi 补缴机制
'bu'jiao'lei'xing 补缴类型
'bu'liang'dai'kuan 不良贷款
'bu'liang'xin'xi'zhuang'tai 不良信息状态
'bu'tie 补贴
'cai'dan'lei'xing 菜单类型
'cai'liang'biao'zhun 裁量标准
'cai'liao'qi'quan 材料齐全
'cai'liao'zhen'shi'xing 材料真实性
'cai'wu 财务
'cai'wu'bao'gao 财务报告
'cai'wu'guan'li'ban'fa 财务管理办法
'cai'wu'he'suan'ji'gou'lei'xing 财务核算机构类型
'cai'wu'ke'mu'shu'xing 财务科目属性
'cai'wu'ke'mu'yu'e'fang'xiang 财务科目余额方向
'cai'wu'ping'zheng'mu'ban'lei'xing 财务凭证模板类型
'cai'wu'ru'zhang'zhuang'tai 财务入账状态
'cai'wu'shou'fu'lei'xing 财务收付类型
'cai'wu'ti'qu'fen'lei 财务提取分类
'cai'wu'yu'e'jie'dai'fang'xiang 财务余额借贷方向
'cai'wu'zhi'zuo'biao'ji 财务制作标记
'cai'wu'zi'dong'ji'zhang'ri 财务自动记账日
'cai'wu'zi'dong'ji'zhang'ri'lei'xing 财务自动记账日类型
'cai'zheng'bo'kuan 财政拨款
'cai'zheng'bu'men 财政部门
'can'dai'guan'xi 参贷关系
'can'shu'zi'dian'bian'geng'lei'bie 参数字典变更类别
'can'shu'zi'dian'bian'geng'lei'xing 参数字典变更类型
'can'shu'zi'dian'shen'he'zhuang'tai 参数字典审核状态
'can'yu'ji'ji'xing 参与积极性
'can'yu'quan 参与权
'cao'zuo'gui'fan'xing 操作规范性
'cao'zuo'liu'hen 操作留痕
'cao'zuo'quan'xian'lei'xing 操作权限类型
'cha'bie'hua'tiao'kong 差别化调控
'cha'xun 查询
'chang'huan'gou'fang'dai'kuan'ben'xi 偿还购房贷款本息
'chang'qi'chu'xu 长期储蓄
'chang'qi'xing 长期性
'chang'xiao'ji'zhi 长效机制
'chao'chu 超出
'chen'dian'zi'jin 沉淀资金
'chen'shu'shen'bian 陈述申辩
'cheng'jie'ji'zhi 惩戒机制
'cheng'shi'bian'ma 城市编码
'cheng'shi'ju'ti'zheng'ce 城市具体政策
'cheng'xiang'cha'yi 城乡差异
'cheng'xu'zheng'yi 程序正义
'cheng'zhen'ji'ti'qi'ye 城镇集体企业
'cheng'zhen'si'ying'qi'ye 城镇私营企业
'chong'zhang'biao'zhi 冲账标识
'chu'jing'ding'ju 出境定居
'chu'na'que'ren'zhuang'tai 出纳确认状态
'cong'ye'zhuang'kuang 从业状况
'cu'jin'xiao'fei 促进消费
'cui'shou'fan'kui'fang'shi 催收反馈方式
'cui'shou'fang'shi 催收方式
'cui'shou'ji'gou'lei'xing 催收机构类型
'cun'kuan'lei'xing 存款类型
'cun'kuan'zhi'qu'qing'kuang 存款支取情况
'da'bing'ti'qu 大病提取
'da'xiu 大修
'da'xiu'pi'zhun'wen'jian 大修批准文件
'da'xiu'zhu'fang 大修住房
'dai'hou'guan'li 贷后管理
'dai'kuan 贷款
'dai'kuan'bian'geng'shen'pi'zhuang'tai 贷款变更审批状态
'dai'kuan'cheng'shu 贷款成数
'dai'kuan'dan'bao'lei'xing 贷款担保类型
'dai'kuan'di 贷款地
'dai'kuan'di'lei'xing 贷款地类型
'dai'kuan'e'du 贷款额度
'dai'kuan'fa'fang'lv 贷款发放率
'dai'kuan'feng'xian'deng'ji 贷款风险等级
'dai'kuan'feng'xian'fen'lei 贷款风险分类
'dai'kuan'he'tong 贷款合同
'dai'kuan'huan'kuan'fang'shi 贷款还款方式
'dai'kuan'hui'shou'lv 贷款回收率
'dai'kuan'kai'hu 贷款开户
'dai'kuan'lei'xing 贷款类型
