'a'ka 阿卡
'a'meng'de'bi'hu 阿蒙的庇护
'a'mi'de'ran'shao'zhi'qu 阿米的燃烧之躯
'a'nu'bi'si'de'quan'zhang 阿努比斯的权杖
'ai'li'ou'ge 艾利欧格
'an'hei'di'yu'bi'shou 暗黑低语匕首
'an'hong'xiao'gui 暗红小鬼
'an'xing'zhi'yao 暗星之钥
'an'ye'zhi'lian 暗夜之镰
'an'ying'qiu 暗影球
'an'ying'zhi'ren 暗影之刃
'an'zhi'shu 暗之书
'ao'shu'shan'dian 奥术闪电
'ba'ba'liu'de'fu'zi 巴巴六的斧子
'ba'fen'bao 拔粪宝
'ba'fen'bao'jia'te'lin 八分饱加特林
'ba'jiao'shan 芭蕉扇
'bai'nian'luo'bo 百年萝卜
'bai'yin'ji'qiang 白隐机枪
'ban'shou 扳手
'bang'bang'tang 棒棒糖
'bang'qiu'gun 棒球棍
'bao'jing'feng'shuang'de'huo'jian'tong 饱经风霜的火箭筒
'bao'lie'fei'dun 爆裂飞盾
'bao'qi'quan 爆气拳
'bao'zha'nu 爆炸弩
'bao'zha'zhan'chui 爆炸战锤
'bei'yong'wang'guan 备用王冠
'bi'hu'fa'zhen 庇护法阵
'bian'fu'tu'xi 蝙蝠突袭
'bian'pao 鞭炮
'bian'sai'zhong'nu 边塞重弩
'bian'xie'shi'chao'shi'kong'lian'xi'zhuang'zhi 便携式超时空联系装置
'bian'xie'zha'dan'gong'chang 便携炸弹工厂
'biao'qiang 标枪
'bing'bao 冰爆
'bing'chuan 冰川
'bing'qiang 冰枪
'bing'shuang'gong 冰霜弓
'bing'shuang'jian 冰霜剑
'bing'shuang'zhan'fu 冰霜战斧
'bing'shuang'zhi'ying 冰霜之鹰
'bing'yu'huo'zhi'ying 冰与火之鹰
'bing'zhi'zhang 冰之杖
'bing'zhui 冰锥
'bo'shi 博士
'bu'lang'xian'quan'pao 布朗线圈炮
'bu'qiang'wu'qi 步枪武器
'bu'wen'ding'de'ji'qi 不稳定的机器
'bu'xiu'zhi'qu 不朽之躯
'cai'hong 彩虹
'cai'hong'jia'te'lin 彩虹加特林
'can'po'de'jin'wei'zhan'gong 残破的近卫战弓
'cang'long'mo'zhang 苍龙魔杖
'chan'zi 铲子
'chang'bing'fu 长柄斧
'chang'qiang 长枪
'chang'ye 长夜
'chao'hou'ci'dian 超厚辞典
'chao'ji'da'bao'bei'er 超级大宝贝儿
'chao'ji'da'yao'wan 超级大药丸
'chao'ji'guai'shou'ka'pai 超级怪兽卡牌
'chao'ji'huo'jian'li'hua 超级火箭礼花
'chao'ji'ke'xue'ji'suan'qi 超级科学计算器
'chao'ji'san'dan'qiang 超级散弹枪
'chao'jie'zhe 超界者
'chao'kong'jian'qian'yin'zhuang'zhi 超空间牵引装置
'chao'shi'kong'ren'zhe 超时空忍者
