'beng'lie 崩裂
'biao'ji 标记
'cai'liao 材料
'ce'beng 侧崩
'ce'chui 侧垂
'ce'mian'bu'liang 侧面不良
'chi'cun 尺寸
'chui'zhi'du 垂直度
'cu'cao'du 粗糙度
'dang'bian 挡边
'dao'jiao 倒角
'ding'gao 顶高
'ding'xiang'jiao'du 定向角度
'fan'she'bo'qian 反射波前
'fan'she'guang'shu'pian'li'jiao 反射光束偏离角
'hou'du 厚度
'hua'ban 花斑
'jiao'ceng'bu'liang 胶层不良
'jiao'du 角度
'jiao'ju 焦距
'kai'jiao 开胶
'ke'kao'xing'ce'shi 可靠性测试
'lou'mo 漏膜
'mian'hua'si'yin 棉花丝印
'mian'meng 面蒙
'mian'xing 面形
'mo'lie 膜裂
'mo'se'bu'jun 膜色不均
'mo'sha'mian'bu'liang 磨砂面不良
'mo'zhi'biao 膜指标
'pao'guang'wen'lu 抛光纹路
'ping'mian'du 平面度
'ping'xing'du 平行度
'qi'pao 气泡
'qing'wei'meng'yin 轻微蒙印
'qu'lv'ban'jing 曲率半径
'shi'gao 矢高
'sun'shang 损伤
'ta'cha 塔差
'tong'guang'kong'jing 通光孔径
'tong'zhou'du 同轴度
'tou'she'bo'qian 透射波前
'tou'she'guang'shu'pian'li'jiao 透射光束偏离角
'tu'qi'bu'liang 涂漆不良
'tuo'mo 脱膜
'tuo'mo'dian 脱膜点
'tuo'yuan'du 椭圆度
'wai'jing 外径
'wei'zhi'du 位置度
'xi'shou 吸收
'xiang'wei'yan'chi 相位延迟
'xiao'guang'bi 消光比
'yan'zhong'meng'yin 严重蒙印
'yi'jiao'can'jiao 溢胶残胶
'yin'zi 印子
'zhong'du'meng'yin 中度蒙印
'zhong'xin'pian 中心偏
'zong'gao 总高
