'bai'fen'bi'nong'du'xiao'du'ye'pei'zhi 百分比浓度消毒液配制
'biao'zhun'piao'bai'fen'xiao'du'ye 标准漂白粉消毒液
'biao'zhun'rong'ye'pei'zhi'yu'biao'ding 标准溶液配制与标定
'bing'du 病毒
'bing'du'bian'yi 病毒变异
'bing'du'fen'lei 病毒分类
'bing'du'fu'zhi 病毒复制
'bing'du'gan'rao'xian'xiang 病毒干扰现象
'bing'du'jie'gou 病毒结构
'bing'du'xing'tai 病毒形态
'bing'si'dong'wu'shi'ti 病死动物尸体
'chang'di'yu'juan'she'xiao'du 场地与圈舍消毒
'chang'qu'bu'ju 厂区布局
'chang'yong'hua'xue'xiao'du'ji 常用化学消毒剂
'chang'yong'hua'xue'xiao'du'ye 常用化学消毒液
'chang'yong'shu'li'tong'ji'fang'fa 常用数理统计方法
'chang'yong'shu'li'tong'ji'ming'ci'han'yi 常用数理统计名词含义
'chao'sheng'bo'fa'sheng'zhuang'zhi 超声波发生装置
'chao'sheng'bo'xiao'du'ji'shu'yu'she'bei 超声波消毒技术与设备
'chao'sheng'bo'xiao'du'te'dian'ji'ying'yong 超声波消毒特点及应用
'chao'sheng'bo'xiao'du'zhu'yi'shi'xiang 超声波消毒注意事项
'che'liang'xiao'du 车辆消毒
'chi'tang'qing'zheng'xiao'du 池塘清整消毒
'chi'tang'xiao'du 池塘消毒
'chou'yang'fa'sheng'qi 臭氧发生器
'chou'yang'nong'du'ce'ding 臭氧浓度测定
'chu'ru'ren'yuan'xiao'du 出入人员消毒
'chuan'ran'bing'shi'yan'shi'xiao'du 传染病实验室消毒
'chuan'ran'bing'yi'yuan'di'xiao'du'ji'shu 传染病疫源地消毒技术
'chun'lei'xiao'du'ji 醇类消毒剂
'cu'suan'xi'bi'tai'han'liang'ce'ding 醋酸洗必泰含量测定
'dao'lu'yu'yun'shu'gong'ju'xiao'du 道路与运输工具消毒
'deng'li'zi'ti'fa'sheng'zhuang'zhi 等离子体发生装置
'deng'li'zi'ti'xiao'du'mie'jun'she'bei 等离子体消毒灭菌设备
'deng'li'zi'ti'xiao'du'mie'jun'ying'yong 等离子体消毒灭菌应用
'deng'li'zi'ti'xiao'du'zhu'yi'shi'xiang 等离子体消毒注意事项
'dian'biao'zhun'rong'ye 碘标准溶液
'dian'li'fu'she'fang'hu'cuo'shi 电离辐射防护措施
'dian'li'fu'she'sun'shang 电离辐射损伤
'dian'li'fu'she'xiao'du'ji'li 电离辐射消毒机理
'dian'li'fu'she'xiao'du'mie'jun 电离辐射消毒灭菌
'dian'li'fu'she'xiao'du'mie'jun'ji'shu 电离辐射消毒灭菌技术
'dian'li'fu'she'zhuang'zhi 电离辐射装置
'dian'xiao'du'ye'pei'zhi'yu'ying'yong 碘消毒液配制与应用
'dong'wu'jiao'yi'chang'suo'xiao'du'ji'shu 动物交易场所消毒技术
'dong'wu'long'she'xiao'du 动物笼舍消毒
'dong'wu'shi'yan'fang'xiao'du'fang'an 动物实验房消毒方案
'dong'wu'ti'biao'xiao'du 动物体表消毒
'dong'wu'ti'wei'sheng'wu'fen'bu 动物体微生物分布
'dong'wu'tu'zai'yu'jia'gong'chang'suo 动物屠宰与加工场所
'dong'wu'yang'zhi'chang'xiao'du'fang'an 动物养殖场消毒方案
'dong'wu'yang'zhi'chang'xiao'du'ji'shu 动物养殖场消毒技术
'dong'wu'yi'yuan'xiao'du'fang'an 动物医院消毒方案
'dong'wu'yi'yuan'xiao'du'ji'shu 动物医院消毒技术
'dong'wu'yuan'xiao'du'fang'an 动物园消毒方案
'dong'wu'yuan'xiao'du'ji'shu 动物园消毒技术
'er'liao'xiao'du 饵料消毒
'er'yang'hua'lv'fa'sheng'zhuang'zhi 二氧化氯发生装置
'er'yang'hua'lv'nong'du'ce'ding 二氧化氯浓度测定
'fa'bing'dong'wu'chan'pin'xiao'du'chu'li 发病动物产品消毒处理
'fang'fu 防腐
'fang'xian'jun 放线菌
'fei'sheng'chan'qu'xiao'du 非生产区消毒
'fei'xi'bao'xing'wei'sheng'wu 非细胞型微生物
'fen'bian'xiao'du 粪便消毒
'fen'lei'xiao'du'ji 酚类消毒剂
'fen'niao'fei'qi'wu'wu'hai'hua'chu'li 粪尿废弃物无害化处理
'fu'fang'hua'xue'xiao'du'ji 复方化学消毒剂
'gan're'xiao'du'mie'jun 干热消毒灭菌
'gao'lv'suan'biao'zhun'rong'ye 高氯酸标准溶液
'gao'meng'suan'jia'biao'zhun'rong'ye 高锰酸钾标准溶液
'gao'meng'suan'jia'xiao'du'ye 高锰酸钾消毒液
'gong'ju'xiao'du 工具消毒
'gong'ju'yong'ju'xiao'du 工具用具消毒
'gong'zuo'ren'yuan'fang'hu'xiao'du 工作人员防护消毒
'gui'mo'hua'zhu'chang'xiao'du'fang'an 规模化猪场消毒方案
'guo'lv'chu'jun'ji'shu'yu'she'bei 过滤除菌技术与设备
