'bai'bing'sheng'yu'qi'ye 百病生于气也
'bei'ze'qi'xiao 悲则气消
'bei'zhe'xiong'zhong'zhi'fu 背者胸中之府
'bi'zhi'you'shi 避之有时
'bian'hua'zhi'fu'mu 变化之父母
'bing'an'he'lai 病安何来
'bing'jin'er'se'bi 病进而色弊
'bing'jing'er'chu'ru'zhe'wei'zhi'hun 并精而出入者谓之魂
'bing're'shao'yu'shi'rou'ze'fu 病热少愈食肉则复
'bing'zhi'ni'cong'ye 病之逆从也
'bing'zhi'shi'qi'ye'ke'ci'er'yi 病之始起也可刺而已
'bu'wang'zuo'lao 不妄作劳
'cang'jing'qi'er'bu'xie'ye 藏精气而不泻也
'chang'ze'qi'zhi'duan'ze'qi'bing 长则气治短则气病
'chuan'hua'wu'er'bu'cang 传化物而不藏
'ci'bi'yin'xu'xie'zhi'feng 此必因虚邪之风
'ci'yin'yang'fan'zuo 此阴阳反作
'da'jin'ruan'duan'xiao'jin'chi'chang 大筋緛短小筋弛长
'dai'ze'qi'shuai'xi'ze'qi'shao 代则气衰细则气少
'du'bai'sui'nai'qu 度百岁乃去
'duo'shi'ze'yi'ci'qi'jin'ye 多食则遗此其禁也
'er'bi'bu'ke'yi'ting 耳闭不可以听
'er'jin'zhong'qi'tian'nian 而尽终其天年
'er'xue'wan'yu'shang 而血菀于上
'fa'yu'yin'yang'he'yu'shu'shu 法于阴阳和于术数
'fan'yin'yang'zhi'yao'yang'mi'nai'gu 凡阴阳之要阳密乃固
'feng'han'shi'san'qi'za'zhi 风寒湿三气杂至
'feng'sheng'ze'dong 风胜则动
'fu'mai'zhe'xue'zhi'fu'ye 夫脉者血之府也
'fu'shang'gu'sheng'ren'zhi'jiao'xia'ye 夫上古圣人之教下也
'gu'gu'hu'bu'ke'zhi 汩汩乎不可止
'gu'neng'xing'yu'shen'ju 故能形与神俱
'gu'qing'yang'chu'shang'qiao 故清阳出上窍
'gu'sheng'zhi'lai'wei'zhi'jing 故生之来谓之精
'gu'wu'zang'sheng'nai'neng'xie 故五藏盛乃能写
'gu'yang'qiang'bu'neng'mi'yin'qi'nai'jue 故阳强不能密阴气乃绝
'gu'yin'qi'qing'er'yang'zhi 故因其轻而扬之
'gu'zhe'sui'zhi'fu 骨者髓之府
'gu'zu'ran'er'tong 故卒然而痛
