'ban'lv'dong'wu 伴侣动物
'bao'gao 报告
'bao'xian 保险
'bao'zhang'cuo'shi 保障措施
'bao'zhang'gong'gong'wei'sheng'an'quan'he'ren'ti'jian'kang 保障公共卫生安全和人体健康
'bao'zhuang'wu 包装物
'ben'fa 本法
'bian'geng 变更
'bian'geng'chang'suo'fan'wei 变更场所范围
'biao'zhang'he'jiang'li 表彰和奖励
'bing'hai'dong'wu'chan'pin 病害动物产品
'bing'si'dong'wu 病死动物
'bing'si'dong'wu'wu'hai'hua'chu'li'zhi'du 病死动物无害化处理制度
'bing'zhong'ming'lu 病种名录
'bu'chang 补偿
'bu'fu'he'gui'ding 不符合规定
'bu'lv'xing'dong'wu'yi'qing'bao'gao'yi'wu 不履行动物疫情报告义务
'bu'lv'xing'mian'yi'yi'wu 不履行免疫义务
'bu'men'gui'zhang 部门规章
'bu'men'xie'zuo'ji'zhi 部门协作机制
'bu'ru'shi'ti'gong'zi'liao 不如实提供资料
'bu'zhu 补助
'cai'ji'bao'cun'yun'shu'dong'wu'bing'liao 采集保存运输动物病料
'cai'qu'kong'zhi'cuo'shi 采取控制措施
'cai'yang 采样
'can'jia'dong'wu'yi'bing'yu'fang'kong'zhi'pu'mie'huo'dong 参加动物疫病预防控制扑灭活动
'cha'yan 查验
'chan'di'jian'yi 产地检疫
'chao'chu'fan'wei 超出范围
'cheng'dan'min'shi'ze'ren 承担民事责任
'cheng'xiang'jie'he'bu 城乡结合部
'chong'xin'shen'qing 重新申请
'chu'bei 储备
'chu'li 处理
'chu'li'fei'yong 处理费用
'cu'jin'yang'zhi'ye'fa'zhan 促进养殖业发展
'cun'ju'min'wei'yuan'hui 村居民委员会
'cun'min'wei'yuan'hui 村民委员会
'cuo'shi 措施
'dan'wei'he'ge'ren 单位和个人
'deng'ji 登记
'di'fang'xing'fa'gui 地方性法规
'dian'liao 垫料
'diao'xiao'zheng'zhao 吊销证照
'dong'ti 胴体
'dong'wu 动物
'dong'wu'chan'pin 动物产品
'dong'wu'diao'yun'jian'guan'zhi'du 动物调运监管制度
'dong'wu'dong'wu'chan'pin'de'ji'mao'shi'chang 动物动物产品的集贸市场
'dong'wu'dong'wu'chan'pin'de'yun'zai'gong'ju 动物动物产品的运载工具
'dong'wu'fang'yi 动物防疫
'dong'wu'fang'yi'fang'zhen 动物防疫方针
'dong'wu'fang'yi'gong'zuo 动物防疫工作
'dong'wu'fang'yi'gui'hua 动物防疫规划
'dong'wu'fang'yi'huo'dong 动物防疫活动
'dong'wu'fang'yi'jian'du'guan'li 动物防疫监督管理
'dong'wu'fang'yi'ti'xi 动物防疫体系
'dong'wu'fang'yi'tiao'jian 动物防疫条件
'dong'wu'fang'yi'tiao'jian'he'ge'zheng 动物防疫条件合格证
'dong'wu'fang'yi'tiao'jian'shen'cha 动物防疫条件审查
'dong'wu'fang'yi'zhi'fa 动物防疫执法
'dong'wu'fang'yi'zhuan'jia'wei'yuan'hui 动物防疫专家委员会
'dong'wu'jian'yi'guan'li 动物检疫管理
'dong'wu'si'yang'zhe'jing'ying'zhe 动物饲养者经营者
'dong'wu'wei'sheng'jian'du'ji'gou 动物卫生监督机构
'dong'wu'yi'bing 动物疫病
'dong'wu'yi'bing'fang'zhi 动物疫病防治
'dong'wu'yi'bing'fen'lei 动物疫病分类
'dong'wu'yi'bing'fen'qu'fang'kong 动物疫病分区防控
'dong'wu'yi'bing'feng'xian'ping'gu 动物疫病风险评估
'dong'wu'yi'bing'jian'ce 动物疫病监测
'dong'wu'yi'bing'yu'fang'kong'zhi'ji'gou 动物疫病预防控制机构
'dong'wu'yi'qing 动物疫情
'dong'wu'yi'qing'bao'gao 动物疫情报告
'dong'wu'yi'qing'tong'bao 动物疫情通报
'dong'wu'yi'qing'yu'jing 动物疫情预警
'dong'wu'zhen'liao'huo'dong 动物诊疗活动
'dong'wu'zhen'liao'ji'gou 动物诊疗机构
'dong'wu'zhen'liao'xu'ke'zheng 动物诊疗许可证
'er'lei'dong'wu'yi'bing 二类动物疫病
'fa'bu'dong'wu'yi'qing 发布动物疫情
'fa'chu'dong'wu'yi'qing'yu'jing 发出动物疫情预警
'fa'jiao 发酵
'fa'kuan 罚款
'fa'lv'ze'ren 法律责任
'fa'sheng'dong'wu'yi'qing'shi 发生动物疫情时
