'a'bei'duo 阿贝多
'a'lei'qi'nuo 阿蕾奇诺
'ai'er'hai'sen 艾尔海森
'ai'ke'fei 爱可菲
'ai'li'si 艾莉丝
'ai'luo'yi 埃洛伊
'ai'mei'li'ai 艾梅莉埃
'ai'nuo 爱诺
'an'bai 安柏
'ba'ba'la 芭芭拉
'ba'chong'shen'zi 八重神子
'bai'zhu 白术
'ban'ni'te 班尼特
'bei'dou 北斗
'da'da'li'ya 达达利亚
'di'ao'na 迪奥娜
'di'lu'ke 迪卢克
'di'xi'ya 迪希雅
'du'lin 杜林
'duo'li 多莉
'fa'er'jia 法尔伽
'fa'lu'shan 珐露珊
'fei'lin'si 菲林斯
'fei'mi'ni 菲米尼
'fei'xie'er 菲谢尔
'feng'yuan'wan'ye 枫原万叶
'fu'ning'na 芙宁娜
'gan'yu 甘雨
'ge'lun'bi'ya 哥伦比娅
'hu'tao 胡桃
'huang'long'yi'dou 荒泷一斗
'ji'ni'qi 基尼奇
'jia'ming 嘉明
'jiu'qi'ren 久岐忍
'jiu'tiao'sha'luo 九条裟罗
'ka'qi'na 卡齐娜
'ka'wei 卡维
'kai'ya 凯亚
'kan'di'si 坎蒂丝
'ke'lai 柯莱
'ke'li 可莉
'ke'luo'lin'de 克洛琳德
'ke'qing 刻晴
'la'wu'ma 菈乌玛
'lai'ou'si'li 莱欧斯利
'lai'yi'la 莱依拉
'lan'yan 蓝砚
'lei'dian'jiang'jun 雷电将军
'lei'ze 雷泽
'li'sha 丽莎
'lin'ni 林尼
'lin'ni'te 琳妮特
'lu'ye'yuan'ping'cang 鹿野院平藏
'luo'sha'li'ya 罗莎莉亚
'ma'la'ni 玛拉妮
'ma'wei'ka 玛薇卡
'meng'jian'yue'rui'xi 梦见月瑞希
'mi'ka 米卡
'mo'na 莫娜
'na'wei'lai'te 那维莱特
'na'wei'ya 娜维娅
'na'xi'da 纳西妲
'nai'fu'er 奈芙尔
'ni'lu 妮露
'ning'guang 凝光
'nuo'ai'er 诺艾尔
'ou'luo'lun 欧洛伦
'qi'liang'liang 绮良良
'qi'qi 七七
'qia'si'ka 恰斯卡
'qian'te'la'li 茜特菈莉
'qian'zhi 千织
'sai'nuo 赛诺
'sai'suo'si 赛索斯
'sang'duo'nie 桑多涅
'sha'tang 砂糖
'shan'hu'gong'xin'hai 珊瑚宫心海
'shen'he 申鹤
'shen'li'ling'hua 神里绫华
'shen'li'ling'ren 神里绫人
'si'ke'ke 丝柯克
'ta'li'ya 塔利雅
'ti'na'li 提纳里
'tuo'ma 托马
'wa'lei'sha 瓦雷莎
'wen'di 温迪
'wu'lang 五郎
'xi'ge'wen 希格雯
'xi'nuo'ning 希诺宁
'xia'luo'di 夏洛蒂
'xia'wo'lei 夏沃蕾
'xian'yun 闲云
'xiang'ling 香菱
'xiao'gong 宵宫
'xin'yan 辛焱
'xing'qiu 行秋
'ya'ke'da 雅珂达
'yan'fei 烟绯
'yao'yao 瑶瑶
'ye'lan 夜兰
'ye'luo'ya 叶洛亚
'yi'an'shan 伊安姗
'yi'fa 伊法
'yi'nie'fu 伊涅芙
'you'la 优菈
'yun'jin 云堇
'zao'you 早柚
'zhong'li 钟离
'zhong'yun 重云
'zi'bai 兹白
