'bian'bao'guan'xi'she'zhi 编报关系设置
'bo'kuan'fang 拨款方
'bo'kuan'fang'bo'kuan'li'xi'ji'ti 拨款方拨款利息计提
'bo'kuan'fang'shou'hui'ben'jin 拨款方收回本金
'bo'kuan'fang'shou'hui'li'xi 拨款方收回利息
'bo'kuan'fang'tong'jie'zi'jin'fen'pei'yu'tong'yi'fa'zhai 拨款方统借资金分配与统一发债
'bo'kuan'fang'ying'shou'ben'jin'tong'zhi 拨款方应收本金通知
'bo'kuan'fang'ying'shou'li'xi'tong'zhi 拨款方应收利息通知
'bo'kuan'tai'zhang'cha'xun 拨款台账查询
'cai'wu'fu'ze'ren 财务负责人
'dan'wei'ming'cheng 单位名称
'dao'kuan'deng'ji'yu'xin'xi'wei'hu 到款登记与信息维护
'fa'wu'he'tong 法务合同
'fang'kuan'bian'hao 放款编号
'fu'kuan'ri 付款日
'gai'suan'xiang'mu 概算项目
'guan'li'fei 管理费
'he'tong'ye'wu'chu'li 合同业务处理
'huan'ben'fu'xi 还本付息
'huan'kuan'ji'hua 还款计划
'ji'shu'fa 积数法
'ji'xi'fa 计息法
'ji'xi'jie'shu'ri'qi 计息结束日期
'ji'xi'kai'shi'ri'qi 计息开始日期
'jie'kuan'he'tong 借款合同
'jie'shou'he'tong'deng'ji 接收合同登记
'jie'xi'ri 结息日
'jie'xi'zhou'qi 结息周期
'li'lv 利率
'li'lv'tiao'zheng 利率调整
'li'xi 利息
'li'xi'ji'ti 利息计提
'ping'zheng'cha'xun 凭证查询
'ping'zheng'tong'bu'ming'xi'cha'xun 凭证同步明细查询
'qian'ding'ri'qi 签订日期
'quan'sheng'ming'qi'xin'xi 全生命期信息
'rong'zi'cheng'ben'fen'xi'cha'xun 融资成本分析查询
'rong'zi'suo'you'dan'ju'cha'xun 融资所有单据查询
'rong'zi'tai'zhang'cha'xun 融资台账查询
'rong'zi'yu'suan 融资预算
'rong'zi'yu'suan'bian'zhi 融资预算编制
'rong'zi'yu'suan'dai'ban 融资预算待办
'rong'zi'yu'suan'tiao'zheng 融资预算调整
'shi'ji'huan'kuan 实际还款
'shi'ji'zhong'zhi'ri'qi 实际终止日期
'shou'tuo'ji'gou 受托机构
'shou'xu'fei 手续费
'suo'you'dan'ju'cha'xun 所有单据查询
'ti'qian'huan'kuan 提前还款
'tong'jie'tong'hai 统借统还
'tou'fang'yu'rong'zi 投放与融资
'wei'dai 委贷
'wei'tuo'dai'kuan 委托贷款
'wei'tuo'fang 委托方
'wei'tuo'fang'dan'bian'he'tong'deng'ji'liu'cheng 委托方单边合同登记流程
'wei'tuo'fang'fang'kuan'xin'xi'wei'hu 委托方放款信息维护
'wei'tuo'fang'he'tong'xin'xi'bian'geng 委托方合同信息变更
'wei'tuo'fang'shou'hui'ben'jin 委托方收回本金
'wei'tuo'fang'shou'hui'li'xi 委托方收回利息
'wei'tuo'fang'wei'dai'fang'kuan'chu'li 委托方委贷放款处理
'wei'tuo'fang'wei'dai'he'tong'jie'shou 委托方委贷合同接收
'wei'tuo'fang'wei'dai'li'xi'ji'ti 委托方委贷利息计提
'wei'tuo'fang'wei'dai'zhan'qi'ye'wu'chu'li 委托方委贷展期业务处理
'wei'tuo'fang'wei'tuo'dai'kuan'tai'zhang'cha'xun 委托方委托贷款台账查询
'yi'zuo'fei'dan'ju'cha'xun 已作废单据查询
'yi'zuo'fei'dan'ju'cha'xun'xin 已作废单据查询新
'yong'kuan'fang 用款方
'yong'kuan'fang'jie'shou'fen'pei'xin'xi 用款方接收分配信息
'yong'kuan'fang'jie'shou'ying'shou'ben'jin'tong'zhi 用款方接收应收本金通知
'yong'kuan'fang'jie'shou'ying'shou'li'xi'tong'zhi 用款方接收应收利息通知
'yu'suan'ze'ren'zhong'xin 预算责任中心
'ze'ren'zhong'xin'guan'li 责任中心管理
'zhan'qi 展期
'zhong'zhi'ri'qi 终止日期
'zhu'bi'fa 逐笔法
'zi'jin'que'kou 资金缺口
'zi'jin'yu'suan 资金预算
'zi'jin'yu'suan'zhuan'ze 资金预算专责
