'an'qiao'zuo'ye 岸桥作业
'ba'na'ma'xing'chuan 巴拿马型船
'ban'lun'yun'shu 班轮运输
'bao'guan'bao'jian 报关报检
'bao'xian'tou'bao 保险投保
'bei'jian'gong'ying 备件供应
'bo'luo'di'hai'zhi'shu 波罗的海指数
'bu'ding'qi'chuan 不定期船
'cang'dan'shen'bao 舱单申报
'cang'wei'que'ren 舱位确认
'cha'che'zuo'ye 叉车作业
'cheng'ben'kong'zhi 成本控制
'chuan'bo'chai'jie 船舶拆解
'chuan'bo'dai'li 船舶代理
'chuan'bo'jia'you 船舶加油
'chuan'bo'jian'xiu 船舶检修
'chuan'bo'kao'bo 船舶靠泊
'chuan'bo'li'gang 船舶离港
'chuan'bo'li'yong'lv 船舶利用率
'chuan'bo'lian'jian 船舶联检
'chuan'bo'nian'jian 船舶年检
'chuan'bo'pei'zai'tu 船舶配载图
'chuan'bo'rong'zi 船舶融资
'chuan'bo'wei'hu 船舶维护
'chuan'bo'wen'xing 船舶稳性
'chuan'bo'xun'zheng 船舶熏蒸
'chuan'bo'ya'zai 船舶压载
'chuan'bo'yan'wu 船舶延误
'chuan'bo'zheng'shu 船舶证书
'chuan'bo'zu'lin 船舶租赁
'chuan'dong 船东
'chuan'qi'cha'xun 船期查询
'chuan'yuan'huan'ban 船员换班
'chuan'yuan'pei'bei 船员配备
'chun'jian'yun'shu 纯碱运输
'dan'du'hai'sun 单独海损
'dan'shui'bu'gei 淡水补给
'dian'fang'ti'dan 电放提单
'ding'cang 订舱
'ding'cang'fu'wu 订舱服务
'ding'qi'zu'chuan 定期租船
'dong'nan'ya'hang'xian 东南亚航线
'dui'chang'guan'li 堆场管理
'dui'chang'rong'liang 堆场容量
'duo'shi'lian'yun 多式联运
'e'luo'si'hang'xian 俄罗斯航线
'er'shou'chuan'jiao'yi 二手船交易
'fang'yu'zhe'gai 防雨遮盖
'gan'san'huo'ding'cang 干散货订舱
'gan'san'huo'yun'shu 干散货运输
'gan'xian'gao'du 干舷高度
'gang'kou'chi'shui 港口吃水
'gang'kou'jian'yi 港口检疫
'gang'kou'ping'gu 港口评估
'gang'kou'shi'fei 港口使费
'gang'kou'yong'du 港口拥堵
'gang'kou'yong'du'fei 港口拥堵费
'gang'kou'zhou'zhuan'lv 港口周转率
'gang'kou'zuo'ye'fei 港口作业费
'gang'zuo'tuo'lun 港作拖轮
'gong'tong'hai'sun 共同海损
'gong'xu'fen'xi 供需分析
'gua'kao'gang 挂靠港
'guan'shui'dai'jiao 关税代缴
'guan'shui'zheng'ce 关税政策
'guang'chuan'zu'lin 光船租赁
'guo'ji'hai'yun 国际海运
'guo'nei'hai'yun 国内海运
'hai'dao'fang'fan 海盗防范
'hai'kuang'fen'xi 海况分析
'hai'shi'jian'guan 海事监管
'hai'shi'shen'bao 海事申报
'hai'shi'zhong'cai 海事仲裁
'hai'sun'shi'gu 海损事故
'hai'yun'bao'han 海运保函
'hai'yun'bao'xian 海运保险
'hai'yun'hang'xian 海运航线
'hang'ci'zu'chuan 航次租船
'hang'xian'diao'yan 航线调研
'hang'xian'you'hua 航线优化
'hang'xing'an'quan 航行安全
'hang'xing'ri'zhi 航行日志
'hang'xing'tong'gao 航行通告
'hang'yun'dan'ji 航运淡季
'hang'yun'fa'gui 航运法规
'hang'yun'jin'rong 航运金融
'hang'yun'wang'ji 航运旺季
'hang'yun'zheng'ce 航运政策
'he'tong'lv'yue 合同履约
'heng'zhong'jian'ce 衡重检测
'hua'fei'yun'shu 化肥运输
'huan'bao'yao'qiu 环保要求
'hui'lv'feng'xian 汇率风险
'huo'bi'bian'zhi'fu'jia'fei 货币贬值附加费
'huo'cha'chu'li 货差处理
'huo'dai 货代
'huo'sun'li'pei 货损理赔
'huo'wu'fang'chao 货物防潮
'huo'wu'ji'gang 货物集港
'huo'wu'jian'xie 货物监卸
'huo'wu'jian'zhuang 货物监装
'huo'wu'pei'zai 货物配载
'huo'wu'ping'cang 货物平仓
'huo'wu'qu'yang 货物取样
'huo'wu'shu'gang 货物疏港
'huo'yun'dai'li 货运代理
'huo'yun'dan'zheng 货运单证
'huo'zhu 货主
'ji'zai'yin'shu 积载因数
'jiang'hai'lian'yun 江海联运
'jin'ji'qiang'xiu 紧急抢修
'jing'zheng'dui'shou 竞争对手
'ke'hu'hui'fang 客户回访
'ke'hu'kai'fa 客户开发
'kong'shi'sun'shi'fei 空驶损失费
'kong'xiang'diao'yun 空箱调运
'kua'jing'bao'guan 跨境报关
'kua'jing'yun'shu 跨境运输
'kuang'sha'yun'shu 矿砂运输
'li'huo'bao'gao 理货报告
'li'huo'fu'wu 理货服务
'li'pei'liu'cheng 理赔流程
'liang'shi'yun'shu 粮食运输
'lin'kuang'yun'shu 磷矿运输
'liu'huang'yun'shu 硫磺运输
'long'men'diao 龙门吊
'lu'hai'lian'yun 陆海联运
'lv'se'hang'yun 绿色航运
'lv'tu'kuang'yun'shu 铝土矿运输
'ma'tou'zuo'ye 码头作业
'mao'di'dai'bo 锚地待泊
'mao'di'jian'yi 锚地检疫
'mao'yi'bi'lei 贸易壁垒
'mao'yi'tiao'kuan 贸易条款
'mei'tan'yun'shu 煤炭运输
'nei'he'yun'shu 内河运输
'pei'zai'ji'hua 配载计划
'pin'zhi'jian'yan 品质检验
'ping'an'xian 平安险
'qi'xiang'yu'bao 气象预报
'ran'you'cheng'ben 燃油成本
'ran'you'fu'jia'fei 燃油附加费
'rao'hang'fu'jia'fei 绕航附加费
'ri'han'hang'xian 日韩航线
'san'huo'chuan 散货船
'san'huo'dui'chang 散货堆场
'san'huo'fen'zhuang 散货分装
'san'huo'hun'zhuang 散货混装
'san'huo'ji'liang 散货计量
'san'huo'ping'cang'fei 散货平仓费
'san'huo'zu'chuan 散货租船
'sha'shi'yun'shu 砂石运输
'shi'chang'diao'yan 市场调研
