'ai'ke'man 埃克曼
'ai'ke'man'chou'xi 埃克曼抽吸
'bei'tai 北抬
'bei'yi 北移
'bei'zhi 北支
'bei'zhi'ji'liu 北支急流
'ceng'jie 层结
'ceng'zhuang'yun 层状云
'chang'zhi'tong'liang'ceng 常值通量层
'chui'zhi'qie'bian 垂直切变
'ci'wang'ge 次网格
'da'qi'he 大气河
'da'qi'ke'jiang'shui'liang 大气可降水量
'da'wo'mo'shi 大涡模式
'dan'zhu 单柱
'dan'zhu'mo'shi 单柱模式
'di'biao'tong'liang 地表通量
'di'kong'ji'liu 低空急流
'di'xing'zhong'li'bo'tuo'ye 地形重力波拖曳
'di'ya 低压
'di'yun 低云
'di'yun'liang 低云量
'dian'li'ceng 电离层
'dong'che 东撤
'dui'liu'ceng 对流层
'dui'liu'xi'tong 对流系统
'dui'liu'you'xiao'wei'neng 对流有效位能
'dui'liu'yun 对流云
'e'er'ni'nuo 厄尔尼诺
'fan'qi'xuan'shi 反气旋式
'fan'qi'xuan'shi'huan'liu 反气旋式环流
'fan'qi'xuan'xing 反气旋性
'fan'qi'xuan'xing'huan'liu 反气旋性环流
'fei'jing'li 非静力
'fei'jue're 非绝热
'fei'jue're'jia're 非绝热加热
'feng'mian 锋面
'feng'mian'xi'tong 锋面系统
'feng'qie'bian 风切变
'feng'wen'shi'ya 风温湿压
'fu'li 浮力
'gan'jing'li'neng 干净力能
'gao'kong'ji'liu 高空急流
'gao'ya 高压
'ge'dian'chi'du 格点尺度
'ge'ju 格距
'hai'ping'mian'qi'ya 海平面气压
'hai'qi 海气
'hai'qi'ou'he 海气耦合
'hai'qi'xiang'hu'zuo'yong 海气相互作用
'he'shi 核时
'he'xiao'shi 核小时
'hou'bao 后报
'hou'bao'shi'yan 后报实验
'ji'feng'cao 季风槽
'ji'jie'nei'zhen'dang 季节内振荡
'ji'jie'suo'xiang 季节锁相
'ji'xian 脊线
'jiang'shui'lv 降水率
'jiang'shui'ri'xun'huan 降水日循环
'jiao'zheng 校正
'jin'di'mian'ceng 近地面层
'jing'fu'li 净浮力
'jing'li 静力
'jing'li'neng 静力能
'jing'xiang'mo 经向模
'ke'jiang'shui'liang 可降水量
'kong'zhi'bian'liang 控制变量
'la'ni'na 拉尼娜
'lu'biao'fei'jun'yun'xing 陆表非均匀性
'lu'qi 陆气
'lu'qi'ou'he 陆气耦合
'lu'qi'xiang'hu'zuo'yong 陆气相互作用
'nan'che 南撤
'nan'luo 南落
'nan'zhi 南支
'nan'zhi'ji'liu 南支急流
'neng'liang'shou'heng 能量守恒
'ni'ti'du 逆梯度
'nian'ji 年际
'nian'ji'bian'hua 年际变化
'nian'ji'bian'lv 年际变率
'pian'cha'jiao'zheng 偏差校正
'pin'san 频散
'pin'san'guan'xi 频散关系
'ping'liu'ceng 平流层
'qi'hou'tai 气候态
'qi'kuai 气块
'qi'xuan'shi 气旋式
'qi'xuan'shi'huan'liu 气旋式环流
'qi'xuan'xing 气旋性
'qi'xuan'xing'huan'liu 气旋性环流
'qie'bian 切变
'qie'bian'xian 切变线
'que'ce'zhi 缺测值
're'ceng 热层
're'dai'bo'dong 热带波动
're'dai'ji'jie'nei'zhen'dang 热带季节内振荡
're'pao 热泡
'shi'jian'bu'chang 时间步长
'shi'jing'li'neng 湿静力能
'shui'ning'wu 水凝物
'suo'xiang 锁相
'tai'ping'yang'jing'xiang'mo 太平洋经向模
'tie'di'ceng 贴地层
'tong'liang'jiao'zheng 通量校正
'wang'ge'jian'ju 网格间距
'wei'neng 位能
'wei'shi 位势
'wei'shi'gao'du 位势高度
'wei'wen 位温
'xi'feng'ji'liu 西风急流
'xi'shen 西伸
'xi'tai'fu'gao 西太副高
'xiang'kong'jian 相空间
'xie'ya 斜压
'xing'xing'chi'du 行星尺度
'yan'shen'qi 延伸期
'yan'shen'qi'jiang'shui'yu'bao 延伸期降水预报
'yao'xiang'guan 遥相关
'yao'xiang'guan'xing 遥相关型
'you'xian'cha'fen 有限差分
'yu'liu 羽流
'yun'di 云底
'yun'di'gao'du 云底高度
'yun'di'shu'nong'du 云滴数浓度
'yun'ding 云顶
'yun'ding'gao'du 云顶高度
'zheng'ya 正压
'zhi'tan'xing 滞弹性
'zhong'jian'ceng 中间层
'zhong'li'bo'tuo'ye 重力波拖曳
'zhou'qi'bian'jie'tiao'jian 周期边界条件
'zi'you'da'qi 自由大气
