'an'fei'ji 安飞机
'an'ju 暗巨
'an'wu'ren'ji 安无人机
'an'zhi'ju'ren 暗之巨人
'ba'bi'lun 巴比伦
'ba'bi'lun'hua'yuan 巴比伦花园
'bai'ban 白板
'bai'hua'kuang 摆画框
'bai'piao 白票
'bai'se 白色
'bai'zheng'hua'kuang 摆正画框
'ban'gong 办公
'ban'gong'shi 办公室
'ban'ji'tui 搬鸡腿
'ban'yun 搬运
'ban'yun'gong 搬运工
'bang'zhu 帮助
'bang'zhu'qi 帮助乞
'bang'zhu'sha'sha 帮助鲨鲨
'bao'an 保安
'bao'bu'bao 保不保
'bao'di 保底
'bao'ren 保人
'bao'te'xiao 爆特效
'bao'ting 报亭
'bao'tuan 报团
'bao'xiang 宝箱
'bei'ke'hao 贝壳号
'bei'ke'hao'fei'chuan 贝壳号飞船
'bian'ji'tui 变鸡腿
'bian'li'dian 便利店
'bian'se 变色
'bian'se'long 变色龙
'bian'shen 变身
'bian'tui 变腿
'biao'ben 标本
'biao'ben'shi 标本室
'bu'chong'ran'you 补充燃油
'bu'kai'dao 不开刀
'bu'si'lian 不死链
'ca'shi 擦拭
'ca'shi'diao'xiang 擦拭雕像
'cai'cai 猜猜
'cai'cai'wo'shi'shui 猜猜我是谁
'cai'ren 猜人
'cai'ren 踩人
'cai'shi'chang 菜市场
'can'ting 餐厅
'cang'bao 藏宝
'cang'bao'shi 藏宝室
'cang'bao'tu 藏宝图
'cang'ku 仓库
'cha'yao'shi 插钥匙
'chai'huo 柴火
'chang'wai 场外
'chao'lu 抄录
'chao'lu'mi'fang 抄录秘方
'chao'mi'fang 抄秘方
'che'xiang 车厢
'che'zhan 车站
'cheng'bao 城堡
'cheng'se 橙色
'chong'feng 冲锋
'chong'feng'lang 冲锋狼
'chong'piao 冲票
'chong'qi'wang'luo 重启网络
'chong'qi'wu'xian'wang'luo 重启无限网络
'chou'ye 丑爷
'chu'fang 厨房
'chu'wu'gui 储物柜
'chu'wu'gui'shi 储物柜室
'chuan'shen'fen 穿身份
'chuan'yuan 船员
'chuan'yuan'zhen'ying 船员阵营
'cun'chu'wu'pin 存储物品
'da'bao'di 大保底
'da'ka 打卡
'da'kai'bao'xiang 打开宝箱
'da'kai'shui'zha 打开水闸
'da'piao 打票
'da'wei 大胃
'da'wei'dai 大胃袋
'da'wei'wang 大胃王
'da'you'xi 打游戏
'da'yun'shi 打陨石
'dai'dao'hao'ren 带刀好人
'dai'jie'zou 带节奏
'dan'gui 单鬼
'dan'gui'ju 单鬼局
'dan'mian 单面
'dan'mian'ren 单面人
'dan'zou 单走
'dang'dao 挡刀
'dao'dan 捣蛋
'dao'dan'gui 捣蛋鬼
'dao'la'ji 倒垃圾
'di'pai 底牌
'dian'dao 点刀
'dian'gui 点鬼
'dian'li 电力
'dian'li'jian 电力间
'dian'mo'shu 点魔术
'dian'mo'shu'shi 点魔术师
'dian'qiu 点球
'dian'shi 点石
'dian'shi'cheng'jin'niu'dan 点石成金扭蛋
'dian'wan'cheng 电玩城
'diao'du'dian'li 调度电力
'diao'xiang 雕像
'die'dao 叠刀
'dui'chong 对冲
'dui'tiao 对跳
'duo'bao 夺宝
'e'mo 恶魔
'fan'si 反死
'fan'tan 反弹
'fan'ying 反应
'fan'ying'dui 反应堆
'fang'zhu 放逐
'fen'pei'yang'pin 分配样品
'fen'piao 分票
'fen'se 粉色
'gan'fan 干饭
'gang'qin 钢琴
'gong'bian 共边
'gong'bian'fa'yan 共边发言
'gong'cheng 工程
'gong'cheng'shi 工程师
'gou'mai 购买
'gou'mai'wu'pin 购买物品
'gou'mai'yin'liao 购买饮料
