'a'ba 阿爸
'a'bai'guai 阿柏怪
'a'bai'she 阿柏蛇
'a'bai'she'de'tang'guo 阿柏蛇的糖果
'a'bai'she'de'ya 阿柏蛇的牙
'a'bo'suo'lu 阿勃梭鲁
'a'bo'suo'lu'jin'hua'shi 阿勃梭鲁进化石
'a'bu 阿步
'a'er'nuo 阿尔诺
'a'er'zhou'si 阿尔宙斯
'a'er'zhou'si'de'yang'zi 阿尔宙斯的样子
'a'ke'luo'ma'ji'qi 阿克罗玛机器
'a'li'duo'si 阿利多斯
'a'luo'la'de'yang'zi 阿罗拉的样子
'a'luo'la'di'qu 阿罗拉地区
'a'luo'la'guan'jun'jiang'zhang 阿罗拉冠军奖章
'a'luo'la'mao'zi 阿罗拉帽子
'a'qu 阿驱
'a'yi 阿姨
'ai'cai 爱菜
'ai'chi'tun 爱吃豚
'ai'chi'tun'de'mao 爱吃豚的毛
'ai'dai'lin 爱黛琳
'ai'er'sha 艾尔莎
'ai'guan'shi 爱管侍
'ai'guan'shi'de'mao 爱管侍的毛
'ai'hao 艾好
'ai'li 爱里
'ai'lu'lei'duo 艾路雷朵
'ai'lu'lei'duo'jin'hua'shi 艾路雷朵进化石
'ai'ma 艾玛
'ai'mi'li 艾蜜莉
'ai'mu'li'duo 艾姆利多
'ai'mu'li'duo'zhi'chi 艾姆利多之翅
'ai'neng'ji 爱能极
'ai'shi 爱实
'ai'te'wa'lu'xue'xiao 艾特瓦鲁学校
'ai'xin'tang'shi 爱心糖饰
'ai'xin'yin'zhang 爱心印章
'ai'xin'yu 爱心鱼
'ai'xin'yu'de'lin'pian 爱心鱼的鳞片
'ai'ya'qiu'gu 哎呀球菇
'ai'ya'qiu'gu'de'bao'zi 哎呀球菇的孢子
'an'de'lie 安德烈
'an'fu'zhi'ling 安抚之铃
'an'hei'bao'po 暗黑爆破
'an'hei'dong 暗黑洞
'an'hei'qi'chang 暗黑气场
'an'hei'qiu'lei'mu 暗黑酋雷姆
'an'li 安黎
'an'ming'qiang'ji 暗冥强击
'an'na 安娜
'an'piao'chong 安瓢虫
'an'suo'ni 安索尼
'an'xi'mu'di 安息墓地
'an'xi'yao'hai 暗袭要害
'an'ying'qian'xi 暗影潜袭
'an'ying'qiu 暗影球
'an'ying'quan 暗影拳
'an'ying'tou'dao 暗影偷盗
'an'ying'zhao 暗影爪
'an'ying'zhi'gu 暗影之骨
'an'ying'zhi'guang 暗影之光
'an'zhi'shi 暗之石
'ang'yang'zhi'zheng 昂扬之证
'ao'gu'yan 傲骨燕
'ao'jiao'fu 獒教父
'ao'ke 奥克
'ao'li'niu 奥利纽
'ao'li'wa 奥利瓦
'ba'bu'tu'bo 巴布土拨
'ba'da'die 巴大蝶
'ba'dao'xiong'mao 霸道熊猫
'ba'ha'guan'tou 巴哈罐头
'ba'piao'chong 芭瓢虫
'ba'tou 巴投
'ba'wang'hua 霸王花
'ba'ya'guo 芭亚果
'ba'zhua'wu'shi 八爪武师
'bai'bian'guai 百变怪
'bai'bian'guai'de'nian'hu 百变怪的黏糊
'bai'bian'guai'de'tang'guo 百变怪的糖果
'bai'hai'shi 白海狮
'bai'he'gen'wa'wa 百合根娃娃
'bai'he'gen'wa'wa'de'ye'pian 百合根娃娃的叶片
'bai'hua 白花
'bai'jin'bao'zhu 白金宝珠
'bai'lu'qiu'gu 败露球菇
'bai'peng'peng 白蓬蓬
'bai'qiu'guo 白球果
'bai'se'bo'li'shao 白色玻璃哨
'bai'se'pan'zi 白色盘子
'bai'se'xiang'cao 白色香草
'bai'se'yan'wu 白色烟雾
'bai'se'zong'mao 白色鬃毛
'bai'tian'de'bao'ke'meng'he'wan'shang'de'bao'ke'meng 白天的宝可梦和晚上的宝可梦
'bai'tiao'wen'de'yang'zi 白条纹的样子
'bai'wan'dun'zhong'quan 百万吨重拳
'bai'wan'dun'zhong'ti 百万吨重踢
'bai'wu 白雾
'bai'yin'pen'wu 白银喷雾
'bai'yin'xiang'shui 白银香水
'bai'yu'bao'zhu 白玉宝珠
'bai'yu'mao 白羽毛
'bai'zhan'yong'zhe 百战勇者
'bai'zhou'de'yang'zi 白昼的样子
'bai'zu'wu'gong 百足蜈蚣
'ban'ban'ma 斑斑马
'ban'ban'ma'de'zong'mao 斑斑马的鬃毛
'ban'gong'shi 办公室
'ban'ji'la'si 班基拉斯
'ban'ji'la'si'jin'hua'shi 班基拉斯进化石
'ban'yan 扮演
'ban'yan 搬岩
'ban'yi 班伊
'ban'yun'xiao'jiang 搬运小匠
'ban'yun'xiao'jiang'de'han 搬运小匠的汗
'bang'jin 绑紧
'bang'zhu 帮助
'bang'zhu'cai'dan 帮助菜单
'bao'bao'bao'long 宝宝暴龙
'bao'bao'ding 宝宝丁
'bao'bao'ding'de'mao 宝宝丁的毛
'bao'bao'jian 宝包茧
'bao'bei'long 宝贝龙
'bao'bei'long'de'lin'pian 宝贝龙的鳞片
'bao'bo'guan'tou 饱伯罐头
'bao'chi'zhu'shi'cao'zuo'jing'tou 保持注视操作镜头
'bao'chou 报仇
'bao'chou'lie'biao 报酬列表
'bao'en 报恩
'bao'fei'long 暴飞龙
'bao'fei'long'jin'hua'shi 暴飞龙进化石
'bao'fen'he 宝芬盒
'bao'feng 暴风
'bao'feng'shi'ban 暴风石板
'bao'feng'xue 暴风雪
'bao'fu 报复
'bao'fu'xun'xiang 饱腹薰香
'bao'guo 包裹
'bao'hu'se 保护色
'bao'ji'wen 爆肌蚊
'bao'ke'du'jia'di 宝可度假地
'bao'ke'fang'kuai'tao'zhuang 宝可方块套装
'bao'ke'gong'yuan 宝可公园
'bao'ke'meng 宝可梦
'bao'ke'meng'de'chi'you'wu 宝可梦的持有物
'bao'ke'meng'de'dian 宝可梦的店
'bao'ke'meng'de'jin'hua 宝可梦的进化
'bao'ke'meng'de'ni'cheng 宝可梦的昵称
'bao'ke'meng'de'shu'xing'xiang'ke 宝可梦的属性相克
'bao'ke'meng'de'zong'ji 宝可梦的踪迹
'bao'ke'meng'dian'ying 宝可梦电影
'bao'ke'meng'dong'hua'pian 宝可梦动画片
'bao'ke'meng'dui'zhan'de'ji'chu 宝可梦对战的基础
'bao'ke'meng'he 宝可梦盒
'bao'ke'meng'huo'dong 宝可梦活动
'bao'ke'meng'jiao'huan 宝可梦交换
'bao'ke'meng'jie'mu 宝可梦节目
'bao'ke'meng'lian'jie 宝可梦连接
'bao'ke'meng'mu'wa'wa 宝可梦木娃娃
'bao'ke'meng'qing'dian 宝可梦庆典
'bao'ke'meng'shou'cang'jia 宝可梦收藏家
'bao'ke'meng'tu'jian 宝可梦图鉴
'bao'ke'meng'xu'ni'yin'hang 宝可梦虚拟银行
'bao'ke'meng'xun'lian'jia 宝可梦训练家
'bao'ke'meng'yan'jiu'suo 宝可梦研究所
'bao'ke'meng'zhi'di 宝可梦之笛
'bao'ke'meng'zhong'xin 宝可梦中心
'bao'ke'meng'zhong'xin'qian'tai'jie'jie 宝可梦中心前台姐姐
'bao'ke'wei'cao 宝可尾草
'bao'ke'zhui'zong 宝可追踪
'bao'le'you'e 饱了又饿
'bao'li'long 暴鲤龙
'bao'li'long'jin'hua'shi 暴鲤龙进化石
'bao'lie'quan 爆裂拳
'bao'luo 保罗
'bao'mu'chong 保姆虫
'bao'mu'man'bo 保姆曼波
'bao'mu'man'bo'de'nian'ye 保姆曼波的黏液
'bao'shi'gui 暴噬龟
'bao'shi'hai'xing 宝石海星
'bao'shi'hai'xing'jin'hua'shi 宝石海星进化石
'bao'wu'dai 宝物袋
'bao'xiang'hou 爆香猴
'bao'xiang'sha'long 包厢沙龙
'bao'xiang'xing'tai 宝箱形态
'bao'xiang'yuan 爆香猿
'bao'xue'wang 暴雪王
'bao'xue'wang'jin'hua'shi 暴雪王进化石
'bao'xue'zhi'zheng 暴雪之证
'bao'yan'gui'shou 爆焰龟兽
'bao'yin'bo 爆音波
'bao'yin'guai 爆音怪
'bao'zha'lie'yan 爆炸烈焰
'bao'zha'tou'shui'niu 爆炸头水牛
'bao'zha'tou'tu'ji 爆炸头突击
'bao'zhu'zhi'zheng 宝主之证
'bao'zi 孢子
'bei'bao'ke 背包客
'bei'ce'da'dao 北侧大道
'bei'gai'hua'shi 背盖化石
'bei'ke'hua'shi 贝壳化石
'bei'ke'jia'ji 贝壳夹击
'bei'ke'ren 贝壳刃
'bei'ke'zhi'ling 贝壳之铃
'bei'shang'zhi'zheng 悲伤之证
'bei'shi'po 被识破
'bei'shui'yi'zhan 背水一战
'ben'neng'zhi'zheng 本能之证
'ben'zhuo 笨拙
'bi'ba'guo 比巴果
'bi'bei'wu'qi 臂贝武器
'bi'bi'niao 比比鸟
'bi'cao'mian'ju 碧草面具
'bi'chui 臂锤
'bi'guan 闭关
'bi'ke'ti'ni 比克提尼
'bi'lei'zhen 避雷针
'bi'li'ji'weng 毕力吉翁
'bi'li'ji'weng'de'dian'xin 毕力吉翁的点心
'bi'lv'shi'ban 碧绿石板
'bi'ma'yi 碧麻伊
'bi'nan'bei'bao 避难背包
'bi'qiang 毕强
'bi'zhi'shi'shang'ming'ren'ka 碧之时尚名人卡
'bian'hua'zhao'shi 变化招式
'bian'hua'zhao'shi'de'die'jia 变化招式的叠加
'bian'huan'zi'ru 变幻自如
'bian'se 变色
'bian'se'xi 变涩蜥
'bian'shen 变身
'bian'shen'zhe 变身者
'bian'xiao 变小
'bian'yin'long 变隐龙
'bian'ying 变硬
'bian'ying'guo 扁樱果
'bian'yuan 变圆
'biao'ba 标靶
'bie'zhong'xing'tai 别种形态
'bin'fen 缤芬
'bing'bao 冰宝
'bing'bao 冰雹
'bing'bao'de'bing 冰宝的冰
'bing'bing'shuang'dong 冰冰霜冻
'bing'chui 冰锤
'bing'dong'fu'te 冰冻伏特
'bing'dong'guang'shu 冰冻光束
'bing'dong'ka'dai 冰冻卡带
'bing'dong'pi'fu 冰冻皮肤
'bing'dong'quan 冰冻拳
'bing'dong'ya 冰冻牙
'bing'dong'zhi'feng 冰冻之风
'bing'dong'zhi'qu 冰冻之躯
'bing'dong'zhuang'tai 冰冻状态
'bing'feng'shi'jie 冰封世界
'bing'gui'hu 冰鬼护
'bing'gui'hu'jin'hua'shi 冰鬼护进化石
'bing'leng'shi'xian 冰冷视线
'bing'leng'yan'shi 冰冷岩石
'bing'li 冰砾
'bing'lin'fen 冰鳞粉
'bing'luo'bo 冰萝卜
'bing'qi'e 冰砌鹅
'bing'qi'e'de'yu'rong 冰砌鹅的羽绒
'bing'qiu 冰球
'bing'shan'feng 冰山风
'bing'tai'jing'sui'kuai 冰太晶碎块
'bing'xi 冰息
'bing'xuan 冰旋
'bing'xue'cun'chu'die 冰雪存储碟
'bing'xue'hua'wen 冰雪花纹
'bing'xue'ju'long 冰雪巨龙
'bing'xue'long 冰雪龙
'bing'yan'guai 冰岩怪
'bing'yi'bu 冰伊布
'bing'zhi'bao'shi 冰之宝石
'bing'zhi'shi 冰之石
'bing'zhu'shi'ban 冰柱石板
'bing'zhu'zhui'ji 冰柱坠击
'bing'zhui 冰锥
