'ai'ai'san'zi'yu 哀哀三字狱
'ai'he'yin'jin'you'ji'ke 爱河饮尽犹饥渴
'ai'ji'bu'neng 爱既不能
'ai'jiu'bu'kui'tian 爱酒不愧天
'an'an'wu'cai'qi 黯黯五彩旗
'ang'ang'qi'chi'qu 昂昂七尺驱
'ao'gu'zheng'rong 傲骨峥嵘
'ba'biao'zheng'tong'hun 八表正同昏
'ba'juan'nan'chuang'sang'zi'yue 把卷南窗桑梓月
'ba'juan'yi'jun'ping'ri'shi 把卷忆君平日事
'ba'lei'jiao'tong'cheng'yu 把泪焦桐成雨
'ba'yi'gan'yan 八一感言
'ba'zai'he'ceng'ku'bei'chang 八载何曾苦备尝
'ba'zai'xin'kai'bai'er'chong 八载衅开百二重
'bai'hua'ji'yi'jue 百花迹已绝
'bai'shan'ang'shou'cang'qiong 白山昂首苍穹
'bai'shan'hei'shui'qi'chu'dong 白山黑水齐出动
'bai'wa'tui'yuan'bian'hai'dong 败瓦颓垣遍海东
'bai'xing'shui'bu'ai'hao'guan 百姓谁不爱好官
'bai'yun'shan'shang'bai'yun'shen 白云山上白云深
'bai'yun'zu'xiang'guan 白云阻乡关
'bai'zhan'qu'feng'shi 百战驱封豕
'bai'zhan'yu'sheng'zhe 百战余生者
'bai'zi'tu'zhong'shu'se'nong 百子图中曙色浓
'ban'bi'dong'nan'san'chu'xiong 半壁东南三楚雄
'ban'sheng'ci'qu'yi'he'yun 班生此去意何云
'ban'shi'ying'ling'chen'mo'bei 半世英灵沉漠北
'bang'yan'die'die 谤言喋喋
'bao'bo'gan'qing'zhong 胞波感情重
'bao'guo'chou'tong'zhi'yi'tong 报国仇同志亦同
'bao'guo'gui'lai'tian'yu'mu 报国归来天欲暮
'bao'jing'feng'xue'shang'neng'dang 饱经风雪尚能当
'bei'qiu'ke'yi'chong'yang'jie 悲秋客忆重阳节
'bei'quan 悲犬
'bei'xia'tu'ming'zhu 杯下吐明珠
'bei'xing'diao'luo 孛星凋落
'bei'ying'ming'wen'si'hai'wen 背影名文四海闻
'bei'ying'qin'huai'lv 背影秦淮绿
'bei'zhan'xiang'feng'qi'yi'de 备战相逢岂易得
'ben'xing'neng'nai'han 本性能耐寒
'ben'zi'wu'ren'shi 本自无人识
'bi'he'wei'jing'ji 彼何畏荆棘
'bi'kua'tu'dou'shao'niu'rou 彼夸土豆烧牛肉
'bi'shu'ju'gao'song 避暑居高耸
'bi'shui'chang'liu'guang'lai'chuan 碧水长流广濑川
'bi'shui'qing'shan'yi'ren'hua 碧水青山宜人画
'bi'xue'ji'chun'hua 碧血几春花
'bi'yan'qin'shu'jiu'fei 笔砚琴书久废
'bi'yan'tong'kan'beng'bu'yun 碧眼同看蚌埠云
'bi'yan'yi'huang'wu 笔砚亦荒芜
'bian'chi'quan'gui 鞭笞权贵
'bian'shu'han'jia'qi 遍树汉家旗
'bian'ye'huang'hong 遍野黄红
'biao'chen'e 飙尘恶
'bie'lai'si'shi'nian 别来四十年
'bie'yang'jing'cai'yao'xing'chen 别样精彩耀星辰
'bing'fei'lai'pin'ming 并非来拼命
'bing'jian'zuo'zhan'cui'wan'mei 并肩作战摧顽美
'bing'zhu'han'shan 冰著寒山
'bo'ao'geng'xi'ren 博鳌更喜人
'bo'de'xun'ming'wan'gu'chui 博得勋名万古垂
'bo'ke'shi'yu'tiao 驳壳十余条
'bo'yang'liu'xi'dong'yue'ying 波漾流溪冬月影
'bu'ai'jin'qian'bu'xi'ming 不爱金钱不惜命
'bu'jiao'hu'ma'du'jiang'lai 不教胡马渡江来
'bu'jue 不觉
'bu'jue'tian'yi'xiao 不觉天已晓
'bu'kan'hui'shou'shi'chan'juan 不堪回首失婵娟
'bu'qiang'si'wu'shi'tiao 步枪四五十条
'bu'rong'gong'wei'du'yu'wang 不容宫闱独娱王
'bu'ru'shi 不如是
'bu'tu'zhong'dao'sang'yuan'xun 不图中道丧元勋
'bu'wei'jian'ku'yu'pi'lao 不畏艰苦与疲劳
'bu'wen'chi'zha'sheng 不闻叱咤声
'bu'xin'huai'rou'yu'jiao'xiao 不信怀柔与叫嚣
'bu'yi'gao'wei'xi'guan'chi 布衣高位惜官迟
'bu'yi'xi'you'wan'li 不意西游万里
