'ban'nian'huo 办年货
'cai'xian'lian'cai'dian 彩线连彩点
'cheng'shang'lie'che'qu'hua'hua 乘上列车去画画
'da'jia'dou'lai'zuo 大家都来做
'di'ke'ai'hu'gu'jian'zhu'zong'he'tan'suo 第课爱护古建筑综合探索
'di'ke'ai'hu'jia'yuan 第课爱护家园
'di'ke'bao'hu'wen'wu'zong'he'tan'suo 第课保护文物综合探索
'di'ke'bao'hu'zhen'xi'ye'sheng'dong'wu 第课保护珍稀野生动物
'di'ke'bian'fei'wei'bao 第课变废为宝
'di'ke'bian'hua'wu'qiong'de'xian'tiao 第课变化无穷的线条
'di'ke'bian'huan'wu'qiong'de'xing'xiang 第课变幻无穷的形象
'di'ke'bian'le'yang 第课变了样
'di'ke'bian'yi'bian 第课变一变
'di'ke'bing'chuan'yu'wan'xia 第课冰川与晚霞
'di'ke'cai'mo'lian'pu 第课彩墨脸谱
'di'ke'cai'se'bo'li'chuang 第课彩色玻璃窗
'di'ke'cang'shu'piao 第课藏书票
'di'ke'cheng'shang'da'chuan'you'shi'jie 第课乘上大船游世界
'di'ke'cheng'zhe'da'xiang 第课乘着大象
'di'ke'chong'chong'fu'fu 第课重重复复
'di'ke'chong'die'de'xing'zhuang 第课重叠的形状
'di'ke'chou'xiang'diao'su 第课抽象雕塑
'di'ke'chuang'wai'de'jing'se 第课窗外的景色
'di'ke'da'kai'de'bing'xiang 第课打开的冰箱
'di'ke'da'ren'guo'yu'xiao'ren'guo 第课大人国与小人国
'di'ke'de'jiang'le 第课得奖了
'di'ke'deng'shan'you'xi 第课登山游戏
'di'ke'dian'nao'dong'hua 第课电脑动画
'di'ke'dian'nao'mei'shu 第课电脑美术
'di'ke'dian'nao'mei'shu'fan'se'xiao'guo 第课电脑美术反色效果
'di'ke'dian'nao'mei'shu'zao'xing'biao'xian 第课电脑美术造型表现
'di'ke'dian'xian'mian 第课点线面
'di'ke'dui'yin'de'hua'wen 第课对印的花纹
'di'ke'duo'yang'yu'tong'yi 第课多样与统一
'di'ke'er'shi'er'shi'ji'jian'zhu 第课二十二世纪建筑
'di'ke'er'shi'nian'hou'de'xue'xiao 第课二十年后的学校
'di'ke'fen'dan'gao 第课分蛋糕
'di'ke'feng'de'mei'li 第课风的魅力
'di'ke'feng'jing'xie'sheng'zao'xing'biao'xian 第课风景写生造型表现
'di'ke'feng'lai'le 第课风来了
'di'ke'gan'shou'sheng'yin 第课感受声音
'di'ke'gu'shi'hua 第课故事画
'di'ke'guang'de'mei'li 第课光的魅力
'di'ke'hei'yu'bai 第课黑与白
'di'ke'hua'di'tan 第课花地毯
'di'ke'hua'hua'yi 第课花花衣
'di'ke'hua'long'dian'jing 第课画龙点睛
'di'ke'hua'shan'mian 第课画扇面
'di'ke'hua'xiu'jue 第课画嗅觉
'di'ke'hua'zhuang'wan'hui 第课化装晚会
'di'ke'hui'dong'de'jian'ying'she'ji'ying'yong 第课会动的剪影设计应用
'di'ke'hui'fei'de'wan'ju 第课会飞的玩具
'di'ke'hui'jia'de'lu'shang 第课回家的路上
'di'ke'hui'liang'de'wan'ju 第课会亮的玩具
'di'ke'hui'pa'de'wan'ju 第课会爬的玩具
'di'ke'hui'tiao'de'wan'ju 第课会跳的玩具
'di'ke'hui'xiang'de'wan'ju 第课会响的玩具
'di'ke'hui'yao'de'wan'ju 第课会摇的玩具
'di'ke'hui'you'de'wan'ju 第课会游的玩具
'di'ke'hui'zhuan'de'wan'ju 第课会转的玩具
'di'ke'hui'zou'de'wan'ju 第课会走的玩具
'di'ke'jia'ru'wo'shi'qi'che'she'ji'shi 第课假如我是汽车设计师
'di'ke'jia'xiang'de'qiao'he'ta 第课家乡的桥和塔
'di'ke'jin'ri'de'cai'dan 第课今日的菜单
'di'ke'jin'se'de'fu'diao 第课金色的浮雕
'di'ke'jin'tian'wo'zhi'ri 第课今天我值日
'di'ke'jin'yao'shi 第课金钥匙
'di'ke'jing'mei'de'you'piao 第课精美的邮票
'di'ke'jing'wu'xie'sheng 第课静物写生
'di'ke'ju'ju'san'san 第课聚聚散散
'di'ke'ka'tong'hua 第课卡通画
'di'ke'kong'que'pian'pian 第课孔雀翩翩
'di'ke'kua'zhang'de'lian 第课夸张的脸
'di'ke'kuai'le'de'gua'hua 第课快乐的刮画
'di'ke'kuai'le'de'hui'yi 第课快乐的回忆
'di'ke'liu'dong'de'yan'se 第课流动的颜色
'di'ke'lv'you'jie 第课旅游节
'di'ke'ma'ma'de'jie'ri 第课妈妈的节日
'di'ke'man'hua'yu'dong'man'xin'shang 第课漫画与动漫欣赏
'di'ke'mei'li'de'wen'yang 第课美丽的纹样
'di'ke'mei'shu'de'jie'zou 第课美术的节奏
'di'ke'mei'shu'xiao'ji'zhe 第课美术小记者
'di'ke'mei'shu'xue'xi'ji'lu'dai 第课美术学习记录袋
'di'ke'meng'huan'zhi'guo 第课梦幻之国
'di'ke'meng'huan'zhong'de'cheng'bao 第课梦幻中的城堡
'di'ke'mi'cai'fu 第课迷彩服
'di'ke'mi'gong 第课迷宫
'di'ke'mi'ren'de'dong'hua'pian 第课迷人的动画片
'di'ke'min'jian'wan'ju 第课民间玩具
'di'ke'ming'yu'an 第课明与暗
'di'ke'mo'huan'de'yan'se 第课魔幻的颜色
'di'ke'mo'yi'mo'hua'yi'hua 第课摸一摸画一画
'di'ke'na'xie'shi'xiang'tong'de 第课哪些是相同的
'di'ke'na'yi'ke'de'wo 第课那一刻的我
'di'ke'ni'fu'diao 第课泥浮雕
'di'ke'niao'yu'hua'xiang 第课鸟语花香
'di'ke'pao'pao'fei'ya'fei 第课泡泡飞呀飞
'di'ke'piao'chong'de'hua'yi'shang 第课瓢虫的花衣裳
'di'ke'piao'lai'piao'qu'de'xiao'dao 第课漂来漂去的小岛
'di'ke'piao'liang'de'hua'bian 第课漂亮的花边
'di'ke'ping'ping'wen'wen 第课平平稳稳
'di'ke'qi'miao'de'jiao'yin 第课奇妙的脚印
'di'ke'qi'si'miao'xiang 第课奇思妙想
'di'ke'qian'bian'wan'hua'de'mao'zi 第课千变万化的帽子
'di'ke'qian'qian'hou'hou 第课前前后后
'di'ke'qiao'qiao'shou 第课巧巧手
'di'ke'qing'ting'fei'fei 第课蜻蜓飞飞
'di'ke'qu'qu'zhi'zhi 第课曲曲直直
'di'ke'qu'wei'wen'zi 第课趣味文字
'di'ke'ren'shi'tu'xing'biao'zhi 第课认识图形标志
'di'ke'rong'xian'rao'rao 第课绒线绕绕
'di'ke'se'cai'de'dui'bi 第课色彩的对比
'di'ke'se'cai'de'he'xie 第课色彩的和谐
'di'ke'se'cai'de'leng'yu'nuan 第课色彩的冷与暖
'di'ke'shan'guang'de'ming'zi 第课闪光的名字
'di'ke'shen'qi'de'zhuang'shi'zhu 第课神奇的装饰柱
'di'ke'sheng'huo'zhong'de'qu'shi 第课生活中的趣事
'di'ke'shi'er'sheng'xiao 第课十二生肖
'di'ke'shi'jie'ao'lin'pi'ke'ri 第课世界奥林匹克日
'di'ke'shi'qing'hua'yi 第课诗请画意
'di'ke'shu'guo'bian'bian 第课蔬果变变
'di'ke'shuang'bao'tai 第课双胞胎
'di'ke'shui'mo'hua'dong'wu'zao'xing'biao'xian 第课水墨画动物造型表现
'di'ke'shui'mo'you'xi 第课水墨游戏
'di'ke'tai'kong'li'de'zhi'wu 第课太空里的植物
'di'ke'tai'kong'xin'ju 第课太空新居
'di'ke'tao'ni'de'shi'jie 第课陶泥的世界
'di'ke'tian'mi'de'meng 第课甜蜜的梦
'di'ke'tian'ran'de'ban'wen 第课天然的斑纹
'di'ke'tu'wen'bing'mao 第课图文并茂
'di'ke'tuan'bao'shou'gong 第课团包手工
'di'ke'wa'wa'jia 第课娃娃家
'di'ke'wan'hua'tong 第课万花筒
'di'ke'wei'guan'shi'jie 第课微观世界
'di'ke'wei'ni'hao 第课喂你好
'di'ke'wo'de'tong'xue'ye 第课我的同学页
'di'ke'wo'guo'gu'dai'jian'zhu'yi'shu 第课我国古代建筑艺术
'di'ke'wo'he'wo'de'xiao'huo'ban 第课我和我的小伙伴
'di'ke'wo'men'ban'ji'de'biao'zhi 第课我们班级的标志
'di'ke'wo'men'de'jie'ri 第课我们的节日
'di'ke'wo'men'de'sheng'ri'ju'hui 第课我们的生日聚会
'di'ke'wo'men'ji'jiang'bi'ye 第课我们即将毕业
'di'ke'wo'men'zuo'yue'qi'she'ji'ying'yong 第课我们做乐器设计应用
'di'ke'wo'she'ji'de'fu'zhuang 第课我设计的服装
'di'ke'wo'she'ji'de'yi'ben'shu 第课我设计的一本书
'di'ke'wo'she'ji'de'zi'xing'che 第课我设计的自行车
'di'ke'wo'xin'zhong'de'lao'shi 第课我心中的老师
'di'ke'wo'xin'zhong'de'wei'lai 第课我心中的未来
'di'ke'wo'ye'shi'yi'shu'da'shi 第课我也是艺术大师
'di'ke'wu'bi'hua 第课无笔画
'di'ke'wu'tai'bu'jing 第课舞台布景
'di'ke'wu'wei'ping 第课五味瓶
'di'ke'xi'nu'ai'le 第课喜怒哀乐
'di'ke'xian'tiao'de'dong'yu'jing 第课线条的动与静
'di'ke'xian'yan'de'bao'zhuang'zhi 第课鲜艳的包装纸
'di'ke'xiang'tian'de'shui'guo 第课香甜的水果
'di'ke'xiao'gua'shi 第课小挂饰
'di'ke'xiao'hui'she'ji 第课校徽设计
'di'ke'xiao'niao'de'jia 第课小鸟的家
'di'ke'xiao'yuan'dian'de'mei'li 第课小圆点的魅力
'di'ke'xiao'yuan'li'de'hua 第课校园里的花
'di'ke'xin'ying'de'dian'nao 第课新颖的电脑
'di'ke'xin'zhong'de'feng'jing'zao'xing'biao'xian 第课心中的风景造型表现
'di'ke'xing'de'mei'li 第课形的魅力
'di'ke'xing'kong'de'lian'xiang 第课星空的联想
'di'ke'xing'ti'de'zu'he 第课形体的组合
'di'ke'xing'ti'qie'wa'she'ji'ying'yong 第课形体切挖设计应用
'di'ke'xing'xing'se'se'de'shi'jie 第课形形色色的世界
'di'ke'xing'zuo'de'lian'xiang 第课星座的联想
'di'ke'xue'hua'shan'shui'hua 第课学画山水画
'di'ke'xun'zhao'mei'di'zong'ji 第课寻找美的踪迹
'di'ke'ye'zi'shang'de'xiao'xue'guan 第课叶子上的小血管
'di'ke'ying'zi'de'you'xi 第课影子的游戏
'di'ke'yong'hua'lai'xie'xin 第课用画来写信
'di'ke'you'qu'de'ban'yuan'xing 第课有趣的半圆形
'di'ke'you'qu'de'cai'ni 第课有趣的彩泥
'di'ke'you'qu'de'han'zi 第课有趣的汉字
'di'ke'you'qu'de'ping'gai 第课有趣的瓶盖
'di'ke'you'qu'de'xie 第课有趣的鞋
'di'ke'yu'kuai'de'chun'you 第课愉快的春游
'di'ke'yu'zhou'zhi'lv'she'ji'ying'yong 第课宇宙之旅设计应用
'di'ke'yuan'jin'de'ao'mi'zao'xing'biao'xian 第课远近的奥秘造型表现
