'a'nu'bi'si 阿努比斯
'ai'ji'lu'jia 艾基鲁迦
'ai'xiao'tu 艾小兔
'an'hei 暗黑
'an'hei'lei'she 暗黑雷射
'an'hei'sui'pian 暗黑碎片
'an'ju 鞍具
'an'mo'yang 暗魔羊
'an'shu'xing 暗属性
'an'wu'mao 暗巫猫
'ba'yun'quan 八云犬
'bai'he'nv'wang 百合女王
'bai'rong'xue'guai 白绒雪怪
'bai'zhen'xue'que 白真雪雀
'ban'jia 板甲
'ban'yun 搬运
'bang'bang'nian 梆梆鲶
'bao'dian'xiong 暴电熊
'bao'lie'huo'qiang 爆裂火墙
'bei'dai 背带
'bei'la'lu'jie 贝菈露洁
'bei'la'nuo'wa 贝菈诺娃
'beng'dong'shi'xian'dan'qiang 泵动式霰弹枪
'bi'hai'long 碧海龙
'bi'yue'long 碧月龙
'bing'di'mei'lu'pa 冰帝美露帕
'bing'feng'zhi'lu 冰锋之路
'bing'fu'ling 冰缚灵
'bing'ji'dong'ren 冰极冻刃
'bing'ji'ling 冰姬灵
'bing'ji'shou 冰棘兽
'bing'ji'shu 冰棘鼠
'bing'shu'xing 冰属性
'bing'si'te 冰丝特
'bo'ai'xi 博爱蜥
'bo'ba'niu 波霸牛
'bo'le'yan'jing 伯乐眼镜
'bo'lu'jie'ke'si 波鲁杰克斯
'bo'na'tu 波娜兔
'bo'zhong 播种
'bo'zhong'xue 播种学
'bu'ou'sha 布偶鲨
'bu'shi'zhe'he'xin 捕食者核心
'bu'yi 布衣
'cai'fa'shou'ling 采伐首领
'cai'ji 采集
'cai'ji'xue 采集学
'cai'kuang 采矿
'cai'shi'chang 采石场
'cang'bao'tu 藏宝图
'cang'yan'lang 苍焰狼
'cao'mang'zhu 草莽猪
'cao'shu'xing 草属性
'chan'gen'lao'yu 纏根牢獄
'chan'rao'di'ci 缠绕地刺
'chang'mao 长矛
'chao'xian'pa'lu'qiu 超限帕鲁球
'chen'mo'leng'jing 沉默冷静
'chi'wu'mao 炽巫猫
'chi'yan'niu 炽焰牛
'chong'lang'ya 冲浪鸭
'chong'neng'bu'qiang 充能步枪
'chou'li'e 绸笠蛾
'chou'shen'mo 瞅什魔
'chu'ji'hu'dun 初级护盾
'chuan'qi'pa'lu'qiu 传奇帕鲁球
'chui'diao'chi 垂钓池
'chui'xue'hu 吹雪狐
'chun'cai'niang 春彩娘
'chun'shui'jing 纯水晶
'ci'bei'jie'zhi 慈悲戒指
'ci'yuan'cang'ku 次元仓库
'cui'ye'shu 翠叶鼠
'cui'ye'shu'diao'xiang 翠叶鼠雕像
'cui'yu'long 翠羽龙
'da'shi'pa'lu'qiu 大师帕鲁球
'da'shu'ni 达鼠泥
'da'si'liao'dai 大饲料袋
'dan'fa'bu'qiang 单发步枪
'dao'dan'mao 捣蛋猫
'deng'li'zi'fu'you'pao 等离子浮游炮
'di'kang'jie'zhi 抵抗戒指
'di'pin'zhi'yao'pin 低品质药品
'di'shu'xing 地属性
'di'wen'bao'xian'si'liao'xiang 低温保鲜饲料箱
'di'yu'huo 地狱火
'dian'huo'xue 点火学
'dian'ji'shu 电棘鼠
'dian'jiang 电浆
'dian'jiang'neng'liang'he 电浆能量盒
'dian'qi 电气
'dian'qi'lu 电气炉
'diao'er 钓饵
'diao'fu'ling 吊缚灵
'diao'gan 钓竿
'diao'xiang 雕像
'diao'zhui 吊坠
'dong'xue'bian'fu 洞穴蝙蝠
'du'du'e 肚肚鳄
'du'jian 毒箭
'du'xian 毒腺
'duan'gang'jian 断钢剑
'dun'di'shu 遁地鼠
'duo'lian'zhuang 多联装
'duo'lian'zhuang'zhui'zong'dao'dan 多联装追踪导弹
'e'mo'yan 恶魔眼
'er'duan'tiao'xue 二段跳靴
'fa'dian 发电
'fa'dian'xue 发电学
'fa'mu 伐木
'fa'mu'chang 伐木场
'fa'mu'xue 伐木学
'fan'zhong'li'yao'dai 反重力腰带
'fei'xing 飞行
'fen'fen'bu'ou'sha 纷纷布偶鲨
'fen'sui'ji 粉碎机
'feng'ge'long 烽歌龙
'feng'ren 风刃
'fu'hai'long 覆海龙
'fu'hua'qi 孵化器
'fu'huo'yao 复活药
'fu'mo'jian 附魔剑
'fu'te'miao 伏特喵
'gang'li'zhi'guo 刚力之果
'gao'deng'ji'neng'shu 高等技能书
'gao'deng'wen'ming 高等文明
'gao'ji'hu'dun 高级护盾
'gao'ji'hua'xiang'san 高级滑翔伞
'gao'ji'pa'lu'qiu 高级帕鲁球
'ge'lu'li'si 格鲁力斯
'ge'tie'kuang 铬铁矿
'ge'xin'ji'shu'shu 革新技术书
'gong'jiang'jing'shen 工匠精神
'gou'hun'you 勾魂鱿
'gu'bo 菇波
'gu'ci'yao 蛊刺妖
'gu'dai'ji'shu'shu 古代技术书
'gu'dai'wen'ming'bu'jian 古代文明部件
'gu'dai'wen'ming'he'xin 古代文明核心
'gu'ding'shi 固定式
'gu'dong 菇咚
'gu'gu'sang'pa 咕咕桑葩
'guai'yi'guo'zhi 怪异果汁
'guan'gai'xue 灌溉学
'guan'mu'yang 灌木羊
'guan'shang'long 观赏笼
'guang'ji'zhen 光击阵
'guang'yu'lei'ji 广域雷击
'gui'ren'wu'shi 鬼刃武士
'gui'tu'lei'yun 归途雷云
'gui'zhong'long'zhu 贵重龙珠
'gui'zhong'nei'zang 贵重内脏
'gui'zhong'shou'mao 贵重兽毛
'gui'zhong'yu'mao 贵重羽毛
'gui'zhong'zhua'zi 贵重爪子
'guo're'bu'qiang 过热步枪
'hai'huang'jing 海皇鲸
'hai'shi'long 海誓龙
'hai'yue'ling 海月灵
'hai'yue'xian 海月仙
'han'bing'zhi'bi 寒冰之壁
'han'shuang'shou 寒霜兽
'he'lu'si 荷鲁斯
'he'xin'pen'she'xian'dan'qiang 核心喷射霰弹枪
'hei'an'xian'she 黑暗霰射
'hei'an'zhi'yong 黑暗之拥
'hei'ya'yin'shi 黑鸦隐士
'hei'yue'nv'wang 黑月女王
'hong'shi'lai'mu 红史莱姆
'hong'xiao'sha 红小鲨
'hu'dun 护盾
'hu'xiao'xiang 壶小象
'hua'guan'long 花冠龙
'hua'li'na 花丽娜
'hua'qiu'mo'kuai 滑球模块
'hua'shui'she 滑水蛇
'hua'xiang 滑翔
'huan'dong'shou 唤冬兽
'huan'ye'shou 唤夜兽
'huan'yue'die 幻悦蝶
'hui'yue'yi 辉月伊
'hun'dun'qi'shi 混沌骑士
'huo'jian 火箭
'huo'jian'dan 火箭弹
'huo'li'ling'yao 活力灵药
'huo'li'mi'yao 活力秘药
'huo'ling'er 火灵儿
'huo'qi'lin 火麒麟
'huo'rong'hu 火绒狐
'huo'shu'xing 火属性
'huo'yan'pen'she'qi'ran'liao 火焰喷射器燃料
'huo'yao 火药
'ji'ban'bao'tao 羁绊宝桃
'ji'ban'xiao'tao 羁绊小桃
'ji'dao'wa 极道蛙
'ji'feng'sun 疾风隼
'ji'guang'bu'qiang 激光步枪
'ji'guang'neng'liang'he 激光能量盒
'ji'neng'guo'shi 技能果实
'ji'neng'guo'shu 技能果树
'ji'xiao'tu 姬小兔
'ji'xuan'you 疾旋鼬
'jia'te'lin'zi'dan 加特林子弹
'jia'xu'mu'chang 家畜牧场
'jian'bi'zhi'guo 坚壁之果
'jian'kong'tai 监控台
'jian'lou'diao'er 简陋钓饵
'jian'xi'chao 间隙潮
'jiao'shui 浇水
'jie'nuo'bei'da 杰诺贝达
'jie'nuo'duo'lan 杰诺多兰
'jie'nuo'lu'da 杰诺路达
'jin'bi'zhi'zao 金币制造
'jin'chi'shou 金驰兽
'jin'ji'shou 金棘兽
'jin'kai'xie 金铠蝎
'jin'kui'zai 金盔仔
'jin'shu'cai'kuang'chang 金属采矿场
'jin'shu'ding 金属锭
'jin'shu'kuang'shi 金属矿石
'jin'shu'kui'jia 金属盔甲
'jin'shu'tou'kui 金属头盔
'jin'yao'shi 金钥匙
'jing'ji'mo'xian 荆棘魔仙
'jing'lian 精炼
'jing'lian'jin'shu'ding 精炼金属锭
'jing'ling'long 精灵龙
'jing'shi'lu 净世鹿
'jing'xian'guo'dong 晶仙果冻
'jing'zuan'zhi'yu 晶钻之雨
'jiu'ji'pa'lu'qiu 究极帕鲁球
'ju'chui 巨锤
'ju'da'rong'lu 巨大熔炉
'ju'da'si'liao'dai 巨大饲料袋
'ju'he'wu 聚合物
'ju'ji'mo'kuai 狙击模块
'ju'ren'ling'yao 巨人灵药
'ju'ren'mi'yao 巨人秘药
'jue'xing'xing'guo 觉醒星果
'jun'wang'mei'lu'pa 君王美露帕
'kai'ge'li'si 铠格力斯
'kai'suo'gong'ju 开锁工具
'ke'su'lu'zhi'yan 克苏鲁之眼
'ke'yi'guo'zhi 可疑果汁
'kong'ju'ling 恐炬灵
'kong'qi'dan 空气弹
'kong'wo'long 空涡龙
'kong'zhong'chong'ci'xue 空中冲刺靴
'kong'zhong'er'duan'chong'ci'xue 空中二段冲刺靴
'kong'zhong'san'duan'chong'ci'xue 空中三段冲刺靴
'kua'jie'pa'lu'zhong'duan 跨界帕鲁终端
'kuang'shan'shou'ling 矿山首领
'kui'jia 盔甲
'kui'kui'zai 盔盔仔
'kuo'zhan'bei'bao 扩展背包
