'ai'duan'ti'luo 矮短梯螺
'ai'ni'mao'bei 矮拟帽贝
'ai'shi'huo'e'ji'ju'xie 艾氏活额寄居蟹
'ai'xiao'zhi'chi'chong 矮小稚齿虫
'an'le'xia'shu 安乐虾属
'ao'bei'xin'jian'e'xie 凹背新尖额蟹
'ao'jia'yin'yao'wen 凹铗隐摇蚊
'ao'mu'ji'tu'hai'niu 凹幕脊突海牛
'ao'xia'ke 螯虾科
'ao'zhou'lin'sha'can 澳洲鳞沙蚕
'ba'shi'gou'mao'chong 巴氏钩毛虫
'ba'xi'sha'shu 巴西沙蠋
'bai'dai'san'jiao'kou'luo 白带三角口螺
'bai'dai'sun'luo 白带笋螺
'bai'ji'guan'teng'hu 白脊管藤壶
'bai'mao'chong 白毛虫
'bai'mao'gou'chong 白毛钩虫
'bai'mao'gou'lie'chong 白毛钩裂虫
'bai'se'wen'sha'can 白色吻沙蚕
'bai'shi'wen'chang'yu 白氏文昌鱼
'bai'xia 白虾
'bai'ying'ge'shu 白樱蛤属
'ban'dian'ni'xiang'shou'xie 斑点拟相手蟹
'ban'dian'xiang'shou'xie 斑点相手蟹
'ban'dian'xiao'hua'chun 斑点小划蝽
'ban'jian'e'lian'chong 半尖额涟虫
'ban'tiao'gou'xia 板跳钩虾
'ban'tu'chong 半突虫
'ban'wen'wu'ke'ce'sai 斑纹无壳侧鳃
'ban'yu'luo 斑玉螺
'ban'zhe'zhi'wen'luo 半褶织纹螺
'bang'bian'shui'shi 棒鞭水虱
'bang'ke 蚌科
'bang'mao'ni'yin'lin'chong 棒毛拟隐鳞虫
'bang'zhui'luo 棒锥螺
'bao'pian'jing'ge 薄片镜蛤
'bei'ji'she'wei 倍棘蛇尾
'bei'jiao'wu'chi'bang 背角无齿蚌
'bei'lin'chong 背鳞虫
'bei'wei'shui'shi 杯尾水虱
'bei'yan'xia'hu'yu'ya'ke 背眼鰕虎鱼亚科
'bei'yin'chong 背蚓虫
'bei'zhe'sha'can 背褶沙蚕
'ben'tu'bei'lian'chong 笨凸背涟虫
'bi'mao'chong 笔帽虫
'bian'fu 扁蜉
'bian'fu'ke 扁蜉科
'bian'juan'luo 扁卷螺
'bian'la'wen'hai'dan 扁拉文海胆
'bian'mo'lie'chong 扁模裂虫
'bian'ping'guan'mao'luo 扁平管帽螺
'bian'quan'luo'ke 扁蜷螺科
'bian'sai'ni'ci'chong 边鳃拟刺虫
'bian'sai'shan'zhi'chong 扁鳃扇栉虫
'bian'yu'luo 扁玉螺
'bian'zhe'chong 扁蛰虫
'bian'zhi 扁蛭
'biao'ge'li 杓蛤蜊
'biao'xing'xiao'nang'ge 杓形小囊蛤
'bin'luo 滨螺
'bing'gan'jing'ge 饼干镜蛤
'bing'hai'qiao 柄海鞘
'bo'hai'ge'lin'chong 渤海格鳞虫
'bo'hai'ya'zui'ge 渤海鸭嘴蛤
'bo'jia'cheng 薄荚蛏
'bo'li'gou'xia 玻璃钩虾
'bo'qiao'he'ping'ge 薄壳和平蛤
'bo'qiao'lv'lang 薄壳绿螂
'bo'shi'shuang'yan'gou'xia 博氏双眼钩虾
'bo'suo'zu'ge 薄索足蛤
'bo'wen'ba'fei'ge 波纹巴菲蛤
'bo'wen'gou'hai'sun 波纹沟海笋
'bo'yun'mu'ge 薄云母蛤
'bu'dao'weng'chong 不倒翁虫
'bu'er'xiao'bi'luo 布尔小笔螺
'bu'jia'ke 步甲科
'bu'jie'zhi'wen'luo 不洁织纹螺
'bu'shi'han 布氏蚶
'bu'shi'zhu'sha'luo 布氏朱砂螺
'cai'hong'ming'ying'ge 彩虹明樱蛤
'cai'ni'xie'shou'luo 彩拟蟹守螺
'cai'nv'chong 才女虫
'can'guang'zhi'chong 蚕光稚虫
'ce'kou'ru'zhe'chong 侧口乳蛰虫
'cen'ci'xian'nv'chong 参差仙女虫
'cha'mao'mao'mao'chong 叉毛矛毛虫
'cha'mao'zhui'tou'chong 叉毛锥头虫
'cha'zhuang'gui'ye'xi 叉状桧叶螅
'chan'xing'hai'dou'ya 铲形海豆芽
'chan'yin 颤蚓
'chan'yin'ke 颤蚓科
'chang'bi'xia 长臂虾
'chang'bi'xia'ke 长臂虾科
'chang'bian'ao'ban'gou'xia 长鞭凹板钩虾
'chang'e'ci'kang'xia 长额刺糠虾
'chang'fang'xie 长方蟹
'chang'fu'yao'wen 长跗摇蚊
'chang'jing'mai'gan'chong 长颈麦杆虫
'chang'mao'chi'wen'sha'can 长毛齿吻沙蚕
'chang'mu'li 长牡蛎
'chang'pian'ding'ge 长偏顶蛤
'chang'sai'mai'gan'chong 长鳃麦杆虫
'chang'sai'shu'zhe'chong 长鳃树蛰虫
'chang'shou'sha'can 长手沙蚕
'chang'shuang'xu'chong 长双须虫
'chang'wei'chong 长尾虫
'chang'wei'liang'gou'xia 长尾亮钩虾
'chang'wen'sha'can 长吻沙蚕
'chang'xiao 长蛸
'chang'xu'sha'can 长须沙蚕
'chang'zhi'gu'chuang'xie 长趾股窗蟹
'chang'zhi'jin'fang'xie 长指近方蟹
'chang'zhi'ma'er'ta'gou'xia 长指马尔他钩虾
'chang'zhu'cheng 长竹蛏
'chang'zhui'chong 长锥虫
'chang'zu'chang'fang'xie 长足长方蟹
'chang'zu'meng 长足虻
'chang'zu'meng'ke 长足虻科
'chang'zu'yao'wen 长足摇蚊
'chao'jian'hai'gou'xia 潮间海钩虾
'chao'xian'du'yan'gou'xia 朝鲜独眼钩虾
'chao'xian'ma'er'ta'gou'xia 朝鲜马尔他钩虾
'chao'xian'yang'sui'zu 朝鲜阳遂足
'chi'dou'luo 赤豆螺
'chi'ling 齿蛉
'chi'ling'ke 齿蛉科
'chi'wen'sha'can 齿吻沙蚕
'chi'wen'sha'can'ke 齿吻沙蚕科
'chi'zhen'jie'chong 持真节虫
'chi'zhi'xia'ke 匙指虾科
'chou'hai'yong 臭海蛹
'chun'ting 春蜓
'chun'ting'ke 春蜓科
'ci'pang'pi 刺鳑鲏
'ci'sha'can 刺沙蚕
'ci'xie 瓷蟹
'ci'xiu'shuang'yi'luo 刺锈双翼螺
'ci'ying'chong 刺樱虫
'ci'zhi'wei'gou'xia 刺指尾钩虾
'cong'ke 蟌科
'cong'zu'gua'can 丛足瓜参
'cu'cao'bin'luo 粗糙滨螺
'cu'di'wen'ge 粗帝汶蛤
'cu'shi'han 粗饰蚶
'cu'tui'hou'wen'xie 粗腿厚纹蟹
'cu'wen'wen'zhuang'ge 粗纹吻状蛤
'cu'yi'bai'ying'ge 粗异白樱蛤
'cui'ke'le'te'ge 脆壳勒特蛤
'cui'ke'li'ge 脆壳理蛤
'cui'ke'quan'hai'sun 脆壳全海笋
'da'ao'fei 大螯蜚
'da'beng'gou'xia 大泵钩虾
'da'cu'fu'yao'wen 大粗腹摇蚊
'da'gu'quan'hai'sun 大沽全海笋
'da'hua'guo'luo'fei 大华蜾蠃蜚
'da'ji'ju'xie 大寄居蟹
'da'lou'gu'xia 大蝼蛄虾
'da'lun'luo 大轮螺
'da'qi'tan'tu'yu 大鳍弹涂鱼
'da'qi'yuan'bian'luo 大脐圆扁螺
'da'qing 大蜻
'da'qing'ke 大蜻科
'da'tan'tu'yu 大弹涂鱼
'da'ting 大蜓
'da'ting'ke 大蜓科
'da'wen 大蚊
'da'wen'ke 大蚊科
'da'yan'xie 大眼蟹
'da'zhao'luo 大沼螺
'dai'mu'dun'zheng'jie'chong 带木盾征节虫
'dai'pian'ding'ge 带偏顶蛤
'dai'shi'chi'xia 戴氏赤虾
'dai'si'yin 带丝蚓
'dai'si'yin'ke 带丝蚓科
'dan'chi'luo 单齿螺
'dan'gou'xia 弹钩虾
'dan'ke'lei 单壳类
'dan'lu'chi'kou'luo 淡路齿口螺
'dan'shui'cheng 淡水蛏
'dan'shui'ni'xie 淡水泥蟹
'dan'yan'chao'chong 单眼潮虫
'dan'ye'sha'can 单叶沙蚕
'dao'xing'kuan'e'xia 刀形宽额虾
'de'shi'zhi'kong'shan'bei 德氏栉孔扇贝
'de'yong'diao'chi'yao'wen 德永雕翅摇蚊
'deng'bian'qian'ge 等边浅蛤
'deng'lei'yi'bei'shan'hu 等肋异杯珊瑚
'deng'zhi'chong 等栉虫
'deng'zu'mu 等足目
'di'gou'xia 地钩虾
'di'wen'ge'shu 帝汶蛤属
'di'zhong'hai'ju'liang'gou'xia 地中海巨亮钩虾
'dian'feng'ling'fu'yao'wen 颠峰菱跗摇蚊
'diao'chi'yao'wen 雕翅摇蚊
'ding'mao'chong 顶冒虫
'dong'fang'feng'qi'ge 东方缝栖蛤
'dong'fang'xiao'teng'hu 东方小藤壶
'dong'fang'zhang'yan'xia 东方长眼虾
'dong'jing'li'luo 东京梨螺
'dong'qiu'xu'wei'chi'wen'sha'can 东球须微齿吻沙蚕
'dou'luo 豆螺
'dou'luo'ke 豆螺科
'dou'wei'chong 豆伪虫
'dou'wei'chong 豆维虫
'dou'xie 豆蟹
'dou'xing'duan'yan'xie 豆形短眼蟹
'dou'xing'hu'tao'ge 豆形胡桃蛤
'dou'xing'quan'xie 豆形拳蟹
'du'chi'wei'sha'can 独齿围沙蚕
'du'mao'chong 独毛虫
'du'yan'gou'xia 独眼钩虾
'du'zhi'chong 独指虫
'duan'bin'luo 短滨螺
'duan'gou'quan 短沟蜷
'duan'ji'gu'xia 短脊鼓虾
'duan'jiao'shuang'yan'gou'xia 短角双眼钩虾
'duan'mai'wen'shi'e 短脉纹石娥
'duan'sai'wei'cai'nv'chong 短鳃伪才女虫
'duan'wen'ge 短文蛤
'duan'xiao 短蛸
'duan'xiao'ni'gou'xia 短小拟钩虾
'duan'ye'suo'sha'can 短叶索沙蚕
'duan'zhi'he'shang'xie 短指和尚蟹
'duan'zhu'cheng 短竹蛏
'dui'chen'ni'han 对称拟蚶
'dui'xia'ke 对虾科
'dun'guan'xing'chong 盾管星虫
'dun'guan'xing'chong'shu 盾管星虫属
'duo'bian'yi'guan'ta'luo 多变异管塔螺
'duo'chi'lin'chong 多齿鳞虫
'duo'chi'quan'ci'sha'can 多齿全刺沙蚕
'duo'chi'wei'sha'can 多齿围沙蚕
'duo'ji'hai'pan'che 多棘海盘车
'duo'lin'chong 多鳞虫
'duo'mao'guan'shui'yin 多毛管水蚓
'duo'mao'lei 多毛类
'duo'mao'zi'lie'chong 多毛自裂虫
'duo'sai'chi'wen'sha'can 多鳃齿吻沙蚕
'duo'si'du'mao'chong 多丝独毛虫
'duo'yan'chong 多眼虫
'duo'zhou'wu'wen'yi 多皱无吻螠
'duo'zu'yao'wen 多足摇蚊
'e'luo 蛾螺
'en'fei'yao'wen 恩菲摇蚊
'er'cha'yao'wen 二叉摇蚊
'er'chi'ban'jian'e'lian'chong 二齿半尖额涟虫
'er'chi'fu 二翅蜉
'er'kou'lu'chi'luo 耳口露齿螺
'er'luo'bo'luo 耳萝卜螺
'fan'bang 帆蚌
'fan'dao'quan'la'sha'can 饭岛全剌沙蚕
'fang'ci'shen 仿刺参
'fang'ge'duan'gou'quan 方格短沟蜷
'fang'jia'lian'chong 方甲涟虫
'fang'mang'xie 仿盲蟹
'fang'xie'you'ti 方蟹幼体
'fang'xing'huan'leng'luo 方形环棱螺
'fang'yi'duan'gou'quan 放逸短沟蜷
'fei'lv'bin'ge'zi 菲律宾蛤仔
'fei'ni'zhao'luo 绯拟沼螺
'fen'chi'yi'fu'yao'wen 分齿异腹摇蚊
'feng'wo'ge'lin'chong 蜂窝格鳞虫
'fu'jian'she'shi'xie 福建佘氏蟹
'fu'wa'ha'lin'chong 覆瓦哈鳞虫
'fu'you 蜉蝣
'fu'you'ke 蜉蝣科
'fu'zhi'chong 副栉虫
'gai'she'wei 盖蛇尾
'gan'lan'han 橄榄蚶
'gan'lan'hu'tao'ge 橄榄胡桃蛤
'gan'wen'chong 杆吻虫
'gang'sai'chong 刚鳃虫
'gao'nian'ta'luo 高捻塔螺
'ge'li 蛤蜊
'ge'shi'chang'bi'xia 葛氏长臂虾
'gong'tian'shen'jiao'ge 宫田神角蛤
'gong'xing'ge'nang'xing'chong 弓形革囊星虫
'gou'cu'fu'yao'wen 沟粗腹摇蚊
'gou'lie'chong 钩裂虫
'gou'xia 钩虾
'gou'xiao'she'zhi'chong 钩小蛇稚虫
'gu'chuang'xie 股窗蟹
'gu'ge 股蛤
'gu'shi'tan'qi'luo 古氏滩栖螺
'gu'xia 鼓虾
'gua'can 瓜参
'gua'jie'gan'wen'sha'can 寡节甘吻沙蚕
'gua'mao'lei 寡毛类
'gua'sai'chi'wen'sha'can 寡鳃齿吻沙蚕
'guan'shui'yin 管水蚓
'guan'wei'qiao'yan'chong 管围巧言虫
'guan'ying'chong 管缨虫
'guang'bei'jie'bian'shui'shi 光背节鞭水虱
'guang'chun'yu 光唇鱼
'guang'da'bian'yu'luo 广大扁玉螺
'guang'hua'bei'ji'she'wei 光滑倍棘蛇尾
'guang'hua'he'lan'ge 光滑河篮蛤
'guang'hua'xia'kou'luo 光滑狭口螺
'guang'hui'yuan'shan'xie 光辉圆扇蟹
'guang'liang'bei'ji'she'wei 光亮倍棘蛇尾
'guang'liang'ni'lian'chong 光亮拟涟虫
'guang'luo 光螺
'guang'tu'chi'sha'can 光突齿沙蚕
'guang'zhi'chong'shu 光稚虫属
'gui'jie'chong 瑰节虫
'guo'luo'fei 蜾蠃蜚
'ha'lin'chong 哈鳞虫
'ha'shi'fang'dui'xia 哈氏仿对虾
'ha'shi'he'mei'xia 哈氏和美虾
'ha'shi'ke'lei'hai'dan 哈氏刻肋海胆
'ha'shi'mei'ren'xia 哈氏美人虾
'hai'bi 海笔
'hai'dan'you'ti 海胆幼体
'hai'di'gua 海地瓜
'hai'dou'ya'shu 海豆芽属
'hai'gou'xia'shu 海钩虾属
'hai'kui 海葵
'hai'lang 海螂
'hai'long 海龙
'hai'ma 海马
'hai'nv'chong 海女虫
'hai'qiao 海鞘
'hai'shen'you'ti 海参幼体
'hai'sun 海笋
'hai'tong'xi 海筒螅
'hai'wan'shan'bei 海湾扇贝
'hai'xian'ren'zhang 海仙人掌
'hai'xing'gang 海星纲
'hai'yan 海燕
'hai'zhang'lang 海蟑螂
'hai'zhe 海蜇
'hai'zhe'xia 海蜇虾
'hai'zhi'chong 海稚虫
'hai'zhi'chong'ke 海稚虫科
'hai'zhi'zhu 海蜘蛛
'han'guan'cuo'shi'bie 函馆锉石鳖
'han'guan'xue'cuo'ge 函馆雪锉蛤
'han'hu'ni'ci'chong 含糊拟刺虫
'han'luo 涵螺
'he'guo'luo'fei 河蜾蠃蜚
'he'han 褐蚶
'he'hua'fu'ke 河花蜉科
'he'ping'ge 和平蛤
'he'se'lian'mao'lin'chong 褐色镰毛鳞虫
'he'xian 河蚬
'he'xu'qu 颌须鮈
'he'yan'gou'xia 合眼钩虾
'he'yan'gou'xia'ke 合眼钩虾科
'hei'ban'duo'chi'lin'chong 黑斑多齿鳞虫
'hei'e'xin'kang'xia 黑额新糠虾
'hei'luo'ke 黑螺科
'hei'wen'ban'nian'luo 黑纹斑捻螺
'hei'xian'zhi'wen'luo 黑线织纹螺
'hong'ao'tang'bi'xiang'shou'xie 红螯螳臂相手蟹
'hong'cai'ming'ying'ge 虹彩明樱蛤
'hong'ci'jian'zhui'chong 红刺尖锥虫
'hong'dai'zhi'wen'luo 红带织纹螺
'hong'guang'liang'ying'ge 虹光亮樱蛤
'hong'lang'ya'xia'hu'yu 红狼牙虾虎鱼
'hong'lang'ya'xia'hu'yu 红狼牙鰕虎鱼
'hong'luo'xu'yao'wen 红裸须摇蚊
'hong'ming'ying'ge 红明樱蛤
'hong'tiao'mao'wen'shi'bie 红条毛纹石鳖
'hong'wen'fu 红纹蜉
'hong'xian'li'ming'xie 红线黎明蟹
'hou'ke'yi'bei 厚壳贻贝
'hou'lei'lu'chi'luo 厚肋露齿螺
'hou'zhi'chong 后稚虫
'hou'zhi'chong'shu 后稚虫属
'hu'bian'zhao'chao'xie 弧边招潮蟹
'hu'po'ci'sha'can 琥珀刺沙蚕
'hu'tao'ge 胡桃蛤
'hu'zhao'gu'ge 湖沼股蛤
'hua'bian'ni'mao'bei 花边拟帽贝
'hua'chi'fu 花翅蜉
'hua'chun'ke 划蝽科
'hua'ding'bo'qiao'niao'ge 滑顶薄壳鸟蛤
'hua'gang'gou'mao'chong 花冈钩毛虫
'hua'li'kuan'fu'qing 华丽宽腹蜻
'hua'ni'an'gou'xia 华拟安钩虾
'hua'wei'gou'xia 华尾钩虾
'hua'zhi'ji'sha'can 滑指矶沙蚕
