'an'qi'xiao 暗器蛸
'bai'chi'long 白炽龙
'bao'yi'long 爆翼龙
'bo'yi'long 波衣龙
'chan'wa 缠蛙
'ci'hua'zhi'zhu 刺花蜘蛛
'ci'huo'long 雌火龙
'ci'qiang'yi'long 刺枪翼龙
'dian'jiao'shou 电角兽
'dong'feng'long 冻峰龙
'du'guai'niao 毒怪鸟
'dun'tu'long 盾突龙
'feng'jia'long 风铗龙
'guai'niao 怪鸟
'hai'long 海龙
'he'yuan'shou 赫猿兽
'hei'shi'long 黑蚀龙
'hu'huo'long 护火龙
'hu'lei'e'long 护雷颚龙
'hu'lu'ying'long 护鹭鹰龙
'hu'pi'shou 护辟兽
'hu'suo'ren'long 护锁刃龙
'hu'xiong'zhao'long 护凶爪龙
'huang'lei'long 煌雷龙
'huo'long 火龙
'ji'wen'long 棘吻龙
'jian'yu'long 箭羽龙
'jiao'ni 胶鲵
'ju'dai'long 锯带龙
'ju'feng 巨蜂
'ju'ji'long 巨戟龙
'kai'long 铠龙
'kui'su'long 盔速龙
'lei'jia'long 雷甲龙
'mao'shi'xun'lian'yong'quan'ji'mu'tong'ba 猫式训练用拳击木桶靶
'pao'hu'long 泡狐龙
'pi'shou 辟兽
'qian'ren'long 千刃龙
'qian'su'long 钳速龙
'sha'hai'long 沙海龙
'suo'ren'long 锁刃龙
'tao'mao'shou 桃毛兽
'tao'mao'shou'wang 桃毛兽王
'wei'xing'ou'mi'jia 微型欧米茄
'xue'dao'chong 血盗虫
'xue'mian'chong 血眠虫
'xue'shi'zi 雪狮子
'xue'shi'zi'wang 雪狮子王
'yan'wei'long 炎尾龙
'ying'zhi'zhu 影蜘蛛
'you'xing'ou'mi'jia 游星欧米茄
'yu'yan'xiao 狱焰蛸
'zhao'pen'long 沼喷龙
'zhi'ying'zhi'zhu 稚影蜘蛛
