'an'ti'shi'xin'xi'sou'suo 按提示信息搜索
'an'wu'pin'ming'huo'ti'shi'xin'xi'sou'suo 按物品名或提示信息搜索
'an'wu'pin'ming'sou'suo 按物品名搜索
'an'zhu'yi'da'kai'zhi'nan 按住以打开指南
'bai'ming'dan'pi'pei 白名单匹配
'bai'se 白色
'bao'gao'bu'ke'jiao'hu'de'liu'ti 报告不可交互的流体
'bao'gao'bu'ke'jiao'hu'de'wu'pin 报告不可交互的物品
'bao'liu'shang'yi'ci'de'sou'suo'nei'rong 保留上一次的搜索内容
'bao'zha 爆炸
'bei'cun'chu'zai'yi'ge'kong'jian'cun'chu'yuan'jian'zhong 被存储在一个空间存储元件中
'bei'dong'hao'neng 被动耗能
'bei'jia'zai'de'qu'kuai'bu'ke'jian 被加载的区块不可见
'bei'pai'chu'ge 被排除个
'bei'xiao'hao 被消耗
'bei'zhan'yong'ge 被占用个
'bi'xiang'zi'geng'hao 比箱子更好
'bi'xu'wei'yi'ge'zheng'shu 必须为一个整数
'bian'xie'shi'liu'ti'chu'cun'chu'guan'tong'deng 便携式流体储存储罐桶等
'bian'xie'shi'neng'liang'cun'chu'dian'chi'deng 便携式能量存储电池等
'bian'xie'yang'ban 编写样板
'bian'xie'yuan'jian 便携元件
'biao'zhun'fa'xin'qi 标准发信器
'bing'xing'chu'li'dan'yuan 并行处理单元
'bu'jian'rong'gai'he'cheng'biao 不兼容该合成表
'bu'shi'yong'dui'ying'liu'ti 不使用对应流体
'bu'zu'que'shi 不足缺失
'can'que'de'he'cheng'ji'hua'cai'liao'bu'zu 残缺的合成计划材料不足
'cao'zuo'guo'lv 操作过滤
'cao'zuo'mo'shi 操作模式
'ce'shi'shi'jie'chuang'jian'wan'cheng'yong'shi 测试世界创建完成用时
'chan'neng 产能
'chang'shi'shi'yong'dui'ying'liu'ti'er'fei'wu'pin 尝试使用对应流体而非物品
'chao'chu'wu'xian'xin'hao'fan'wei 超出无线信号范围
'cheng'se 橙色
'cheng'xing'mian'ban 成型面板
'chong'neng'qi 充能器
'chong'neng'shi'jian 充能时间
'chong'neng'shi'ying'huo'ba 充能石英火把
'chong'shi 重试
'chong'zhi'shi'tu 重置视图
'chu'li'qi 处理器
'chu'li'yang'ban 处理样板
'chu'liang 储量
'chuang'jian'ce'shi'shi'jie'shi'bai 创建测试世界失败
'chuang'zao'neng'yuan'yuan'jian 创造能源元件
'ci'ji'qi'de'sheng'ji'ka'rong'liang'yi'man 此机器的升级卡容量已满
'ci'qu'yu'jin'qi'mei'you'yi'zhi'yi'wei'fa'sheng 此区域近期没有已知移位发生
'cui'sheng'qi 催生器
'cun'chu 存储
'cun'chu'gui'mo 存储规模
'cun'chu'man'bu 存储漫步
'cun'chu'rong'liang 存储容量
'cun'chu'rong'liang'tai'xiao'ge 存储容量太小个
'cun'chu'yuan'jian 存储元件
'cun'chu'yuan'jian'wu'pin'mei'you'nei'bu'jie'mian 存储元件物品没有内部界面
'cun'chu'zong'xian 存储总线
'cun'ru'qu'chu'dou'qi'yong'guo'lv 存入取出都启用过滤
'cun'ru'shi'gao'you'xian'ji'she'bei'you'xian 存入时高优先级设备优先
'da'dan'qu'ba 大胆去吧
'da'kai'shi'qing'chu'sou'suo'kuang'nei'rong 打开时清除搜索框内容
'da'kai'shi'zi'dong'ju'jiao'sou'suo'kuang 打开时自动聚焦搜索框
'da'kai'zhi'nan 打开指南
'da'xing'sai'te'si'shi'ying'ya 大型赛特斯石英芽
'dan'hui'se 淡灰色
'dan'yao'hao'jin 弹药耗尽
'dang'gong'xu'wan'cheng'shi'yi'zhi'shu'chu'cao 当工序完成时移至输出槽
'dang'qian'pin'dao'mo'shi 当前频道模式
'dang'wu'pin'he'cheng'shi'fa'chu'hong'shi'xin'hao 当物品合成时发出红石信号
'dang'yuan'jian'wei'kong'shi'yi'zhi'shu'chu'cao 当元件为空时移至输出槽
'dang'yuan'jian'zhuang'man'shi'yi'zhi'shu'chu'cao 当元件装满时移至输出槽
'di'gui'jian'wang 递归建网
'dian'dui'dian'jian'wang 点对点建网
'dian'ji'cha'kan'xiang'xi'xin'xi 点击查看详细信息
'dian'ji'chuan'song'dao'gai'qu'yu 点击传送到该区域
'diao'du'mo'shi 调度模式
'diao'wen'sai'te'si'shi'ying'kuai 雕纹赛特斯石英块
'diao'wen'sai'te'si'shi'ying'lou'ti 雕纹赛特斯石英楼梯
'diao'wen'sai'te'si'shi'ying'qiang 雕纹赛特斯石英墙
'diao'wen'sai'te'si'shi'ying'tai'jie 雕纹赛特斯石英台阶
'duan'kou 端口
'duan'zao'tai'yang'ban 锻造台样板
'fa'chu'hong'shi'xin'hao'yi'he'cheng'wu'pin 发出红石信号以合成物品
'fan'hui 返回
'fan'wei 范围
'fang'da 放大
'fang'kuai'cheng'xing 方块成型
'fang'kuai'jiang'bei'fang'zhi 方块将被放置
'fang'kuai'jiang'yi'wu'pin'xing'shi'diao'luo 方块将以物品形式掉落
'fei'zi'ran 非自然
'fen'hong'se 粉红色
'fen'qu'cun'chu 分区存储
'fen'zi'zhuang'pei'shi 分子装配室
'feng'bi'kong'jian 封闭空间
'fu'chan'wu 副产物
'fu'chan'wu'gai'lv'wei 副产物概率为
'fu'lu'yi'ke'si'kuai 福鲁伊克斯块
'fu'lu'yi'ke'si'lou'ti 福鲁伊克斯楼梯
'fu'lu'yi'ke'si'neng'liang'lian'jie 福鲁伊克斯能量连接
'fu'lu'yi'ke'si'qiang 福鲁伊克斯墙
'fu'lu'yi'ke'si'se 福鲁伊克斯色
'fu'lu'yi'ke'si'tai'jie 福鲁伊克斯台阶
'fu'lu'yi'ke'si'yan'jiu'yuan 福鲁伊克斯研究员
'fu'mo'hui'zeng'jia'neng'hao 附魔会增加能耗
'fu'zhi'mo'shi 复制模式
'gai'he'cheng'biao'mei'you'chan'wu 该合成表没有产物
'gai'ji'qi'bu'zhi'chi'zhe'zhong'sheng'ji'ka 该机器不支持这种升级卡
'gai'wu'pin'bu'hui'xiao'shi 该物品不会消失
'gao'liang'de'wu'pin'ke'yi'zi'dong'zhi'zuo 高亮的物品可以自动制作
'geng'da'de'gong'zuo'tai 更大的工作台
'geng'gai'ci'yang'ban'de'zhu'chan'wu 更改此样板的主产物
'guan'bi 关闭
'guang'liang'tan'ce'qi 光亮探测器
'guang'tong 光通
'gui'mo 规模
'gui'mo'wu'xiao 规模无效
'hao'neng 耗能
'he'cheng 合成
'he'cheng'biao'da'yu 合成表大于
'he'cheng'cun'chu'qi 合成存储器
'he'cheng'dan'yuan 合成单元
'he'cheng'fa'xin'mo'shi 合成发信模式
'he'cheng'ji'hua 合成计划
'he'cheng'jian'kong'qi 合成监控器
'he'cheng'mo'shi 合成模式
'he'cheng'shu'liang 合成数量
'he'cheng'xing'wei 合成行为
'he'cheng'yang'ban 合成样板
'he'cheng'yi'jie'suo 合成已解锁
'he'cheng'yi'shu'jia 合成艺术家
'he'cheng'yi'suo'ding 合成已锁定
'he'cheng'zhong'duan 合成终端
'he'cheng'zhuang'tai 合成状态
'hei'ming'dan'mo'shi 黑名单模式
'hei'se 黑色
'hong'se 红色
'hong'shi'mo'shi 红石模式
'hu'lue'mu'biao'rong'qi'nei'de'wu'pin 忽略目标容器内的物品
'huang'lv'se 黄绿色
'huang'se 黄色
'hui'se 灰色
'ji'hua'he'cheng 计划合成
'ji'lv 几率
'ji'qi'wei'gong'neng 机器未供能
'ji'yu'xian'cun'wu'pin'pei'zhi'fen'qu 基于现存物品配置分区
'ji'zhu'shang'ci'jin'xing'de'sou'suo 记住上次进行的搜索
'jia'su'qing'er'yi'ju 加速轻而易举
'jia'zai'zhong'gong'ge'qu'kuai'zai'ge'wei'du'zhong 加载中共个区块在个维度中
'jian'ce'lei'xing 检测类型
'jian'kong'qi'yi'jie'suo 监控器已解锁
'jian'kong'qi'yi'suo'ding 监控器已锁定
'jian'wang'pei'dian 建网配电
'jian'zheng'li 键整理
'jiang'xu 降序
'jiang'zi'dong'he'cheng'que'shi'wu'pin 将自动合成缺失物品
'jie'kou 接口
'jie'you'ta'ren'xun'zhao'zi'wo 借由他人寻找自我
'jin'qu'chu 仅取出
'jin'ru 浸入
'jin'zai'zhi'chi'que'miao'yi'shan'he 近在咫尺却邈以山河
'jing'que'pi'pei 精确匹配
'ju'neng'shi'ying'bo'li 聚能石英玻璃
'ju'zhen'kuang'jia 矩阵框架
'kai'fang'shi'dian'nao 开放式电脑
'kai'lie'de'sai'te'si'shi'ying'mu'yan 开裂的赛特斯石英母岩
'kai'shi 开始
'kao'jin'bu'tong'de'ji'qi 靠近不同的机器
'ke'bei'fu'mo 可被附魔
'ke'cong'cun'ru 可从存入
'ke'cong'qu'chu 可从取出
'ke'cun'chu 可存储
'ke'he'cheng 可合成
'ke'qing'qiu'shu'liang 可请求数量
'ke'ti'huan'de'cai'liao'yi'biao'cheng'lv'se 可替换的材料已标成绿色
'ke'yi'qing'qiu'zi'dong'he'cheng'xi'tong'jin'xing'he'cheng 可以请求自动合成系统进行合成
'ke'yong'sheng'ji 可用升级
'ke'yong'shu'liang 可用数量
'kong'bai 空白
'kong'jian'mao 空间锚
'kong'jian'ta 空间塔
'kong'jian'xie'tiao 空间协调
'kong'zhi'qi 控制器
'lai'zi 来自
'lan'se 蓝色
'lei'xing 类型
'li'xian'zhong'ge 离线中个
'liang'zi'huan 量子环
'liang'zi'lian'jie'cang 量子链接仓
'liang'zi'sui'chuan 量子隧穿
'liu'dong'de 流动的
'liu'ti 流体
'liu'ti'cun'chu'zong'xian 流体存储总线
'liu'ti'shu'chu'zong'xian 流体输出总线
'liu'ti'shu'ru'zong'xian 流体输入总线
'liu'ti'ti'huan 流体替换
'lun'huan'chan'wu'wei'zhi 轮换产物位置
'lv'se 绿色
'mei'ge'wu'pin'ju'he'wei'yi'ge'wu'zhi'qiu 每个物品聚合为一个物质球
'mei'na'me'shen'mi'de'fang'kuai 没那么神秘的方块
'mei'you'dui'ying'de'xiao'xi 没有对应的消息
'mei'you'hong'shi'xin'hao'shi 没有红石信号时
'mei'you'zheng'zai'jin'xing'de'he'cheng'ren'wu 没有正在进行的合成任务
'mo'hu'pi'pei 模糊匹配
'mo'zu 模组
'mo'zu'ming'cheng 模组名称
'mu'zhi'qu'bing 木质曲柄
'nei'cun'ka'yi'qing'kong 内存卡已清空
'neng'yuan'dan'wei 能源单位
'neng'yuan'fa'xin'qi 能源发信器
'neng'yuan'jie'shou'qi 能源接收器
'neng'yuan'yuan'jian 能源元件
'neng'yuan'zhuang'tai 能源状态
'ni'bi'xu'chu'yu'feng'bi'kong'jian'wei'du 你必须处于封闭空间维度
'ni'mei'you'zu'gou'de'quan'xian'lai'zhi'xing'gai'zhi'ling 你没有足够的权限来执行该指令
'pei'yu'sai'te'si'shi'ying 培育赛特斯石英
'pei'zhi 配置
'pei'zhi'wen'jian 配置文件
'pei'zhi'wu'pin'lan 配置物品栏
'pi'pei'suo'you 匹配所有
'pin'dao'hao'neng 频道耗能
'pin'dao'mo'shi'yi'she'zhi'wei'geng'xin'le'ge 频道模式已设置为更新了格
'pin'hong'se 品红色
'ping'hua'sai'te'si'shi'ying'kuai 平滑赛特斯石英块
'ping'hua'sai'te'si'shi'ying'lou'ti 平滑赛特斯石英楼梯
'ping'hua'sai'te'si'shi'ying'qiang 平滑赛特斯石英墙
'ping'hua'sai'te'si'shi'ying'tai'jie 平滑赛特斯石英台阶
'qi'shi'zuo'biao 起始坐标
'qi'yong'ti'huan 启用替换
'qian'lan'se 浅蓝色
'qie'shi'ji'yang'ban 切石机样板
'qie'zhi'sai'te'si'shi'ying'kuai 切制赛特斯石英块
'qie'zhi'sai'te'si'shi'ying'lou'ti 切制赛特斯石英楼梯
