'ba'bao'bo'cai 八宝菠菜
'ba'meng'hui'suan'cai 巴盟烩酸菜
'ba'meng'mian'jin 巴盟面筋
'ba'meng'suan'huang'gua 巴盟酸黄瓜
'bai'cai'mu'er 白菜木耳
'bai'zhuo'bo'cai 白灼菠菜
'bai'zhuo'cai'tou 白灼菜头
'bai'zhuo'cai'xin 白灼菜心
'ben'ji'dun'bai'mo 笨鸡炖白蘑
'ben'ji'dun'huang'mo 笨鸡炖黄蘑
'ben'ji'dun'tu'dou 笨鸡炖土豆
'ben'ji'dun'tu'dou'kuan'fen 笨鸡炖土豆宽粉
'ben'ji'dun'xiang'gu 笨鸡炖香菇
'ben'ji'dun'zhen'jun 笨鸡炖珍菌
'ben'ji'men'su'gao 笨鸡焖素糕
'ben'ji'su'gao 笨鸡素糕
'ben'ji'zhen'jun 笨鸡珍菌
'bu'liu'ke 卜留克
'bu'liu'ke'si 卜留克丝
'cheng'zhi'mu'gua'si 橙汁木瓜丝
'chi'feng'you'ji'yu 赤峰有机鱼
'chi'you'jiao'quan'fei'you'zha 豉油椒圈非油炸
'chuan'wei'la'pi 川味拉皮
'chuan'wei'luo'bo'ding 川味萝卜丁
'chuan'wei'pao'cai 川味泡菜
'cong'you'ban'cha'you'zhong'qi'hu'luo'bo'si 葱油拌察右中旗胡萝卜丝
'cong'you'gai'cai 葱油盖菜
'cong'you'sun'si 葱油笋丝
'cu'liu'bai'cai 醋溜白菜
'cu'pao'qin'cai 醋泡芹菜
'cui'ban'yu'tou'si 脆拌芋头丝
'da'bang'gu'suan'cai 大棒骨酸菜
'da'pan'ji 大盘鸡
'dong'bei'dun'da'e 东北炖大鹅
'dong'bei'luan'dun 东北乱炖
'dong'bei'tie'guo'dun 东北铁锅炖
'dong'po'zhou'zi 东坡肘子
'dun'su'ni'te'huang'niu'pai 炖苏尼特黄牛排
'dun'su'ni'te'yang'rou 炖苏尼特羊肉
'fang'huo'tui'ban'huang'gua 方火腿拌黄瓜
'ga'li'ji 咖喱鸡
'ga'li'ji'kuai 咖喱鸡块
'gan'cao'zhu'rou'hui'suan'cai 甘草猪肉烩酸菜
'guo'ren'cai'xin 果仁菜心
'guo'ren'xing'bao'gu 果仁杏鲍菇
'hang'jin'qi'gan'cao'zhu'rou'hui'suan'cai 杭锦旗甘草猪肉烩酸菜
'he'lin'dun'yang'rou 和林炖羊肉
'hei'zhu'rou'hui'suan'cai 黑猪肉烩酸菜
'hong'jiu'xue'li 红酒雪梨
'hong'men'cao'yuan'niu'da'gu 红焖草原牛大骨
'hong'men'ji'gu 红焖脊骨
'hong'men'su'ni'te'yang'rou 红焖苏尼特羊肉
'hong'men'su'ni'te'yang'rou'tu'dou 红焖苏尼特羊肉土豆
'hong'men'tuo'rou'tuo'da'gu 红焖驼肉驼大骨
