'an'mian'xun'yi'cao 安眠薰衣草
'bai'bai'he 白百合
'bai'fen'hui'lan 白粉蕙兰
'bai'he'yu 白鹤芋
'bai'hua'cheng'mi 百花成蜜
'bai'hua'ma'chi'xian 白花马齿苋
'bai'ling'zhu'lang 白灵逐浪
'bai'qian'jian'lan 白茜剑兰
'bai'se'man'tian'xing 白色满天星
'bai'yu'jiang'he'hua 白玉姜荷花
'bai'zi'ling'xiao'hua 白紫凌霄花
'ban'jian'chang'shou'hua 半见长寿花
'bao'zhu'yu'lan 宝珠玉兰
'bi'luo'jia'zhu'tao 碧落夹竹桃
'bi'luo'jie'kui'lin 碧落杰奎琳
'bi'luo'yue'jian'cao 碧落月见草
'bi'yu'liu'chu'hua 碧玉六初花
'bi'yu'qing'luan 碧羽青鸾
'bing'lan'ai'qian'niu 冰蓝矮牵牛
'bing'lan'die'wu'mei'gui 冰蓝蝶舞玫瑰
'bing'lan'gu'yuan'wei 冰蓝谷鸢尾
'bing'lan'hei'zhong'cao 冰蓝黑种草
'bo'fen'hui'lan 薄粉蕙兰
'bo'hong'yu'mei'ren 薄红虞美人
'bo'li'heng'zhi'xing 伯利恒之星
'bo'teng'tie'xian'lian 薄藤铁线莲
'bo'ye'jin'gui 波叶金桂
'cheng'guang'fu'xiao'yue'ji 橙光拂晓月季
'cheng'huang'jun'zi'lan 橙黄君子兰
'cheng'huang'yu'mei'ren 橙黄虞美人
'cheng'huang'zuo'jiang'cao 橙黄酢浆草
'cheng'xia'hua'mao'gen 橙霞花毛茛
'cheng'xin'jian'lan 橙心剑兰
'cheng'zhang'zhi'lu 成长之路
'chi'guang'xia'meng 池光夏梦
'chi'hui'shi'zhu'hua 赤晖石竹花
'chi'yan'huo'yan'lan 赤炎火焰兰
'chu'ju 雏菊
'chun'bai'mu'xiang'hua 纯白木香花
'chun'bai'wan'xiang'yu 纯白晚香玉
'chun'lv'hui'lan 春绿蕙兰
'chun'xiao'mu'xiang'hua 春晓木香花
'dai'zi'lv'rong'hao 黛紫绿绒蒿
'dai'zi'xiang'wan'dou 黛紫香豌豆
'dai'zi'yang'zi'jing 黛紫洋紫荆
'dai'zi'yu'lan 黛紫玉兰
'dai'zi'yu'mei'ren 黛紫虞美人
'dan'fen'fei'zhou'jin 淡粉非洲堇
'dan'fen'ma'chi'xian 淡粉马齿苋
'dan'fen'ru'yi'ju 淡粉如意菊
'dan'fen'xue'liu 淡粉雪柳
'dan'hong'lou'dou'cai 丹红耧斗菜
'dan'hong'shu'kui'hua 丹红蜀葵花
'dan'huang'san'jiao'mei 淡黄三角梅
'dan'qian'shu'kui'hua 淡茜蜀葵花
'dan'zi'jia'zhu'tao 丹紫夹竹桃
'dan'zi'ju'ju 淡紫菊苣
'dao'dan'you'you 捣蛋幽幽
'deng'you'zhu'xiao 灯游逐宵
'die'ying'mei'shu 蝶影梅书
'e'huang'bao'chun'hua 鹅黄报春花
'e'huang'tie'kuai'hua 鹅黄铁筷花
'fan'hua'man'zhu 繁花满筑
'fang'hua'xun'die 芳华寻蝶
'fang'rui'qiong'jiang 芳蕊琼浆
'fang'ting'hua'yan 芳庭花宴
'fei'huang'yu'lan 飞黄玉兰
'fei'se'la'mei 绯色腊梅
'fei'xue'jie'kui'lin 绯雪杰奎琳
'fei'zhou'ju 非洲菊
'fen'bai'he 粉百合
'fen'bai'jun'zi'lan 粉白君子兰
'fen'bai'san'jiao'mei 粉白三角梅
'fen'bai'zuo'jiang'cao 粉白酢浆草
'fen'dai'de'yuan 粉黛德鸢
'fen'fei'tie'kuai'hua 粉菲铁筷花
'fen'he'yu 粉鹤芋
'fen'hong'mu'jin'hua 粉红木槿花
'fen'hua'qi'meng 粉花绮梦
'fen'mei'gui 粉玫瑰
'fen'mi'cha'mei'hua 粉米茶梅花
'fen'mi'lu'wei'hua 粉米露薇花
'fen'se'feng'xin'zi 粉色风信子
'fen'se'man'tian'xing 粉色满天星
'fen'shi'che'ju 粉矢车菊
'fen'tao'hua 粉桃花
'fen'xiu'qiu 粉绣球
'fen'yan'hai'tang'hua 粉胭海棠花
'fen'ying'die'wu'mei'gui 粉樱蝶舞玫瑰
'fen'ying'yue'jian'cao 粉樱月见草
'fen'yu'jin'xiang 粉郁金香
'fen'yu'zhu'ding'hong 粉羽朱顶红
'fen'yue'ji 粉月季
'fen'yun'shi'zhu'hua 粉韵石竹花
'fen'zi'hua'shan 粉紫华珊
'feng'li'hua 凤梨花
'feng'ling'hua 风铃花
'fu'gui'zhu 富贵竹
'fu'xiang'hua'bing 馥香花饼
'fu'xiang'ying'you 芙香盈柚
'fu'yun'zhao'cai 福运招财
'gan'zi'fei'yan'cao 绀紫飞燕草
'gong'deng'bai'he 宫灯百合
'gu'su'yu'meng 姑苏雨蒙
'guan'fang'huo'dong 官方活动
'gui'yue'qiu'qian'zhi'yu 桂月秋千稚语
'he'hong'tie'kuai'hua 褐红铁筷花
'he'huan'hua 合欢花
'he'ji'xing'he 鹤寄星河
'he'wang'lan 鹤望兰
'he'yue'chi'guang'xia'meng 荷月池光夏梦
'hei'rui'bai'yin'lian 黑蕊白银莲
'hei'yao'da'li'hua 黑曜大丽花
'hong'he'yu 红鹤芋
'hong'ma'ti'lian 红马蹄莲
'hong'mei'gui 红玫瑰
'hong'xia'xian'zhi 虹霞仙芝
'hong'xiang'fei'la'mei 红香妃腊梅
'hu'di'xiao 忽地笑
'hu'die'lan 蝴蝶兰
'hua'fang'dui'huan 花坊兑换
'hua'fang'xuan'shang 花坊悬赏
'hua'hao'yue'yuan 花好月圆
'hua'jian'fei'yuan 花间飞鸢
'hua'jian'ji'fang 花笺集芳
'hua'kai'tong'hang 花开同行
'hua'ling'shang'dian 花灵商店
'hua'long'liu'fang 花笼流芳
'hua'long'qiong'guang 花笼琼光
'hua'long'xing'yu 花笼星语
'hua'lu'tian'zhou 花露甜粥
'hua'shan'que'xi 花扇鹊嬉
'hua'yan'liu'fang 花宴流芳
'hua'zhi'mi'ling 花之密令
'huan'nao'nan'gua 欢闹南瓜
'huan'xue'song'dong 欢雪颂冬
'huan'yun'miao'wu 欢云妙舞
'huan'zi'tie'xian'lian 幻紫铁线莲
'huang'bai'he 黄百合
'huang'bai'zuo'jiang'cao 黄白酢浆草
'huang'ma'ti'lian 黄马蹄莲
'huang'mei'gui 黄玫瑰
'huang'se'ding'xiang'hua 黄色丁香花
'huang'se'hai'tang'hua 黄色海棠花
'huang'yu'jin'xiang 黄郁金香
'huang'yuan'qiang'wei'hua 黄鸢蔷薇花
'huo'rui'zhu'ding'hong 火蕊朱顶红
'huo'yan'zhen'dian'hua 火焰针垫花
'huo'yao'jin'dan 火耀金丹
'ji'lan'mu'dan 霁澜牡丹
'ji'lan'zi'teng'hua 霁蓝紫藤花
'jia'yue'qi'zhou'fan'yi 葭月栖舟泛漪
'jiang'cheng'jia'lan 绛橙嘉兰
