'an'quan'ce'lue'zhi'ding 安全策略制定
'an'quan'shen'ji'liu'cheng 安全审计流程
'an'quan'xing'shen'ji 安全性审计
'ban'ben'guan'li 版本管理
'bei'fen'yu'hui'fu'liu'cheng 备份与恢复流程
'ben'di'shu'ju'zhi'li'wei'yuan'hui 本地数据治理委员会
'bian'ge'guan'li 变革管理
'bian'ge'tui'dong 变革推动
'bu'shu'guan'li 部署管理
'can'kao'shu'ju'guan'li 参考数据管理
'cao'zuo'feng'xian 操作风险
'cao'zuo'jian'kong'ti'xi 操作监控体系
'cao'zuo'shu'ju'cun'chu 操作数据存储
'cheng'ben'guan'li 成本管理
'cheng'ben'kong'zhi 成本控制
'cheng'ben'xiao'yi'fen'xi 成本效益分析
'cheng'guo'ping'gu 成果评估
'cheng'shu'du'mo'xing 成熟度模型
'cheng'shu'du'ping'gu 成熟度评估
'chi'xu'gai'jin 持续改进
'chu'li'xiao'lv 处理效率
'chui'zhi'guan'li 垂直管理
'cun'chu'jie'zhi'xuan'ze 存储介质选择
'cun'chu'you'hua'ji'shu 存储优化技术
'da'shu'ju'guan'li 大数据管理
'da'shu'ju'ping'tai 大数据平台
'du'liang'zhi'biao 度量指标
'fa'bu'guan'li 发布管理
'fa'gui'zun'cong 法规遵从
'fang'fa 方法
'fang'wen'kong'zhi'lie'biao 访问控制列表
'fei'jie'gou'hua'shu'ju 非结构化数据
'fen'bu'shi'guan'li 分布式管理
'fen'bu'shi'jia'gou 分布式架构
'fen'lei'suan'fa 分类算法
'feng'xian'bao'gao 风险报告
'feng'xian'guan'li 风险管理
'feng'xian'guan'li'ji'hua 风险管理计划
'feng'xian'huan'jie 风险缓解
'feng'xian'jian'kong 风险监控
'feng'xian'ping'gu 风险评估
'feng'xian'shi'bie 风险识别
'feng'xian'yu'jing 风险预警
'feng'xian'zhi'biao 风险指标
'feng'xian'zhi'li'kuang'jia 风险治理框架
'fu'wu'guan'li 服务管理
'fu'zhi'shi'mo'xing 复制式模型
'gai'jin'xiao'guo'ping'gu 改进效果评估
'gao'ji'shu'ju'guan'li'zhuan'yuan 高级数据管理专员
'gong'ju 工具
'gong'ju'guan'li 工具管理
'gou'tong'guan'li 沟通管理
'gou'tong'ji'hua 沟通计划
'guan'lian'gui'ze'wa'jue 关联规则挖掘
'he'gui 合规
'he'gui'feng'xian 合规风险
'he'gui'guan'li 合规管理
'he'gui'lv 合规率
'he'gui'xing'jian'cha 合规性检查
'hou'qi'zhi'chi 后期支持
'hu'cao'zuo'xing'biao'zhun 互操作性标准
'hui'gui'fen'xi 回归分析
'huo'dong 活动
'ji'cheng'mo'shi 集成模式
'ji'qi'xue'xi 机器学习
'ji'qi'xue'xi'suan'fa 机器学习算法
'ji'shi'xing'ping'gu 及时性评估
'ji'shu'feng'xian 技术风险
'ji'shu'guan'li 技术管理
'ji'shu'shu'ju'guan'li'zhuan'yuan 技术数据管理专员
'ji'xiao'guan'li 绩效管理
'ji'xiao'ping'gu 绩效评估
'ji'xiao'zhi'biao 绩效指标
'ji'zhong'guan'li 集中管理
'ji'zhong'shi'mo'xing 集中式模型
'ji'zhun'bi'jiao 基准比较
'jia'gou'lan'tu 架构蓝图
'jia'gou'lu'xian'tu 架构路线图
'jia'gou'zhi'li 架构治理
'jia'zhi'guan'li 价值管理
'jia'zhi'heng'liang 价值衡量
'jian'du 监督
'jie'kou'gui'fan 接口规范
'ju'lei'fen'xi 聚类分析
'ke'shi'hua'yi'biao'ban 可视化仪表板
'ke'yong'xing'zhi'biao 可用性指标
'li'yi'xiang'guan'fang'fen'xi 利益相关方分析
'li'yi'xiang'guan'fang'guan'li 利益相关方管理
'lian'bang'shi'jia'gou 联邦式架构
'lian'bang'shi'mo'xing 联邦式模型
'liu'cheng'you'hua 流程优化
'liu'shi'shu'ju'chu'li 流式数据处理
'liu'shu'ju'chu'li 流数据处理
'lou'dong'guan'li 漏洞管理
'lou'dong'sao'miao 漏洞扫描
'mu'biao 目标
'nei'bu'kong'zhi 内部控制
'pei'xun'cai'liao 培训材料
'pei'zhi'guan'li 配置管理
'pi'chu'li'cao'zuo 批处理操作
'pi'chu'li'ji'cheng 批处理集成
'pi'chu'li'ji'suan 批处理计算
'qi'ye'shu'ju'guan'li'zhuan'yuan 企业数据管理专员
'qi'ye'shu'ju'jia'gou 企业数据架构
'ren'gong'zhi'neng'ying'yong 人工智能应用
'shang'wu'zhi'neng'guan'li 商务智能管理
'shang'xian'bu'shu 上线部署
'shen'du'xue'xi'kuang'jia 深度学习框架
'shen'fen'yan'zheng'ji'zhi 身份验证机制
'shen'ji'gen'zong 审计跟踪
'shen'jing'wang'luo'mo'xing 神经网络模型
'sheng'ji'guan'li 升级管理
'sheng'yu'feng'xian 声誉风险
'shi'dian'xiang'mu 试点项目
'shi'jian'gui'hua 时间规划
'shi'jian'xiang'ying 事件响应
'shi'shi'fen'xi'yin'qing 实时分析引擎
'shi'shi'ji'cheng 实时集成
'shi'shi'jie'duan 实施阶段
'shi'shi'lu'xian'tu 实施路线图
'shi'shi'zhi'nan 实施指南
'shi'wu'chu'li'guan'li 事务处理管理
'shou'quan'guan'li 授权管理
'shou'xi'shu'ju'guan 首席数据官
'shou'xi'shu'ju'guan'li'zhuan'yuan 首席数据管理专员
'shu'ju'an'quan 数据安全
'shu'ju'an'quan'guan'li 数据安全管理
'shu'ju'an'quan'guan'li'yuan 数据安全管理员
'shu'ju'bao'guan'ren 数据保管人
'shu'ju'biao'zhun'guan'li 数据标准管理
'shu'ju'cang'ku'guan'li 数据仓库管理
'shu'ju'cang'ku'jia'gou 数据仓库架构
'shu'ju'cao'zuo'guan'li 数据操作管理
'shu'ju'chou'qu 数据抽取
'shu'ju'cun'chu'guan'li 数据存储管理
'shu'ju'fen'fa'mo'shi 数据分发模式
'shu'ju'fen'lei 数据分类
'shu'ju'fen'qu'ce'lue 数据分区策略
'shu'ju'fu'wu'hua 数据服务化
'shu'ju'fu'zhi 数据复制
'shu'ju'guan'jia 数据管家
'shu'ju'guan'li 数据管理
'shu'ju'guan'li'ze'ren'tuan'dui 数据管理责任团队
'shu'ju'guan'li'zhuan'yuan 数据管理专员
'shu'ju'gui'dang'ce'lue 数据归档策略
'shu'ju'hu 数据湖
'shu'ju'hu'cao'zuo 数据互操作
'shu'ju'hu'cao'zuo'guan'li 数据互操作管理
'shu'ju'hu'jia'gou 数据湖架构
'shu'ju'ji'cheng 数据集成
'shu'ju'ji'cheng'guan'li 数据集成管理
'shu'ju'ji'shi'jia'gou 数据集市架构
'shu'ju'jia'gou 数据架构
'shu'ju'jia'gou'guan'li 数据架构管理
'shu'ju'jia'gou'shi 数据架构师
'shu'ju'jia'mi'ji'shu 数据加密技术
'shu'ju'jia'zai 数据加载
'shu'ju'jian'hu'ren 数据监护人
'shu'ju'jian'kong'ji'zhi 数据监控机制
'shu'ju'jian'mo'guan'li 数据建模管理
'shu'ju'jian'mo'shi 数据建模师
'shu'ju'jie'kou'guan'li 数据接口管理
'shu'ju'ke'shi'hua 数据可视化
'shu'ju'ke'xin'du'ping'gu 数据可信度评估
'shu'ju'ke'xue 数据科学
'shu'ju'ke'xue'guan'li 数据科学管理
'shu'ju'ku'guan'li'yuan 数据库管理员
'shu'ju'ku'shi'li'guan'li 数据库实例管理
'shu'ju'li'yi'xiang'guan'fang 数据利益相关方
'shu'ju'lian'bang 数据联邦
'shu'ju'liu'she'ji 数据流设计
'shu'ju'liu'ying'she 数据流映射
'shu'ju'lu'you 数据路由
'shu'ju'lun'li 数据伦理
'shu'ju'mo'xing 数据模型
'shu'ju'mu'lu 数据目录
'shu'ju'qian'yi 数据迁移
'shu'ju'qing'chu'ji'zhi 数据清除机制
'shu'ju'qing'xi'liu'cheng 数据清洗流程
'shu'ju'sheng'chan'zhe 数据生产者
'shu'ju'sheng'ming'zhou'qi 数据生命周期
'shu'ju'shou'tuo'ren 数据受托人
'shu'ju'suo'you'zhe 数据所有者
'shu'ju'tan'suo 数据探索
'shu'ju'tan'suo'gong'ju 数据探索工具
'shu'ju'tong'bu 数据同步
'shu'ju'tuo'min'fang'fa 数据脱敏方法
'shu'ju'wa'jue 数据挖掘
'shu'ju'wa'jue'ji'shu 数据挖掘技术
'shu'ju'wen'hua 数据文化
'shu'ju'xiao'fei'zhe 数据消费者
'shu'ju'xu'ni'hua 数据虚拟化
'shu'ju'xue'yuan 数据血缘
'shu'ju'xue'yuan'fen'xi 数据血缘分析
'shu'ju'xue'yuan'zhui'zong 数据血缘追踪
'shu'ju'yan'xi'fen'xi 数据沿袭分析
'shu'ju'yin'si 数据隐私
'shu'ju'yin'si'guan'li 数据隐私管理
'shu'ju'zhan'lue 数据战略
'shu'ju'zheng'he'mo'shi 数据整合模式
'shu'ju'zhi'du'zhi'ding 数据制度制定
'shu'ju'zhi'li 数据治理
'shu'ju'zhi'li'ban'gong'shi 数据治理办公室
'shu'ju'zhi'li'bian'ge'guan'li 数据治理变革管理
'shu'ju'zhi'li'chang'dao'zhe 数据治理倡导者
'shu'ju'zhi'li'cheng'shu'du 数据治理成熟度
'shu'ju'zhi'li'fen'xi'shi 数据治理分析师
'shu'ju'zhi'li'feng'xian'ping 数据治理风险评
'shu'ju'zhi'li'gou'tong 数据治理沟通
'shu'ju'zhi'li'gui'hua 数据治理规划
'shu'ju'zhi'li'he'gui'jian'cha 数据治理合规检查
'shu'ju'zhi'li'jia'zhi 数据治理价值
'shu'ju'zhi'li'jian'kong 数据治理监控
'shu'ju'zhi'li'ke'chi'xu'xing 数据治理可持续性
'shu'ju'zhi'li'kuang'jia 数据治理框架
'shu'ju'zhi'li'lu'xian'tu 数据治理路线图
'shu'ju'zhi'li'pei'xun 数据治理培训
'shu'ju'zhi'li'ping'gu 数据治理评估
'shu'ju'zhi'li'shen'ji 数据治理审计
'shu'ju'zhi'li'sheng'ji 数据治理升级
'shu'ju'zhi'li'shi'shi 数据治理实施
'shu'ju'zhi'li'wei'yuan'hui 数据治理委员会
'shu'ju'zhi'li'wen'ti'guan'li 数据治理问题管理
'shu'ju'zhi'li'xie'tiao'yuan 数据治理协调员
'shu'ju'zhi'li'yuan'ze 数据治理原则
'shu'ju'zhi'li'yun'ying'mo'xing 数据治理运营模型
'shu'ju'zhi'li'zhan'lue 数据治理战略
'shu'ju'zhi'li'zhang'cheng 数据治理章程
'shu'ju'zhi'li'zhi'biao 数据治理指标
'shu'ju'zhi'li'zhi'dao'wei'yuan'hui 数据治理指导委员会
'shu'ju'zhi'liang 数据质量
'shu'ju'zhi'liang'de'fen 数据质量得分
'shu'ju'zhi'liang'fen'xi'shi 数据质量分析师
'shu'ju'zhi'liang'guan'li 数据质量管理
'shu'ju'zhi'liang'wei'du 数据质量维度
'shu'ju'zhuan'huan 数据转换
'shu'ju'zi'chan 数据资产
'shu'ju'zi'chan'gu'zhi 数据资产估值
'shu'ju'zi'chan'ying'she 数据资产映射
'shui'ping'guan'li 水平管理
'suan'fa'mo'xing 算法模型
'tou'zi'hui'bao'lv 投资回报率
'tu'xiang'shi'bie'ji'shu 图像识别技术
'tui'guang'ce'lue 推广策略
'wan'zheng'xing'du'liang 完整性度量
'wei'fu'wu'jia'gou 微服务架构
'wei'xie'jian'mo 威胁建模
'wen'dang'guan'li 文档管理
'wen'ti'guan'li 问题管理
'xiang'mu'guan'li 项目管理
'xiao'xi'dui'lie 消息队列
'xie'tiao'xing'shu'ju'guan'li'zhuan'yuan 协调型数据管理专员
'yan'shou'biao'zhun 验收标准
'ye'wu'lian'xu'xing 业务连续性
'ye'wu'qu'dong'yin'su 业务驱动因素
'ye'wu'shu'ju'guan'li'zhuan'yuan 业务数据管理专员
'ye'wu'shu'yu'biao 业务术语表
'yi'zhi'xing'jian'cha 一致性检查
'yin'si'bao'hu'ce'lue 隐私保护策略
'yin'si'bao'hu'du 隐私保护度
'ying'ji'ji'hua 应急计划
'yong'hu'man'yi'du 用户满意度
'you'hua'die'dai 优化迭代
'yu'ce'fen'xi 预测分析
'yu'ce'fen'xi'mo'xing 预测分析模型
'yu'yin'fen'xi'gong'ju 语音分析工具
'yuan'shu'ju 元数据
'yuan'shu'ju'guan'li 元数据管理
'yuan'shu'ju'guan'li'yuan 元数据管理员
'yuan'ze 原则
'yun'shu'ju'guan'li 云数据管理
'yun'wei'guan'li 运维管理
'zai'nan'hui'fu 灾难恢复
'zhan'lue'feng'xian 战略风险
'zhi'li'fu'gai'lv 治理覆盖率
'zhi'liang'bao'gao'sheng'cheng 质量报告生成
'zhi'liang'bao'zheng 质量保证
'zhi'liang'du'liang'zhi'biao 质量度量指标
'zhi'liang'gai'jin'cuo'shi 质量改进措施
'zhi'liang'gui'ze'ding'yi 质量规则定义
'zhi'liang'yu'zhi'she'ding 质量阈值设定
'zhi'liang'zhi'li'kuang'jia 质量治理框架
'zhi'shi'guan'li 知识管理
'zhi'xing 执行
'zhong'xin'hua'jia'gou 中心化架构
'zhu'shu'ju'guan'li 主数据管理
'zhu'shu'ju'guan'li'jia'gou 主数据管理架构
'zhu'ti'yu'hua'fen 主题域划分
'zhun'que'xing'jiao'yan 准确性校验
'zi'ran'yu'yan'chu'li 自然语言处理
'zi'yuan'fen'pei 资源分配
'zi'yuan'guan'li 资源管理
'zu'zhi'bian'ge'guan'li 组织变革管理
