'a'ge'san'chong'jie 阿阁三重阶
'a'ji'chuan 阿寄传
'a'mu'bai'mei'ren 阿母白媒人
'a'mu'da'bei'cui 阿母大悲摧
'a'mu'da'fu'zhang 阿母大拊掌
'a'mu'de'wen'zhi 阿母得闻之
'a'mu'wei'a'nv 阿母谓阿女
'a'mu'wei'fu'li 阿母谓府吏
'a'mu'wei'ru'qiu 阿母为汝求
'a'mu'xie'mei'ren 阿母谢媒人
'a'nv'mo'wu'sheng 阿女默无声
'a'nv'xian'lei'da 阿女衔泪答
'a'wei'wu'zhen 阿魏无真
'a'xiong'de'wen'zhi 阿兄得闻之
'a'yu'wang 阿育王
'a'zi'fu'chuang'qi 阿姊扶床泣
'ai'ai'chun'hou'zhi 蔼蔼春候至
'ai'ai'chun'kong 霭霭春空
'ai'ai'di'wang'zhou 蔼蔼帝王州
'ai'ai'shu'se'shen 蔼蔼树色深
'ai'da'er'shang'tong'diao 艾达尔上同调
'ai'di'huang'he'tun'wei'shui 隘地黄河吞渭水
'ai'di'jing'qi'jian'zi'jing 隘地旌旗见紫荆
'ai'duo'shi 爱多士
'ai'feng'ren'zhi'zi'ye 艾封人之子也
'ai'gao'qiu'zhi'wu'nv 哀高丘之无女
'ai'guo'zhi'min 爱国治民
'ai'hao'you'lai'luo'bi'nan 爱好由来落笔难
'ai'hu'hai'ping'ming'zhu'xin 爱护还凭明主心
'ai'ji'er'zao'ai'ye 爱己而造哀也
'ai'jun'de'zi'sui 爱君得自遂
'ai'li 爱力
'ai'li'chu'hu'ren'yi 爱利出乎仁义
'ai'ming'ao'ao 哀鸣嗷嗷
'ai'ming'chu'yun'jian 哀鸣出云间
'ai'ming'wang'qi'chou 哀鸣望其俦
'ai'nai'qu 欸乃曲
'ai'niao'wei'bei'ming 哀鸟为悲鸣
'ai'qi'chen'shi'qie'shi 爱其陈事切实
'ai'qin'jing'chang 爱亲敬长
'ai'qiu'dong'zhi'xu'feng 欸秋冬之绪风
'ai'ren'bu'qin'fan'qi'ren 爱人不亲反其仁
'ai'ren'li'wu'zhi'wei'ren 爱人利物之谓仁
'ai'shi'qi'xing'zhe'ye 爱使其形者也
'ai'ta'ming'yue'hao 爱他明月好
'ai'xian 艾县
'ai'yi'shen'wei'tian'xia 爱以身为天下
'ai'yi'shen'yu'wei'tian'xia 爱以身于为天下
'ai'yu'bu'gong 隘与不恭
'ai'zeng'zhi'ke'qu'she 爱憎之可取舍
'ai'zhi'neng'wu'lao'hu 爱之能勿劳乎
'ai'zhi'ying'chou'huan'luan 艾枝应愁鬟乱
'ai'zi'xin'wu'jin 爱子心无尽
'an'an'dan'dan'zi 暗暗淡淡紫
'an'an'jian'lin'tao 黯黯见临洮
'an'an'meng'yun'jing'duan 黯黯梦云惊断
'an'an'ri'yu'ming 暗暗日欲暝
'an'an'sheng'tian'ji 黯黯生天际
'an'bian'liang'liang'san'san 岸边两两三三
'an'bian'shu 安边书
'an'bian'zhi'ce 安边之策
'an'bu'wang'wei 安不忘危
'an'bu'xiang'ban 暗补香瘢
'an'cha'shi 按察使
'an'cha'si'fu'shi 按察司副使
'an'cha'si'qian'shi 按察司佥事
'an'chen'bu'qi 暗尘不起
'an'chen'qin 暗尘侵
'an'chen'sui'ma'qu 暗尘随马去
'an'chen'suo 暗尘锁
'an'chui'zhu'lu 暗垂珠露
'an'de'bi'er'qi'si'tie 安得臂尔骑驷驖
'an'de'chang'ku'bei 安得长苦悲
'an'de'che'lun'si'jiao 安得车轮四角
'an'de'er'zhi'yan 安得而至焉
'an'de'li'yan'shuo 安得离言说
'an'de'meng'chen'fan'yu'zhong 安得蒙尘返域中
'an'de'zhi'lao'bu'geng'gui 安得至老不更归
'an'de'zhi'wo'zi'lou'zhong 安得置我兹楼中
'an'di'hua'shao 暗滴花梢
'an'di'jiao'zhu'zhui 暗滴鲛珠坠
'an'dian'jian 暗点检
'an'dian'suo 暗殿锁
'an'duan'chang 暗断肠
'an'fei'ying'zi'zhao 暗飞萤自照
'an'feng'chui'yu'ru'han'chuang 暗风吹雨入寒窗
'an'hua'fei'song'ke 岸花飞送客
'an'hua'kuang 岸花狂
'an'ji'shu 暗计数
'an'jian'bu'wo'gu 按剑不我顾
'an'jian'fang'liu'qi'shi 安见方六七十
'an'jiang'wang'shi'si'liang'bian 暗将往事思量遍
'an'jin'gu'mian'zi'wei 谙尽孤眠滋味
'an'li'hu'jing'shan'niao'ti 暗里忽惊山鸟啼
'an'li'yuan'sheng'duan 暗里猿声断
'an'liu'ti'ya 暗柳啼鸦
'an'liu'yi'yi'yuan'jin'qi 岸柳依依远近齐
'an'lv 安虑
'an'lv'you'de 安虑有得
'an'nan'ge'song'shen'shi'jun 安南歌送沈使君
'an'nen 暗嫩
'an'ning'zhu 黯凝伫
'an'pei'chu'wen'shu'bu'qing 按辔初闻属部清
'an'pin'qiu'dao 安贫求道
'an'qi'luo'xiu 暗欺罗袖
'an'qi'wei'er'li'qi 安其危而利其
'an'qie'ji'xi 安且吉兮
'an'qu'dao'zai 安取道哉
'an'qu'ren'yi 安取仁义
'an'ran'er'ri'zhang 暗然而日章
'an'ran'xiao'hun'zhe 黯然销魂者
'an'rong'dai'la'jiang'shu'liu 岸容待腊将舒柳
'an'shang'hu'die'fei 岸上蝴蝶飞
'an'shang'sha 岸上沙
'an'shang'yan'mian'xiang'jiao'you 暗伤颜面向交游
'an'shen'lun 安身论
'an'shi'kui'xin 暗室亏心
'an'shu'liu'ying'luan 暗树流萤乱
'an'shu'shi'nian'hu'shang'lu 暗数十年湖上路
'an'shui'liu'hua'jing 暗水流花径
'an'shui'liu'si'du'kong'gu 暗水流澌渡空谷
'an'si'he'shi'duan'ren'chang 暗思何事断人肠
'an'sui'liu'shui'dao'tian'ya 暗随流水到天涯
'an'sun'shao'hua 暗损韶华
'an'suo'chun'chuan 岸锁春船
'an'tang'ji 岸堂集
'an'tiao'fa'qian'ying 岸条发潜颖
'an'wei'ding'bian 安危定变
'an'wei'lv'suo'ju 安危虑所居
'an'wei'shen'zhang'bei'men'cai 安危深仗北门才
'an'wei'ting'zheng'di 安危廷诤地
'an'wei'tuo'fu'ren 安危托妇人
'an'wei'xiang'yi 安危相易
'an'wei'yi'ren'chu 安危异人出
'an'wei'zuo'dong'liang 安危作栋梁
'an'xi 暗洗
'an'xiang 暗香
'an'xiang'dang'chu 暗想当初
'an'xiang'fu'dong'yue'huang'hun 暗香浮动月黄昏
'an'xiang'hun 黯乡魂
'an'xiang'shu'ying 暗香疏影
'an'xiang'si 暗相思
'an'xiang'wang 黯相望
'an'xiao'ji'xue 暗消肌雪
'an'xiao'ning 黯消凝
'an'xu'xian'ren'dai'tou'qia 暗许闲人带偷掐
'an'yi 安邑
'an'yi'huan'qi'zhen'si'meng 暗忆欢期真似梦
'an'yu'huai'huang 暗雨槐黄
'an'yu'zhi'xiang'mi 安与之相靡
'an'zai'qi'bu'ru'ye 安在其不辱也
'an'zhao'cha'ji 案兆察迹
'an'zhi'jin'qian'bu'yuan'ren 暗掷金钱卜远人
'an'zhi'zhan 鞍之战
'an'zhu'tang 岸竹堂
'an'zhu'wu'chou 暗主无愁
'an'zhui'qian'shi 暗追前事
