'a'long'suo 阿隆索
'ai'di'si 艾迪斯
'ba'xi'ti 巴希提
'bao'bing 爆兵
'bao'lei 堡垒
'bing'gong'chang 兵工厂
'bing'qi'lian'sai 兵器联赛
'bu'bing 补兵
'bu'la'de'li 布拉德利
'che'shen 车身
'che'tou 车头
'cheng'se'sui'pian 橙色碎片
'cheng'sui 橙碎
'cheng'zhuang 橙装
'chu'zheng 出征
'da'xiong 打熊
'da'yao 大药
'dan'xi 单洗
'dan'zhuang 单撞
'dian'jia'su 点加速
'dui'huan'ma 兑换码
'dun'chuan 盾穿
'dun'gong 盾弓
'dun'sheng 盾生
'e'he'mo'si 阿赫摩斯
'fu'dui 副队
'fu'lin'te 弗林特
'gao'qian 高迁
'ge'dun 哥顿
'ge'wen 格温
'gong'cheng'zhan 工程站
'han'dong'zhi'xing 寒冬之星
'heng'de'li'ke 亨德里克
'hong'zhuang 红装
'huo'jing 火晶
'huo'nan 火男
'huo'qiu 火球
'ji'jie 集结
'jie'sai'er 杰塞尔
'jie'xi 杰西
'jing'ji'chang 竞技场
'jing'ke 精氪
'juan'jian'tou 捐箭头
'kai'bei'bao 开背包
'kai'chong'wu 开宠物
'kai'zhao'zi 开罩子
'kai'zi'dong 开自动
'kan'bing 砍兵
'ke'lao 氪佬
'ke'man'yao 氪满药
'la'bing'ying 拉兵营
'la'lu'zi 拉炉子
'la'zi'yuan 拉资源
'lian'bing 练兵
'lin'en 琳恩
'ling'di'qian 领地迁
'ling'ke 零氪
'ling'nai 玲奈
'ling'shuang 凌霜
'ling'zhu'zhuang'bei 领主装备
'long'xia'bing 龙虾兵
'luo'gen 罗根
'man'bian 满编
'man'ke 满氪
'mao'chuan 矛穿
'mao'sheng 矛生
'meng'zhu'qian 盟主迁
'mi'bao'yao'shi 秘宝钥石
'mi'ya 米娅
'mu'bing'suo 募兵所
'nuo'la 诺拉
'pa'te'li'ke 帕特里克
'pu'qi'zi 铺旗子
'qiao'yi 乔伊
'qing'bao 情报
'ran'shuang 燃霜
'rong'lu 熔炉
'rui'ni 芮妮
'san'ji'jie 三集结
'shang'che 上车
'shu'yun 书允
'shua'ju'shou 刷巨兽
'shuang'ji'jie 双集结
'shuang'long'ba'zhu 霜龙霸主
'shui'qiu 水球
'shui'yun 水陨
'sui'fei 随飞
'tai'yang'cheng 太阳城
'tao'lu'zi 掏炉子
'tong'shuai 统帅
'tong'yong 通用
'wa'kuang'bing 挖矿兵
'wang'cheng 王城
'wei'en 韦恩
'wei'ke 微氪
'wu'jin'dong'ri 无尽冬日
'wu'ming 无名
'xia'gu 峡谷
'xiao'meng 小盟
'xiao'yao 小药
'xing'jun 行军
'xiong'keng 熊坑
'xue'yuan'shang'lu 雪原商路
'yao'sai 要塞
'yi'min'quan 移民券
'yi'sheng 医生
'yue'ka 月卡
'yue'liang'meng 月亮盟
'zhi'liao 治疗
'zhou'ka 周卡
'zhu'dui 主队
'zhuan'shu'guan'jia 专属管家
'zhuang'kuang 撞矿
'zi'zhuang 紫装
'zui'qiang'wang'guo 最强王国
