'a'bo'li'chuan'gan'xin'pian 阿伯莉传感芯片
'a'bo'li'qing'jia 阿伯莉轻甲
'a'bo'li'shou'jia 阿伯莉手甲
'a'bo'li'yi'sheng 阿伯莉遗声
'a'bo'li'zhao'ming'qi 阿伯莉照明器
'a'bo'li'zhen'ting'xin'pian 阿伯莉侦听芯片
'a'bo'li'zhong'jia 阿伯莉重甲
'a'bo'li'zi'guang'deng 阿伯莉紫光灯
'a'lie'shen 阿列什
'ai'er'dai'la 艾尔黛拉
'ai'te'la 埃特拉
'ai'wei'wen'na 艾维文娜
'an'se'huo'ju 黯色火炬
'an'shi 黯石
'an'shi'zi'cu 黯石子簇
'an'ta'er 安塔尔
'an'yin'gan'shi 黯银柑实
'ao'pei'luo 奥佩罗
'bai'e'jie'wei 白垩界卫
'bai'fang'hao'you 拜访好友
'bai'yan'biao'shou 百眼彪兽
'bai'ye'xiang 百叶箱
'bai'ye'xin'xing 白夜新星
'bao'guo 包裹
'bao'la'ju'kao'yuan'shi'chong 爆辣焗烤源石虫
'bao'la'yan'zi'shui'guo 爆辣腌渍水果
'bao'po'dan'yuan 爆破单元
'bao'zha'wu 爆炸物
'bei'bao 背包
'bei'bao'yu'cang'ku 背包与仓库
'beng'sui'fu'ren 崩碎斧刃
'bi'hu 庇护
'bian'dui 编队
'bian'jie'cun'qu'zhan 便捷存取站
'bian'xie'gong'ju 便携工具
'bian'xie'yuan'shi'kuang'ji 便携源石矿机
'biao'shou'de'chang'rong 彪兽的长绒
'biao'shou'yuan'shi'chong 彪兽源石虫
'bie'li 别礼
'bu'dao'zi'you 布道自由
'bu'zhi'gui 不知归
'cai'gou'zhong'xin 采购中心
'cai'ji'cai'liao 采集材料
'cai'ji'zi'yuan 采集资源
'cai'zhong'ji 采种机
'can'bao'yuan'sheng'qian'shou 残暴原生钳兽
'cang'chu'jie'dian 仓储节点
'cang'ku'cun'huo'kou 仓库存货口
'cang'ku'cun'qu'xian'ji'duan 仓库存取线基段
'cang'ku'cun'qu'xian'yuan'zhuang 仓库存取线源桩
'cang'ku'qu'huo'kou 仓库取货口
'cang'ming'xing'meng 沧溟星梦
'cang'shi'sheng'ji 舱室升级
'cang'zei 沧贼
'cao'zi'gan'fen 草籽干粉
'ce'shi'xing'zhong'jia 测试型重甲
'cha'che 叉车
'chai'jie'ji 拆解机
'chang'bing'wu'qi 长柄武器
'chang'er'shou 长耳兽
'chang'ju'hua'suo'jia 长距滑索架
'chang'lu 长路
'chang'xi 长息
'chang'xi'fu'zhu'bi 长息辅助臂
'chang'xi'hu'shou 长息护手
'chang'xi'xu'dian'he 长息蓄电核
'chang'xi'zhuang'jia 长息装甲
'chao'ju'hui'ying'guan 超距辉映管
'chao'xing'tian'shi 潮行天使
'chao'yong 潮涌
'chao'yong'shou'jia 潮涌手甲
'chen'ji'jing'shi 沉积晶石
'chen'ji'ju'xiang'wu 沉积具象物
'chen'lie'pin 陈列品
'chen'qian'yu 陈千语
'chong'lang'da'sai'men'piao 冲浪大赛门票
'chong'neng'qiu'ci'shou 充能球刺兽
'chong'rou 虫肉
'chong'xie'ta 铳械塔
'chong'zhuang 重装
'chong'zhuang'xin'shi 重装信使
'chong'zhuang'xin'shi'jia'ke 重装信使夹克
'chong'zhuang'xin'shi'shou'dian 重装信使手电
'chong'zhuang'xin'shi'shou'tao 重装信使手套
'chong'zhuang'xin'shi'tuo'luo 重装信使陀螺
'chu'ji'ren'zhi'zai'ti 初级认知载体
'chu'ji'zuo'zhan'ji'lu 初级作战记录
'chu'jue 处决
'chu'ye'guan 储液罐
'chuan'di'ying'huo'chong 传递萤火虫
'chuan'lin'jian 穿林箭
'chuan'song'dai 传送带
'chun'jing'duo'chi'ye 纯晶多齿叶
'chun'jing'duo'chi'ye'gen'jing 纯晶多齿叶根茎
'ci'bi'gan'rou 刺鼻干肉
'cui'huo'zhe 淬火者
'cui'ruo 脆弱
'cun'chu'cun'qu 存储存取
'cun'xu'de'hen'ji 存续的痕迹
'da'er'huo'fu 达尔霍夫
'da'fu'jiao 大斧角
'da'jiao'tian'shi 大角天使
'da'lei'ban 大雷斑
'da'pan 大潘
'da'ping'gan'shi'chong'ji 大瓶柑实冲剂
'da'ping'qiao'fu'ding'ji 大瓶荞复锭剂
'da'ping'ya'zhen'pen'ji 大瓶芽针喷剂
