'a'er'da'rui'si 阿尔达瑞斯
'a'la'na'ke 阿拉纳克
'a'ta'ni'si 阿塔尼斯
'an'ying'bu'xiu'zhe 暗影不朽者
'an'ying'chong'ji 暗影冲击
'an'ying'fu'chou 暗影复仇
'an'ying'guang'pao 暗影光炮
'an'ying'ju'xiang 暗影巨像
'an'ying'jun'tuan 暗影军团
'an'ying'kuang're'zhe 暗影狂热者
'an'ying'lie'sha 暗影猎杀
'an'ying'pian'zhuan 暗影偏转
'an'ying'qiu'tu 暗影囚徒
'an'ying'sheng'tang'wu'shi 暗影圣堂武士
'an'ying'wei'dui 暗影卫队
'an'ying'xian'feng 暗影先锋
'an'ying'xu'kong 暗影虚空
'an'ying'xu'kong'hui'guang'jian 暗影虚空辉光舰
'an'ying'zhan'sha 暗影斩杀
'an'ying'zhi'dun 暗影之盾
'an'ying'zhi'mu 暗影之幕
'an'ying'zhi'ren 暗影之刃
'an'ying'zhi'zheng'guan 暗影执政官
'an'ying'zhui'lie'zhe 暗影追猎者
'an'ying'zhui'zong 暗影追踪
'ao'ding 奥丁
'ba'la'ke 巴拉克
'bai'bian'chong'luan 百变虫卵
'bai'fu'zhang 百夫长
'bang'jia'qian'yin 绑架牵引
'bao'chong 爆虫
'bao'chong'gun'gun 爆虫滚滚
'bao'chong'jing'ying 爆虫精英
'bao'lie'he'xin 爆裂核心
'bao'lie'hu'dun 爆裂护盾
'bao'lie'jin'hua 爆裂进化
'bao'lie'zha'dan 爆裂炸弹
'bao'wen 爆蚊
'bei'gan'ran'de'di'bao 被感染的地堡
'bei'gan'ran'de'gong'cheng'tan'ke 被感染的攻城坦克
'bei'gan'ran'de'ke'ji'shi'yan'shi 被感染的科技实验室
'bei'gan'ran'de'lu'zhan'dui'yuan 被感染的陆战队员
'bei'gan'ran'de'nv'yao 被感染的女妖
'bei'gan'ran'de'xiang'wei'she'zhan'che 被感染的响尾蛇战车
'bei'gan'ran'zhe 被感染者
'bei'qi'zhi'ren 背弃之刃
'bi'lei'wei'shi 壁垒卫士
'bian'yi'chong'luan 变异虫卵
'biao'che'liu 飙车流
'bing'du'xue'qing 病毒血清
'bo'li'bao'zha 玻璃爆炸
'bo'li'da'pao 玻璃大炮
'bo'lun'xi'er'hao 伯伦希尔号
'bu'bing'lian'dui 步兵连队
'bu'chong'cai'ji 补充采集
'bu'chong'tou'ying 补充投影
'bu'fa'zhi'tu 不法之徒
'bu'gei'kong'tou 补给空投
'bu'ke'qin'fan 不可侵犯
'bu'shu'kong'tou 部署空投
'bu'shu'ping'tai 部署平台
