'a'bao'chi'si'qian'ba'guo'nan'bao 啊保持四千八过南报
'a'chang'de'ta'tai 啊常德塔台
'a'chang'de'ta'tai'ni'hao 啊常德塔台你好
'a'di'mian'fei'ji'xian 啊地面飞机线
'a'dong'liang'ke'yi'qi'fei'hua'xia'si'liang'dong'ba 啊洞两可以起飞华夏四两洞八
'a'gan'rao'le 啊干扰了
'a'gao'du'hao'le 啊高度好了
'a'gao'du'mei'you'bo'hai'guai'liu'ba'yao 啊高度没有渤海拐六八幺
'a'hao'de 啊好的
'a'hao'de'jiu'si'wu'liang 啊好的九四五两
'a'hao'lei'bu'cuo 啊好嘞不错
'a'hua'hui'shou'shou 啊滑回收收
'a'jian'cha'guo'le 啊检查过了
'a'jin'pao'dao'dong'liang'jiu'si'wu'liang 啊进跑道洞两九四五两
'a'jiu'si'wu 啊九四五
'a'jiu'si'wu'liang 啊九四五两
'a'jiu'si'wu'liang'jie'di 啊九四五两接地
'a'jiu'si'wu'yao'hou'mian'zen'me'fei 啊九四五幺后面怎么飞
'a'ke'yi 啊可以
'a'ke'yi'kai'che'jiu'si'wu 啊可以开车九四五
'a'ke'yi'kai'che'sheng'yin'xiao'jian'cha'yi'xia'hua'tong 啊可以开车声音小检查一下话筒
'a'ke'yi'zhuo'lu'lian'xu'jiu'si'wu'liang 啊可以着陆连续九四五两
'a'liu'dian'wu'hai'li 啊六点五海里
'a'liu'jiu'dong'liu'shao'deng 啊六九洞六稍等
'a'luo'di'hua'hui'jiu'si'wu'liang 啊落地滑回九四五两
'a'shao'deng 啊稍等
'a'shao'deng'si'yao'liu'jiu'san'liu 啊稍等四幺六九三六
'a'shi 啊是
'a'shou'dao 啊收到
'a'shou'dao'jiu'si'wu'liang 啊收到九四五两
'a'shou'shou 啊收收
'a'si'chuan'dong'liu'jiu'san'liu'qing'shi'fang'xing 啊四川洞六九三六请示放行
'a'si'dong'jiu'bao'hua'xia'si'ba'jiu'yao 啊四洞九报华夏四八九幺
'a'si'liang'dong'ba'ma'fan'gei'fang'xing'dao'gui'yang 啊四两洞八麻烦给放行到贵阳
'a'si'san'liu'si'liu'chang'sha'tuo'bo'jiao'ai'jiao 啊四三六四六长沙脱播叫哎叫
'a'ta'tai'ni'hao'hua'xia'si 啊塔台你好华夏四
'a'ta'tai'si'chuan'liu'jiu'san'liu'tuo'che'gua'hao 啊塔台四川六九三六拖车挂好
'a'wei'zhi'zao'dian'xiu'zheng 啊位置早点修正
'a'xia'biao'zhun'san'si'liang 啊下标准三四两
'a'xia'xiu'zheng 啊下修正
'a'xia'xiu'zheng'hai'ya'yao'liang'xiu'zheng'hai'ya'yi'qian 啊下修正海压幺两修正海压一千
'a'yi'hui'er'hao'kong'yu'jiu'si'wu'liu 啊一会二号空域九四五六
'a'yi'hui'jian'shi'ba 啊一会见是吧
'a'zai'jian'zai'jian'a 啊再见再见啊
'a'zan'shi'bu'ding'hao 啊暂时不定好
'a'zheng'shi'shi'dong'guai'hao'ma 啊证实是洞拐号吗
'a'zheng'shi'shi'fen'zhong 啊证实十分钟
'an'ji'hua'hang'lu 按计划航路
'ba'liu'san'zhuan'wan'pao'dao 八六三转弯跑道
'bao'chi'gao'du 保持高度
