'an'hui'ri'fa'fang'zhi'ji'xie 安徽日发纺织机械
'an'quan'er'ji'zhu 安全二级柱
'an'quan'mao 安全帽
'an'quan'san'ji'zhu 安全三级柱
'an'quan'xiao'xiao'ding 安全销销钉
'an'quan'yi'ji'zhu 安全一级柱
'an'quan'zhu'xian'wei'tao 安全柱限位套
'an'zhuang'ban 安装板
'an'zhuang'di'ban'er 安装底板二
'an'zhuang'di'ban'yi 安装底板一
'an'zhuang'ji'ban 安装基板
'an'zhuang'zhi'jia 安装支架
'ba'shou 把手
'ba'shou'gu'ding'jia 把手固定架
'bai'bang 白棒
'bai'bu'lun 白布轮
'bai'fen'biao 百分表
'bai'gang'dao 白钢刀
'bai'gang'gu'ding'jia 摆缸固定架
'bai'gang'tiao 白钢条
'bai'gang'yu'sha'lun 白刚玉砂轮
'bai'jie'bu'mo'tou 百洁布磨头
'bai'jie'bu'zhan'pian 百洁布粘片
'bai'se 白色
'bai'se'du'nie'duan'mian'cao'dao'gan 白色镀镍端面槽刀杆
'bai'se'ni'long'ban 白色尼龙板
'bai'se'ni'long'bang 白色尼龙棒
'bai'se'zi'pen'qi 白色自喷漆
'bai'xian'lun 摆线轮
'bai'ye'lun 百叶轮
'bai'ye'pian 百叶片
'bai'ye'pian'pao'guang'pian 百叶片抛光片
'ban'gong'yong'pin 办公用品
'ban'kuai 板块
'ban'shou 扳手
'ban'ya 板牙
'ban'ya'ban'shou 板牙扳手
'ban'yuan'dao'pian 半圆刀片
'ban'yuan'jian'xi'dao 半圆键铣刀
'ban'yun'bu'qi'lu'zhuan'jie'kuai 搬运部气路转接块
'bang'liao 棒料
'bao'ji'shu'kong'che'chuang 宝鸡数控车床
'bao'jing'deng'qiao'ti'lv'zhi'shuang'kong 报警灯壳体铝制双孔
'bao'ta'guo'ban'jie'tou 宝塔过板接头
'bao'zhuang'dai 包装袋
'bao'zhuang'he 包装盒
'bao'zhuang'mo 包装膜
'ben'ti 本体
'beng'ce'ban 泵侧板
'beng'ti 泵体
'beng'ti'fa'lan 泵体法兰
'beng'ti'fa'lan'yuan'huan 泵体法兰圆环
'beng'ti'fei'biao 泵体非标
'beng'ti'feng'ye'ban 泵体封液板
'beng'ti'gai'zhi 泵体改制
'beng'ti'han'jie'jie'he'jian 泵体焊接结合件
'beng'ti'jie'he'jian 泵体结合件
'beng'ti'shu'chu'shui'feng'ban 泵体输出水封板
'beng'ti'shu'ru'shui'feng'ban 泵体输入水封板
'beng'ti'shui'feng'ban 泵体水封板
'beng'ti'zhu'ti 泵体主体
'beng'yuan'ce'ban'you 泵源侧板右
'beng'yuan'ce'ban'zuo 泵源侧板左
'beng'zhou'lian'jie'tou'hua'jian 泵轴连接头花键
'bi'xin 笔芯
'bi'zhi'dao 壁纸刀
'bian'ju'jiao'qiao'ti 变距铰壳体
'bian'luo'mu 扁螺母
'bian'ma'qi 编码器
'bian'ma'qi'xian 编码器线
'bian'ma'xian 编码线
'bian'po 变坡
'bian'po'xing'ban 变坡型板
'bian'song'qi'duan'gai 变送器端盖
'bian'song'qi'qiang'ti 变送器腔体
'bian'tou 变头
'biao'ding'hua'tai'tao'jian 标定滑台套件
'biao'qi'zhao 标气罩
'biao'qian 标签
'biao'qian'tie'zhi 标签贴纸
'biao'zuo'hua'kuai 表座滑块
'bo'li'fan'she'jing'zuo 玻璃反射镜座
'bo'li'guan'di'zuo 玻璃管底座
'bo'li'guan'hu'zhao 玻璃管护罩
'bo'li'guan'ya'kuai 玻璃管压块
'bo'li'jiao 玻璃胶
'bo'wen'guan 波纹管
'bu'cha'jia 补差价
'bu'gan'jiao'da'yin'zhi 不干胶打印纸
'bu'xiu'gang'ban 不锈钢板
'bu'xiu'gang'bang 不锈钢棒
'bu'xiu'gang'bao'jing'deng'qiao'ti 不锈钢报警灯壳体
'bu'xiu'gang'chun'hua'gao 不锈钢纯化膏
'bu'xiu'gang'dao'pian 不锈钢刀片
'bu'xiu'gang'ding'si 不锈钢顶丝
'bu'xiu'gang'fa'lan 不锈钢法兰
'bu'xiu'gang'fang'hu'zhao 不锈钢防护罩
'bu'xiu'gang'feng'tou 不锈钢封头
'bu'xiu'gang'gao'jing'dao'bing 不锈钢高精刀柄
'bu'xiu'gang'guan 不锈钢管
'bu'xiu'gang'han'tiao 不锈钢焊条
'bu'xiu'gang'jian'ce'yao'shui 不锈钢检测药水
'bu'xiu'gang'jiao'gang 不锈钢角钢
'bu'xiu'gang'jie'tou 不锈钢接头
'bu'xiu'gang'jie'tou'jia'luo'mu 不锈钢接头加螺母
'bu'xiu'gang'luo'mu 不锈钢螺母
'bu'xiu'gang'luo'xuan'si'zhui 不锈钢螺旋丝锥
'bu'xiu'gang'mao'xi'guan 不锈钢毛细管
'bu'xiu'gang'mo'zu'zhao 不锈钢模组罩
'bu'xiu'gang'pen 不锈钢盆
'bu'xiu'gang'qing'xi'ji 不锈钢清洗剂
'bu'xiu'gang'ruan'guan 不锈钢软管
'bu'xiu'gang'ruan'guan'jie'tou 不锈钢软管接头
'bu'xiu'gang'tao 不锈钢套
'bu'xiu'gang'wu'feng'guan 不锈钢无缝管
'bu'xiu'gang'yi'xing'ban 不锈钢异形板
'bu'xiu'gang'yuan'pan 不锈钢圆盘
'bu'xiu'gang'zhi'zuan 不锈钢直钻
'bu'xiu'gang'zuan'tou 不锈钢钻头
'bu'xuan'zhuan'huan 不旋转环
'ca'ji'bu 擦机布
'cai'ji'yi'hou'gai 采集仪后盖
'cai'ji'yi'qiao'ti'kong 采集仪壳体孔
'cai'xin'dun'hua'ji 彩锌钝化剂
'cao'dao'pian 槽刀片
'cao'gang 槽钢
'ce'gu'chan'zuan 侧固铲钻
'ce'gu'shi'dao'bing 侧固式刀柄
'ce'guang'zhi'jia 测光支架
'ce'lian'jie'ban 侧连接板
'ce'liang'ji'zuo 测量基座
'ce'liang'nei'qiang 测量内腔
'ce'shi'heng'ban 测试横板
'cha'kou'zuo'gai'ban 插口座盖板
'cha'su'bao'zhou'cheng'zuo 差速包轴承座
'cha'tou 插头
'cha'zhen'han'jie'zu'jian 插针焊接组件
'chai'ya'huan'gong'zhuang'zhu'zhou'jie'gan 拆压环工装主轴接杆
'chai'ya'huan'xia'yuan'pan'di'zuo 拆压环下圆盘底座
'chan'chi 铲齿
'chan'pin'biao'zhi'ka 产品标识卡
'chan'pin'wai'ke'gu'ding'tuo'pan 产品外壳固定托盘
'chan'rao'mo 缠绕膜
'chan'rao'mo'kuan 缠绕膜宽
'chan'rao'mo'kuan'du 缠绕膜宽度
'chang'cheng'mu'si 长城钼丝
'chang'dao'tong'jia're'pian 肠道通加热片
'chang'ge'chi'cheng'dian'qi 长葛驰诚电气
'chang'heng'cheng 长横撑
'chang'jiao'gang 长角钢
'chang'qu'qi'jie'tou 长取气接头
'chang'zhou'tao 长轴套
'chang'zuan'tou 长钻头
'chao'chang'zuan 超长钻
'chao'gao'ya'you'beng 超高压油泵
'chao'sheng'bo'fa'sheng'qi 超声波发生器
'chao'ying'bai'gang'dao 超硬白钢刀
'chao'ying'dao'pian 超硬刀片
'che'chuang'beng 车床泵
'che'chuang'zuan'jia 车床钻夹
'che'dao'gan 车刀杆
'che'dao'zuo 车刀座
