'bo'guang'zhi'liu 波光之流
'fen'yang'lie'shou 焚阳烈兽
'fu'chou're'wen 复仇热瘟
'fu'dao'mei'she 负岛寐蛇
'han'di'zhi'wu 撼地之舞
'huan'meng'zhi'shi 唤梦之使
'huang'ye'shou'wei 荒野守卫
'huang'yuan'zhi'you 荒原之诱
'huo'shan'an'ying 火山暗影
'jin'yan'ju'shou 烬眼巨兽
'lie'kong'yuan'jing 裂空愿景
'lu'tang'shou'wang 炉膛守望
'lue'shi'zhi'chao 掠食之潮
'mi'jing'zhi'yin 秘径之引
'mi'lin'zhi'yan 密林之眼
'mi'tian'yan'ying 弥天焰影
'mi'xing'xing'guang 觅形星光
'mie'xiao'gui'ling 蔑笑诡灵
'mo'shi'zhi'yu 没世之雨
'qian'ying'li'chi 潜影利齿
'qing'kong'feng'ling 晴空风灵
'shan'ji'zhi'lei 闪击之雷
'shen'yan'ju'chi 深岩巨齿
'shen'zhao'li'mao 深沼狸猫
'sheng'ji'zhi'yan 生机之岩
'song'li'zhi'gen 耸立之根
'wan'kang'zhi'shi 顽抗之石
'wan'sheng'zhi'lin 蔓生之林
'xiang'che'zhi'lei 响彻之雷
'xie'dong'zhi'qun 协动之群
'xue'yong'zhi'tang 血涌之塘
'yan'yang'zhi'shi 炎阳之视
'ye'huo'zhi'xin 野火之心
'you'wei'zhi'wu 幽帷之雾
'yuan'gu'zhi'yi 远古之忆
'zhan'wang'zhi'yin 谵妄之音
'zhi'an'zhi'xi 至暗之息
