'a'bu'sha'yi'te 阿布沙伊特
'a'er'fa 阿尔法
'a'er'fu'lei'de 阿尔弗雷德
'a'ka'fei'er 阿卡菲尔
'a'ka'ya 阿卡娅
'a'lei'si 阿雷斯
'a'li'ya 阿莉娅
'a'lun 阿伦
'a'ma'di'si 阿玛迪斯
'a'rui'an'he'de 阿瑞安赫德
'ai'er'ma 艾尔玛
'ai'er'wei'si 埃尔维斯
'ai'er'wen 艾尔文
'ai'ge'bei'er'te 埃格贝尔特
'ai'ke'xue'la 爱克雪拉
'ai'la'si'zhuo 艾拉斯卓
'ai'lei'yin 艾蕾因
'ai'li'si 爱丽丝
'ai'lu'sha 艾露莎
'ai'ma'lin'ke 艾马林克
'ai'mei'da 艾梅达
'ai'mi'li'ya 艾米莉亚
'ai'si'di'er 艾丝蒂尔
'ai'xi'en 艾希恩
'an'de'li'ao 安德里奥
'an'jie'li'ka 安杰丽卡
'an'jie'li'na 安洁丽娜
'an'na 安娜
'ao'li'fo 奥利佛
'ao'li'wei'er 奥利维尔
'ao'tuo'ke'la'tuo'si'shi 奥托克拉托四世
'ba'en'ha'te 巴恩哈特
'ba'er'jia'si 巴尔加斯
'ban'tian'yin'shi 坂田银时
'bei'an'ka 贝安卡
'bei'di 贝蒂
'bi'luo'di'si 比萝蒂丝
'bing'yuan'ling'yu'zhe 冰渊凌御者
'bo'li'a'lu 波莉阿鲁
'bo'zan'lu 波赞鲁
'bu'lin'da 布琳达
'chao'yue'zhi'ren 超越之人
'di'de'li'te 蒂德莉特
'di'ha'er'te 迪哈尔特
'di'ou'si 迪欧斯
'di'ya'li'si 蒂亚莉丝
'duan'yi'niao 断翼鸟
'en'ya 恩雅
'fa'na 法娜
'fan'en 范恩
'fang'zhou'sheng'nv 方舟圣女
'fei'ying 飞影
'fu'la'ji'ya 弗拉基亚
'fu'lei'ya 芙蕾雅
'fu'luo'lang'di'ya 弗洛朗蒂娅
'gao'li 高里
'ge'lun'xi'er 格伦希尔
'ge'ni'er 格尼尔
'gu'en 古恩
'gu'ju'la 古巨拉
