'an'hua'zuo'yong 氨化作用
'an'ji'suan'dai'xie 氨基酸代谢
'an'ji'suan'zhuan'yun 氨基酸转运
'an'tong'hua 氨同化
'an'xing'tai'jian'cheng 暗形态建成
'ban'bao 伴胞
'ban'lv'jie'dao'de'zi'shi 伴侣介导的自噬
'ban'lv'su 伴侣素
'ban'xian'wei'su 半纤维素
'bao'bi'xi'bao 薄壁细胞
'bao'wei'xi'bao 保卫细胞
'bao'zi 孢子
'bao'zi'nang 孢子囊
'bao'zi'ti 孢子体
'bei'dong'yun'shu 被动运输
'bian'cai 边材
'biao'guan'yi'chuan 表观遗传
'biao'pi'mao 表皮毛
'biao'pi'xi'bao 表皮细胞
'bu'ding'gen 不定根
'bu'shi 捕食
'ce'gen 侧根
'ce'sheng'fen'sheng'zu'zhi 侧生分生组织
'chang'ri'zhao'zhi'wu 长日照植物
'chao'yang'hua'wu'qi'hua'mei 超氧化物歧化酶
'cheng'xu'xing'huai'si 程序性坏死
'cheng'xu'xing'xi'bao'si'wang 程序性细胞死亡
'chi'mei'su 赤霉素
'chu'sheng'fen'sheng'zu'zhi 初生分生组织
'chuan'di'xi'bao 传递细胞
'chun'cai 春材
'chun'hua'zuo'yong 春化作用
'ci'rui 雌蕊
'ci'sheng'fen'sheng'zu'zhi 次生分生组织
'dan'bai 蛋白
'dan'bai'ji'mei 蛋白激酶
'dan'bai'lin'suan'mei 蛋白磷酸酶
'dan'bai'mei'ti 蛋白酶体
'dan'bai'zhi'jiang'jie 蛋白质降解
'dan'bai'zhi'xiu'shi 蛋白质修饰
'dan'dai'xie 氮代谢
'dan'ning 单宁
'dan'su'gu'ding 氮素固定
'dan'su'li'yong'xiao'lv 氮素利用效率
'dao'guan 导管
'di'er'xin'shi 第二信使
'di'wen'xie'po 低温胁迫
'dian'fen'he'cheng 淀粉合成
'dian'zi'chuan'di'lian 电子传递链
'ding'duan'fen'sheng'zu'zhi 顶端分生组织
'du'jiao'jin'nei'zhi 独脚金内酯
'duan'ri'zhao'zhi'wu 短日照植物
'duo'an 多胺
'er'yang'hua'tan'bu'chang'dian 二氧化碳补偿点
'fan'su'hua 泛素化
'fan'xiang'yun'shu 反向运输
'fan'xiao'hua'zuo'yong 反硝化作用
'fan'yi'tiao'kong 翻译调控
'fan'zu'xi'bao 反足细胞
'fang'yu'fan'ying 防御反应
'fei'guang'hua'xue'cui'mie 非光化学淬灭
'fei'xuan'ze'xing'zi'shi 非选择性自噬
'fen'lei'hua'he'wu 酚类化合物
'fen'zi'ban'lv 分子伴侣
'fu'an'suan 脯氨酸
'fu'wei'xi'bao 副卫细胞
'gai'beng 钙泵
'gai'dai'xie 钙代谢
'gai'si'wang 钙死亡
'gai'tiao'dan'bai 钙调蛋白
'gai'xin'hao 钙信号
'gai'yi'lai'xing'dan'bai'ji'mei 钙依赖性蛋白激酶
'gan'han'xie'po 干旱胁迫
'gan'lu'chun 甘露醇
'gan'you'dai'xie 甘油代谢
'gao'er'ji'ti 高尔基体
'gao'wen'xie'po 高温胁迫
'gen'de'sheng'zhang 根的生长
'gen'guan 根冠
'gen'ji 根际
'gen'ji'wei'sheng'wu 根际微生物
'gen'jian'fen'sheng'zu'zhi 根尖分生组织
'gen'liu 根瘤
'gen'liu'jun 根瘤菌
'gen'mao 根毛
'gen'ya 根压
'gong'sheng 共生
'gong'sheng'gu'dan 共生固氮
'gu'an'suan'he'cheng'mei 谷氨酸合成酶
'gu'an'xian'an'he'cheng'mei 谷氨酰胺合成酶
'gu'chun 固醇
'gu'chun'dai'xie 固醇代谢
'gu'dan'mei 固氮酶
'gu'dan'zuo'yong 固氮作用
'gu'guang'gan'tai 谷胱甘肽
'gu'guang'gan'tai'huan'yuan'mei 谷胱甘肽还原酶
'guan'bao 管胞
'guang'bao'he'dian 光饱和点
'guang'bu'chang'dian 光补偿点
'guang'he'dan'wei 光合单位
'guang'he'lin'suan'hua 光合磷酸化
'guang'he'se'su 光合色素
'guang'he'tong'hua'wu 光合同化物
'guang'he'xiao'lv 光合效率
'guang'he'zuo'yong 光合作用
'guang'hu'xi 光呼吸
'guang'min'se'su 光敏色素
'guang'po'huai 光破坏
'guang'xing'tai'jian'cheng 光形态建成
'guang'yi'zhi 光抑制
'guang'zhou'qi 光周期
'guo'jiao 果胶
'guo'shi'cheng'shu 果实成熟
'guo'shi'fa'yu 果实发育
'guo'yang'hua'qing'mei 过氧化氢酶
'guo'yang'hua'wu'mei 过氧化物酶
'guo'yang'hua'wu'mei'ti 过氧化物酶体
'hai'mian'zu'zhi 海绵组织
'hai'zao'tang 海藻糖
'he'tang'ti 核糖体
'he'zi 合子
'hong'guang'shou'ti 红光受体
'hong'liang'yuan'su 宏量元素
'hou'bi'xi'bao 厚壁细胞
'hou'jiao'xi'bao 厚角细胞
