'a'di'shuai 阿迪帅
'ben'zhi 本之
'biao'ban'la 表板蜡
'bo'gao 博高
'bo'la 博拉
'bo'li'du'mo 玻璃镀膜
'bo'li'pao'guang 玻璃抛光
'bo'li'qing'jie'ji 玻璃清洁剂
'bo'li'qu'you'mo 玻璃去油膜
'chao'xi'xian'wei'mao'jin 超细纤维毛巾
'che'la 车蜡
'cheng'jing 乘境
'chui'feng'ji 吹风机
'chun'jing'du'jing 纯净镀晶
'cu'pao 粗抛
'da'jin 大金
'di'lai'bo 迪来铂
'du'jing'wei'hu 镀晶维护
'er'yang'hua'gui 二氧化硅
'fa'pao'hu 发泡壶
'fa'pao'wang 发泡网
'feng'ti 封体
'fu'shi 腐蚀
'fu'su 氟素
'gan'ju 柑橘
'gan'ju'xi'che'ye 柑橘洗车液
'gan'sha 干砂
'guang'zhi'yun 光之晕
'hua'du 滑度
'hua'hen 划痕
'hua'xue'xiao'zi 化学小子
'huan'yuan 还原
'huo'qiu 火球
'ji'tai'ke 积泰可
'ji'yang 吉漾
'ji'yue 极月
'jian'xing 碱性
'jian'zui'gai 尖嘴盖
'jing'mian'huan'yuan 镜面还原
'ju'he'wu 聚合物
'ka'luo'ke 卡洛克
'ka'pu 卡普
'kao'he 考赫
'ke'he 科赫
'kuai'su'hu'li 快速护理
'la'mian 蜡棉
'li'you'bi 利优比
'liang'du 亮度
'long'juan'feng 龙卷风
'lun'gu'qing'jie'ji 轮毂清洁剂
'lun'tai'qing'jie'ji 轮胎清洁剂
'man'ze'na 曼泽纳
'mei'gong'dao 美工刀
'mei'guang 美光
'mo'mian'hu'li 膜面护理
'mo'shi'du'jing 莫氏镀晶
'pao'chuan 抛穿
'pao'guang'da'la 抛光打蜡
'pen'chou'ji 喷抽机
'pen'wu'feng'ti 喷雾封体
'pen'zui 喷嘴
'pin'ni'gao 品尼高
'qi'mian'qing'jie'ji 漆面清洁剂
'qi'qing 漆清
're'feng'ji 热风机
'rui'kun 瑞堃
'run'du 润度
'san'he'yi 三合一
'san'jia 三佳
'sha'zhi 砂纸
'shan'hu'rong'mao'jin 珊瑚绒毛巾
'shang'guang 上光
'shen'bao 神宝
'shi'gong'xing 施工性
'shi'jiang 师匠
'shi'ye'cao 仕叶草
'shou'shui'jin 收水巾
'shui'sha 水砂
'shui'zi'qu'chu'ji 水渍去除剂
'shui'zi'ze'li 水渍啫喱
'shuo'er 烁尔
'suan'jian'zhong'he 酸碱中和
'suan'xing 酸性
'suan'xing'xi'che'ye 酸性洗车液
'tai'la 钛蜡
'te'fu'long 特氟龙
'tie'fen'qu'chu'ji 铁粉去除剂
'tong'bu'du'jing 同步镀晶
'tuo'zhi'ji 脱脂剂
'tuo'zhi'xi'che'ye 脱脂洗车液
'wei'chen 威臣
'wei'song 威颂
'wu'hua'hu 雾化壶
'xi'jie'shua 细节刷
'xi'pao 细抛
'xiao'bian'zi 小辫子
'xiao'juan 小娟
'xiao'yi 小亿
'xin'ge 新格
'xing'zou'xi'tong 行走系统
'xuan'dong'bo'shi 炫动博士
'ya'jie'che'shi 雅洁车饰
'yan'du 艳度
'yan'mo 研磨
'yang'hua'ceng 氧化层
'yang'hua'shi 氧化铈
'yi'hao'du'jing 壹号镀晶
'you'mo'gao 油膜膏
'you'mo'qu'chu'ji 油膜去除剂
'yu'xi 预洗
'zeng'yan 增艳
'zhai'mo 斋魔
'zhe'gai 遮盖
'zheng'qi'ji 蒸汽机
'zheng'xi 正洗
'zhi'huan 置换
'zhi'wu'du'jing 织物镀晶
'zhi'wu'du'mo 织物镀膜
'zhong'pao 中抛
'zhong'xing 中性
'zong'lv'la 棕榈蜡
'zong'mao'shua 鬃毛刷
