'ban'miao'bian 版描边
'bao'ji'piao'zi 暴击飘字
'bei'lv'biao'zhi 倍率标识
'bu'liao'zhi'gan 布料质感
'cai'dan'lan 菜单栏
'chan'zhi'wen'yang 缠枝纹样
'chang'jing'hua'jie'mian 场景化界面
'che'kuang'shu'ju 车况数据
'cheng'qiang'wen'li 城墙纹理
'chu'kong're'qu 触控热区
'chuang'kou'hua'an'niu 窗口化按钮
'dan'qi'tiao 氮气条
'dan'wei'dui'die'biao'zhi 单位堆叠标识
'deng'ji'jin'du'tiao 等级进度条
'di'bu'dao'hang 底部导航
'dong'tai'sai'hong 动态腮红
'duo'chuang'kou'qie'huan 多窗口切换
'fei'yan'lun'kuo 飞檐轮廓
'fen'ping'jie'mian 分屏界面
'gao'fen'bian'lv'shi'pei 高分辨率适配
'gun'lun'gun'dong'qu 滚轮滚动区
'heng'ping'quan'jing 横屏全景
'hui'he'shu'mian'ban 回合数面板
'ji'shi'mian'ban 计时面板
'jia'su'an'niu 加速按钮
'jian'bian'gao'guang 渐变高光
'jian'pan'kuai'jie'jian'ti'shi 键盘快捷键提示
'jin'shu'wen'li 金属纹理
'jing'yan'tiao 经验条
'juan'zhou'jie'mian 卷轴界面
'jun'yong'pei'se 军用配色
'ka'tong'tu'biao 卡通图标
'kang'xing'mian'ban 抗性面板
'ke'ji'shu'jie'mian 科技树界面
'kua'zhang'zao'xing 夸张造型
'kuai'jie'jian'tu'biao 快捷键图标
'kuai'jie'lan 快捷栏
'lian'meng'tu'biao 联盟图标
'ling'di'di'tu 领地地图
'liu'jin'xian'tiao 鎏金线条
'mao'rong'zhi'gan 毛绒质感
'ni'wu'an'niu 拟物按钮
'pai'ming'xian'shi 排名显示
'pi'ge'zhi'gan 皮革质感
'pi'ying'yuan'su 皮影元素
'piao'yi'ji'fen 漂移计分
'qi'pao'dui'hua'kuang 气泡对话框
'qiang'xie'tu'biao 枪械图标
'qing'dai'pei'se 青黛配色
'quan'ci'ji'shu'qi 圈次计数器
'quan'ping'mo'shi'an'niu 全屏模式按钮
'sai'dao'di'tu 赛道地图
'shang'hai'shu'zi 伤害数字
'shi'bi'chu'zhi'gan 湿笔触质感
'shi'pei'yuan'jiao 适配圆角
'shi'qi'zhi'yi'biao'pan 士气值仪表盘
'shou'hui'xian'tiao 手绘线条
'shou'shi'cao'zuo'qu 手势操作区
'shou'yi'tan'chuang 收益弹窗
'shu'biao'xuan'fu'xiao'guo 鼠标悬浮效果
'shu'ping'bu'ju 竖屏布局
'shu'ping'tan'chuang 竖屏弹窗
'shu'xing'tu'biao 属性图标
'shu'zhi 数值
'shu'zhi'mian'ban 数值面板
'shuai'jian'shu'zhi 衰减数值
'shui'mo'li'zi 水墨粒子
'shui'mo'yun'ran 水墨晕染
'su'du'biao 速度表
'sun'mao'bu'ju 榫卯布局
'tan'chuang'jing'jian 弹窗精简
'tong'hua'bian'kuang 童话边框
'tong'qu'zi'ti 童趣字体
'tu'ya'wen'li 涂鸦纹理
'wai'jiao'mian'ban 外交面板
'xi'jie'wen'li 细节纹理
'xia'la'cai'dan 下拉菜单
'xian'shi 显示
'xiao'ping'you'hua 小屏优化
'xie'shi'zi'ti 写实字体
'xuan'fu'tu'biao 悬浮图标
'yin'ying'ceng'ci 阴影层次
'yuan'jiao'kong'jian 圆角控件
'yuan'run'an'niu 圆润按钮
'yun'wen'bian'kuang 云纹边框
'zhan'bao'tan'chuang 战报弹窗
'zhan'li'xian'shi 战力显示
'zhan'shu'mian'ban 战术面板
'zhen'ying'hui'zhang 阵营徽章
'zheng'bing'an'niu 征兵按钮
'zhi'ling'cai'dan 指令菜单
'zhu'hong'zhu'se 朱红主色
'zhu'jian'pai'ban 竹简排版
'zhuan'ke'yin'zhang 篆刻印章
'zhuan'ti'zi'ti 篆体字体
'zhuang'bei'shu'zhi 装备数值
'zhuang'se'da'pei 撞色搭配
'zhuang'se'yin'ying 撞色阴影
'zi'yuan'jin'du'tiao 资源进度条
'zui'jia'quan'su 最佳圈速
