'bu'fa 不发
'dan'hao'gui'ge'ri'qi'zi'dan'wu'xie'chu'ji'lu 单号规格日期子单无卸出记录
'dian'shang'yao'qiu'tui'hui 电商要求退回
'duan'yu'bian'ji 短语编辑
'fen'pi'yu'ji'da'hou'tian'zuo'you 分批预计大后天左右
'fen'pi'yu'ji'hou'tian'zuo'you 分批预计后天左右
'fen'pi'yu'ji'ming'tian'zuo'you 分批预计明天左右
'gai'di'zhi 改地址
'gai'wang'dian 改网点
'gai'xin'xi 改信息
'he'shi 核实
'hu'lue 忽略
'ke'hu'bu'fa 客户不发
'ke'hu'ju'shou 客户拒收
'ke'yi'le 可以了
'lan'jie 拦截
'lan'jie'tui'hui 拦截退回
'lian'xi'bu'shang'kuai'di'yuan'yi'fa'wen'ti'jian'xun'wen 联系不上快递员已发问题件询问
'pian'yuan'bu'fa 偏远不发
'qian'shou'di'dan 签收底单
'qu'xiao 取消
'qu'xiao'lan'jie 取消拦截
'qu'xiao'tui'hui 取消退回
'shang'men'jia'shou'duo'bu'fa 上门加收多不发
'tui'hui 退回
'wang'dian'pian'yuan 网点偏远
'wang'dian'zi'ti 网点自提
'wo'men'lian'xi'xia'wang'dian'he'shi 我们联系下网点核实
'wu'fei'yong'yi'xiu'gai 无费用已修改
'wu'sao'ma'yi'shan'dan 无扫码已删单
'xiu'fu'shi'song'ru'you'wen'ti'ji'shi'tong'zhi'wo'si 修复试送如有问题及时通知我司
'xiu'gai 修改
'yi'chu'li'wan'jie 已处理完结
'yi'chu'li'zan'cun 已处理暂存
'yi'cui'pai 已催派
'yi'cui'wang'dian'jin'kuai'pai'song 已催网点尽快派送
'yi'dao'chang 已到厂
'yi'deng'ji'che'xiao 已登记撤销
'yi'deng'ji'lan'jie 已登记拦截
'yi'deng'ji'tui'hui 已登记退回
'yi'gao'zhi'wang'dian 已告知网点
'yi'shan'dan 已删单
'yi'shi'che'xiao'zhuang'tai 已是撤销状态
'yi'shi'shan'dan'zhuang'tai 已是删单状态
'yi'tong'zhi'tui'hui 已通知退回
'yi'tong'zhi'wang'dian 已通知网点
'yi'tong'zhi'wang'dian'pai'song 已通知网点派送
'yi'xiu'gai 已修改
'yi'xiu'gai'di'zhi 已修改地址
'yi'xiu'gai'wang'dian 已修改网点
'yi'xiu'gai'wu'fei'yong 已修改无费用
'yi'xun'wen'wang'dian'dai'hui'fu 已询问网点待回复
'yu'ji'da'hou'tian'zuo'you 预计大后天左右
'yu'ji'hou'tian'zuo'you 预计后天左右
'yu'ji'jin'tian'xia'wu'huo'ming'tian'zuo'you 预计今天下午或明天左右
'yu'ji'ming'tian'zuo'you 预计明天左右
'zai'shi'xia 再试下
'zhi'xi 知悉
