'ban'wai 板歪
'bao'fei 报废
'bu'jiao 补胶
'bu'qi'yi'fan'xiu'hao 补漆已返修好
'ci'xin'lan 磁芯烂
'ci'xin'lie 磁芯裂
'dang'ban'lan 挡板烂
'di'ban'bian'xing 底板变形
'di'ban'lan 底板烂
'dian'jiao'bu'liang 点胶不良
'gua'xian'gao 挂线高
'guo'ma'bu'liang 过码不良
'han'xi'bu'liang 焊锡不良
'jiao'bian'xing 脚变形
'jiao'duan 脚短
'jiao'lou'tong 脚漏铜
'jiao'shang'you'jiao 脚上有胶
'lou'tong 漏铜
'lou'xi'wei 漏锡位
'mei'ge'ban 没隔板
'peng'er'ji'guan 碰二级管
'po'pi 破皮
'xi'zha'zha 锡渣渣
'xian'bao'song 线包松
'xian'bao'you'yi'wu 线包有异物
'xian'bao'zang 线包脏
'xian'jian'ju'da 线间距大
'yan'zhong'po'pi 严重破皮
'zhong'han 重焊
