'an'ji'jia'xian'lin'suan'he'cheng'mei 氨基甲酰磷酸合成酶
'an'ji'suan'dai'xie 氨基酸代谢
'an'tai'mei 氨肽酶
'ban'bao'liu'fu'zhi 半保留复制
'ban'bu'lian'xu'fu'zhi 半不连续复制
'ban'guang'an'suan'dai'xie 半胱氨酸代谢
'ban'lv'su 伴侣素
'ban'xian'wei'su 半纤维素
'ben'bing'an'suan'qiang'hua'mei 苯丙氨酸羟化酶
'bi'xu'ji'tuan 必需基团
'bian'ji 编辑
'biao'guan'yi'chuan'tiao'kong 表观遗传调控
'biao'guan'zu 表观组
'biao'guan'zu'xue 表观组学
'bie'gou'mei 别构酶
'bing'an'suan'zhuan'an'mei 丙氨酸转氨酶
'bing'tong'suan'ji'mei 丙酮酸激酶
'bing'tong'suan'suo'hua'mei 丙酮酸羧化酶
'bing'tong'suan'tuo'suo 丙酮酸脱羧
'bu'ke'ni'yi'zhi 不可逆抑制
'cha'ru'tu'bian 插入突变
'cha'xiang'yi'gou'hua 差向异构化
'chao'er'ji'jie'gou 超二级结构
'chao'yang'hua'wu'qi'hua'mei 超氧化物歧化酶
'chen'mo'tu'bian 沉默突变
'chen'mo'zi'jie'he'dan'bai 沉默子结合蛋白
'chen'mo'zi'tu'bian 沉默子突变
'cheng'shu'tai 成熟肽
'cheng'xu'xing'huai'si 程序性坏死
'chong'fu 重复
'chong'zu'mei 重组酶
'chu'fa'yin'zi 触发因子
'chuan'gan'qi 传感器
'cui'hua'wei'dian 催化位点
'cui'hua'xiao'lv 催化效率
'cui'hua'ya'ji 催化亚基
'cuo'pei'xiu'fu'mei 错配修复酶
'cuo'yi'tu'bian 错义突变
'dai'xie'gong'cheng 代谢工程
'dai'xie'tu'jing 代谢途径
'dai'xie'zu 代谢组
'dai'xie'zu'xue 代谢组学
'dan'an'yang'hua'mei 单胺氧化酶
'dan'bai'fu'he'wu 蛋白复合物
'dan'bai'mei 蛋白酶
'dan'bai'mei'fu'he'wu 蛋白酶复合物
'dan'bai'mei'ti 蛋白酶体
'dan'bai'zhi'chuan'gan'qi 蛋白质传感器
'dan'bai'zhi'gong'cheng 蛋白质工程
'dan'bai'zhi'he'cheng 蛋白质合成
'dan'bai'zhi'jiang'jie 蛋白质降解
'dan'bai'zhi'xin'pian 蛋白质芯片
'dan'bai'zhi'zhe'die 蛋白质折叠
'dan'bai'zhi'zu 蛋白质组
'dan'bai'zhi'zu'xue 蛋白质组学
'dan'gai'hua'chun 胆钙化醇
'dan'gu'chun 胆固醇
'dan'lian'jie'he'dan'bai 单链结合蛋白
'dan'ning 单宁
'dan'yuan 单元
'dan'zhi'suan 胆汁酸
'dao'wei'tu'bian 倒位突变
'di'mi'du'zhi'dan'bai 低密度脂蛋白
'di'wu'jie'he'wei'dian 底物结合位点
'dian'fen 淀粉
'dian'fen'mei 淀粉酶
'dian'hua'xue'fa'guang 电化学发光
'dian'tu'bian 点突变
'dian'zi'chuan'di'lian 电子传递链
'dong'li 动粒
'dong'li'dan'bai 动力蛋白
'duan'li 端粒
'duan'li'mei 端粒酶
'er'an'yang'hua'mei 二胺氧化酶
'er'liu'jian'xing'cheng 二硫键形成
'er'liu'jian'yi'gou'mei 二硫键异构酶
'er'tai'mei 二肽酶
'fa'jia 发夹
'fa'ni'ji'hua 法尼基化
'fan'jing'zheng'xing'yi'zhi 反竞争性抑制
'fan'mi'ma'zi 反密码子
'fan'su'dan'bai'mei'ti'tu'jing 泛素蛋白酶体途径
'fan'su'hua 泛素化
'fan'su'lian'jie'mei 泛素连接酶
'fan'suan 泛酸
'fan'yi 翻译
'fan'yi'fu'he'wu 翻译复合物
'fan'yi'hou'xiu'shi 翻译后修饰
'fan'yi'tiao'kong 翻译调控
'fan'ying'lei'xing 反应类型
'fan'zhuan'lu'mei 反转录酶
'fang'chui'ti 纺锤体
'fei'jie'mei'ran'se'dan'ti 非姐妹染色单体
'fei'jing'zheng'xing'yi'zhi 非竞争性抑制
'fen'zi'ban'lv 分子伴侣
'fen'zi'chong'pai 分子重排
'fu'an'suan 脯氨酸
'fu'ji 辅基
'fu'mei 辅酶
'fu'xie'tong 负协同
'fu'yin'zi 辅因子
'fu'zhi'cha 复制叉
'fu'zhi'fu'he'wu 复制复合物
'gan'an'suan 甘氨酸
'gan'rao 干扰
'gan'you'san'zhi 甘油三酯
'gang'qi'pian'duan 冈崎片段
'gao'er'ji'ti 高尔基体
'gao'er'ji'ti'ding'wei'xin'hao 高尔基体定位信号
'gao'mi'du'zhi'dan'bai 高密度脂蛋白
'gong'neng'zu 功能组
'gong'neng'zu'xue 功能组学
'gong'qiao 拱桥
'gu'an'suan'tuo'qing'mei 谷氨酸脱氢酶
'gu'an'xian'an'he'cheng'mei 谷氨酰胺合成酶
'gu'an'xian'an'mei 谷氨酰胺酶
'gu'an'xian'xun'huan 谷氨酰循环
'gu'chun 固醇
'gu'guang'gan'tai'guo'yang'hua'wu'mei 谷胱甘肽过氧化物酶
'gua'an'suan'he'cheng'mei 瓜氨酸合成酶
'guang'hua'xue'fan'ying 光化学反应
'guang'xiu'fu'mei 光修复酶
'guo'jiao 果胶
'guo'jiao'mei 果胶酶
'guo'yang'hua'qing'mei 过氧化氢酶
'guo'yang'hua'wu'mei'ti 过氧化物酶体
'guo'yang'hua'wu'mei'ti'ding'wei'xin'hao 过氧化物酶体定位信号
'hai'zao'tang 海藻糖
'he'cheng'mei 合成酶
'he'cheng'mei'fu'he'wu 合成酶复合物
'he'cheng'sheng'wu'xue 合成生物学
'he'ding'wei'xin'hao 核定位信号
'he'gan'suan'dai'xie 核苷酸代谢
'he'mei 核酶
'he'shu'chu'xin'hao 核输出信号
'he'suan'mei 核酸酶
'he'tang'lin'suan'yi'gou'mei 核糖磷酸异构酶
'he'tang'ti 核糖体
'he'tang'ti'fu'he'wu 核糖体复合物
'he'tang'ti'jie'he'wei'dian 核糖体结合位点
'he'tong'tang'lin'suan'cha'xiang'yi'gou'mei 核酮糖磷酸差向异构酶
'he'xiao'ti 核小体
'he'xiao'ti'ding'wei 核小体定位
'hong'ji'yin'zu 宏基因组
'hu'bian'yi'gou 互变异构
'hu'jing 糊精
'hu'luo'bo'su 胡萝卜素
'hu'po'suan'tuo'qing'mei 琥珀酸脱氢酶
'hua'qing'su 花青素
'hua'se'su'gan 花色素苷
'hua'xue'fa'guang 化学发光
'hua'xue'shen'tou'jia'shuo 化学渗透假说
'huai'si 坏死
'huai'si'xing'diao'wang 坏死性凋亡
'huan'jie'gou 环结构
'huang'su'xian'piao'ling'er'he'gan'suan 黄素腺嘌呤二核苷酸
'huang'tong'chun 黄酮醇
'huang'tong'lei 黄酮类
'huang'wan'chun 黄烷醇
'huo'xing'yang 活性氧
'ji'di'mi'du'zhi'dan'bai 极低密度脂蛋白
'ji'dong'dan'bai 肌动蛋白
'ji'huo'ji 激活剂
'ji'huo'tai 激活肽
'ji'huo'yin'zi 激活因子
'ji'mei 激酶
'ji'mei'cha'ru'yu 激酶插入域
'ji'mei'jie'gou'yu 激酶结构域
'ji'qiu'dan'bai 肌球蛋白
'ji'tang'ji'mei 己糖激酶
'ji'yin'biao'da'tiao'kong 基因表达调控
'ji'yin'chong'zu 基因重组
'ji'yin'gong'cheng 基因工程
'ji'yin'tu'bian 基因突变
'ji'yin'xin'pian 基因芯片
'ji'yin'zu'xue 基因组学
'jia'cheng'fan'ying 加成反应
'jia'ji'hua 甲基化
'jia'ji'hua'mei 甲基化酶
'jia'ji'zhuan'yi'mei 甲基转移酶
'jia'liu'an'suan'dai'xie 甲硫氨酸代谢
'jia'xin 夹心
'jian'jie 剪接
'jian'jie'fu'he'wu 剪接复合物
'jian'jie'ti 剪接体
'jian'jie'yin'zi 剪接因子
'jian'qi 间期
'jian'shu'fen'lie 减数分裂
'jiao'cha'hu'huan 交叉互换
'jiao'dan'bai 角蛋白
'jiao'wang 焦亡
'jiao'yuan'dan'bai 胶原蛋白
'jiao'yuan'mei 胶原酶
'jie'gou'yu 结构域
'jie'gou'zu 结构组
'jie'gou'zu'xue 结构组学
'jie'he'chang'shu 结合常数
'jie'he'dan'bai 结合蛋白
'jie'he'yu 结合域
'jie'ju'fan'ying 解聚反应
'jie'li'chang'shu 解离常数
'jie'mei'ran'se'dan'ti 姐妹染色单体
'jie'ou'lian'dan'bai 解偶联蛋白
'jie'xuan'mei 解旋酶
'jin'shu'li'zi 金属离子
'jing'an'hu'po'suan'he'mei 精氨琥珀酸合酶
'jing'an'hu'po'suan'lie'jie'mei 精氨琥珀酸裂解酶
'jing'an'suan'mei 精氨酸酶
'jing'zheng'xing'yi'zhi 竞争性抑制
'ju'he'fan'ying 聚合反应
'ju'he'mei 聚合酶
'ju'he'mei'fu'he'wu 聚合酶复合物
'juan'qu'luo'xuan 卷曲螺旋
'jue'dui'zhuan'yi'xing 绝对专一性
'ke'ni'yi'zhi 可逆抑制
'kong'jian'zu 空间组
'kong'jian'zu'xue 空间组学
'kua'mo'jie'gou'yu 跨膜结构域
'la'zhi 蜡酯
'lan'gan 栏杆
'lao'an'suan'qiang'hua'mei 酪氨酸羟化酶
'lei'gu'chun 类固醇
'leng'zhu 棱柱
'li'ti'zhuan'yi'xing 立体专一性
'lian'hui 联会
'lian'jie'mei 连接酶
'lian'jie'mei'fu'he'wu 连接酶复合物
'lian'jie'qu'yu 连接区域
'liang'an'suan'la'lian 亮氨酸拉链
'lie'jie'fan'ying 裂解反应
