'an'quan'cao'zuo 安全操作
'an'quan'gao'xiao 安全高效
'bai'ling 白蛉
'bai'yi 白蚁
'bai'yi'fang'zhi 白蚁防治
'bing'mei'kao'he 病媒考核
'bing'mei'mi'du'kong'zhi 病媒密度控制
'bing'mei'sheng'wu 病媒生物
'bing'mei'sheng'wu'fang'zhi'fu'wu 病媒生物防制服务
'bu'shu'long 捕鼠笼
'can'yin'chong'hai'fang'zhi 餐饮虫害防治
'cang'chu'liang'shi'hai'chong 仓储粮食害虫
'cang'ying 苍蝇
'chang'xiao'bao'zhang 长效保障
'chao'chong 潮虫
'chao'di'rong'liang'pen'wu 超低容量喷雾
'chao'di'rong'liang'pen'wu'qi 超低容量喷雾器
'chi'xu'xing'guan'kong 持续性管控
'chi'zheng'shang'gang 持证上岗
'chi'zheng'tuan'dui 持证团队
'chong'hai'fang'zhi 虫害防治
'chou'chong 臭虫
'chou'chong'fang'zhi 臭虫防治
'chu'si'hai'fu'wu 除四害服务
'chuang'shi 床虱
'chuang'wei'da'biao 创卫达标
'de'guo'xiao'lian 德国小蠊
'ding'qi'xiao'sha 定期消杀
'du'chong 蠹虫
'e'meng 蛾蠓
'er'chang'jian'hai'chong'ming'cheng'jing'zhun'ci 二常见害虫名称精准词
'er'ji'mie'sha 饵剂灭杀
'fang'hu'zhuang'bei 防护装备
'fang'shu'she'shi 防鼠设施
'fang'wen'she'shi 防蚊设施
'fang'ying'she'shi 防蝇设施
'fei'chong 飞虫
'fei'chong'fang'zhi 飞虫防治
'fen'ji 粉剂
'fen'ji'chu'li 粉剂处理
'fen'man 粉螨
'feng'du'fang'ru'qin 封堵防入侵
'feng'xi'chu'li 缝隙处理
'fu'wu 服务
'gong'chang'chong'hai'kong'zhi 工厂虫害控制
'gong'gong'chang'suo'xiao'sha 公共场所消杀
'gong'gong'wei'sheng'xiao'sha 公共卫生消杀
'gu'dao 谷盗
'guo'ying 果蝇
'he'jia'shu 褐家鼠
'hong'huo'yi 红火蚁
'hua'xue'fang'zhi 化学防治
'huan'bao'da'biao 环保达标
'huan'jing'fang'zhi 环境防治
'huan'jing'xiao'sha 环境消杀
'huang'xiong'shu 黄胸鼠
'ji'du'fang'zhi 季度防治
'jia'bai'yi 家白蚁
'jia'shu 家鼠
'jia'ting'chu'chong 家庭除虫
'jian'ce'yu'jing 监测预警
'jian'zhu'gong'di'xiao'sha 建筑工地消杀
'jiao'er'fang'zhi 胶饵防治
'jiu'dian'chong'hai'fang'zhi 酒店虫害防治
'ke'li'ji 颗粒剂
'ke'xue'fang'zhi 科学防治
'kong'jian'pen'sa 空间喷洒
'kong'jian'pen'wu'ji 空间喷雾剂
'kuai'su'xiang'ying 快速响应
'lao'shu 老鼠
'liu'zi'zhi'biao'zhun'he'gui'ci 六资质标准合规词
'lv'se'huan'bao 绿色环保
'ma'lu 马陆
'ma'yi 蚂蚁
'mai'e 麦蛾
'man'chong'fang'zhi 螨虫防治
'mei'zhou'da'lian 美洲大蠊
'mi'du'jian'ce 密度监测
'mi'xiang 米象
'mie'shu'er'ji 灭鼠饵剂
'mie'shu'zhan 灭鼠站
'mie'wen'deng 灭蚊灯
'mie'ying'deng 灭蝇灯
'mie'zhang'jiao'er 灭蟑胶饵
'mu'feng 木蜂
'mu'zhi'jian'zhu'hai'chong 木质建筑害虫
'nian'du'cheng'bao 年度承包
