'an'quan 安全
'an'quan'sheng'chan 安全生产
'bao'la 爆辣
'bao'zhang 保障
'biao'gan'shi'fan 标杆示范
'biao'zhun 标准
'biao'zhun'ti'xi 标准体系
'bu'shang'tou 不上头
'chan'pin 产品
'chan'pin'chuang'xin 产品创新
'chan'pin'kai'fa 产品开发
'chan'pin'sheng'ji 产品升级
'chan'ye'xie'tong 产业协同
'chang'fa'sheng 长发升
'chang'xiao'ji'zhi 长效机制
'chen'hua 陈化
'chen'xiang 陈香
'cheng'ben'kong'zhi 成本控制
'chi'xiang'xing 豉香型
'chong'zu'bing'gou 重组并购
'chu'xin'shi'ming 初心使命
'chuan'xiang'jiu 串香酒
'chuang'xin 创新
'chuang'xin'fa'zhan 创新发展
'chuang'xin'qu'dong 创新驱动
'chun'he 醇和
'chun'hou 醇厚
'ci'gao'duan 次高端
'cun'zai'wen'ti 存在问题
'cuo'shi 措施
'da'mi 大米
'da'qu 大曲
'dan'bo 单薄
'dang'jian'yin'ling 党建引领
'di'du'jiu 低度酒
'di'duan 低端
'di'gang 地缸
'di'li'qian'xing 砥砺前行
'di'wen'da'qu 低温大曲
'dian'shang'ping'tai 电商平台
'dian'xing'an'li 典型案例
'dong'xiao 动销
'dong'xiao'lv 动销率
'dui'ce'jian'yi 对策建议
'fa'zhan 发展
'fa'zhan'zhan'lue 发展战略
'fa'zhi'bao'zhang 法治保障
'fan'sha 翻沙
'fei'dian'liang'shui 沸点量水
'fen'ceng'qi'zao 分层起糟
'feng'man 丰满
'feng'xian 风险
'feng'xian'fang'kong 风险防控
'feng'xiang'xing 凤香型
'fu'qu 麸曲
'fu'wu 服务
'fu'wu'chuang'xin 服务创新
'gai'ge 改革
'gao'du'jiu 高度酒
'gao'duan 高端
'gao'liang 高粱
'gao'wen'da'qu 高温大曲
'gao'zhi'liang'fa'zhan 高质量发展
'ge'wei'xie'tiao 各味协调
'gong'jian'ke'nan 攻坚克难
'gong'si 公司
'gong'yi 工艺
'gong'yi'chuang'xin 工艺创新
'gong'ying'lian 供应链
'gong'ying'lian'guan'li 供应链管理
'gong'zuo 工作
'gong'zuo'ren'wu 工作任务
'gou'dui 勾兑
'gou'tiao 勾调
'gu'fen 股份
'gu'jiao'bao'hu 古窖保护
'gu'jing'gong'jiu 古井贡酒
'gu'tai'fa'jiao 固态发酵
'guan'li 管理
'guan'li'chuang'xin 管理创新
'guan'li'ti'xi 管理体系
'guang'ping'jiu 光瓶酒
'gui'fan'yun'zuo 规范运作
'gui'hua 规划
'gui'hua'lan'tu 规划蓝图
'gui'zhou'mao'tai 贵州茅台
'guo'ji'he'zuo 国际合作
'guo'ji'shi'chang 国际市场
'guo'qi'gai'ge 国企改革
'hai'nan'ye'dao 海南椰岛
'hang'ye'biao'zhun 行业标准
'hang'ye'qu'shi 行业趋势
'he'gui'cong'ye 合规从业
'he'gui'guan'li 合规管理
'he'mei'wen'hua 和美文化
'he'xie'gong'sheng 和谐共生
'he'xin'da'dan'pin 核心大单品
'he'xin'jing'zheng'li 核心竞争力
'he'xin'neng'li 核心能力
'he'zuo 合作
'huan'bao 环保
'huan'jing'bao'hu 环境保护
'huang'tai'jiu'ye 皇台酒业
'hui'tian 回甜
'hui'wei'you'chang 回味悠长
'hun'zheng'hun'shao 混蒸混烧
'ji'di 基地
'ji'di'jian'she 基地建设
'ji'nian'jiu 纪念酒
'ji'shu 技术
'ji'shu'chuang'xin 技术创新
'ji'yu'tiao'zhan 机遇挑战
'jian'kang'xiao'fei 健康消费
'jian'she 建设
'jian'xiang'xing 兼香型
'jiang'du'jiu 降度酒
'jiang'xiang'xing 酱香型
'jiao'xiang 窖香
'jin'hui'jiu 金徽酒
'jin'shi'yuan 今世缘
'jin'zhong'zi'jiu 金种子酒
'jing'ji'xiao'yi 经济效益
'jing'shen'chuan'cheng 精神传承
'jing'xiao'shang 经销商
'jing'yi'guan'li 精益管理
'jing'ying'ye'ji 经营业绩
'jing'zheng 竞争
'jiu'gui'jiu 酒鬼酒
'jiu'hai 酒海
'jiu'hua 酒花
'jiu'qu 酒曲
'jiu'ti'she'ji 酒体设计
'jiu'xian 酒线
'ju'ti'cuo'shi 具体措施
'kai'fa'jiu 开发酒
'kai'fang'he'zuo 开放合作
'kan'hua'zhai'jiu 看花摘酒
'ke'chi'xu'fa'zhan 可持续发展
'ke'hu 客户
'ke'hu'fu'wu 客户服务
'ke'hu'xu'qiu 客户需求
'kong'bei'liu'xiang 空杯留香
'kou'zi'jiao 口子窖
'kun'sha 坤沙
'lao'bai'gan'jiu 老白干酒
'lao'bai'gan'xiang'xing 老白干香型
'lao'shu 老熟
'li'chuan'yong 利川永
'lian'jie'jian'she 廉洁建设
'liang'xiang 粮香
'liu'cheng'you'hua 流程优化
'liu'cheng'zai'zao 流程再造
'liu'ding'xing 刘鼎兴
'liu'xiang 留香
'lu'jing'tan'suo 路径探索
'lu'zhou'lao'jiao 泸州老窖
'luo'di'zhi'xing 落地执行
'lv'se'di'tan 绿色低碳
'lv'se'fa'zhan 绿色发展
'mi'xiang'xing 米香型
'mian'rou 绵柔
'mo'shi'chuang'xin 模式创新
'mu'biao 目标
'mu'biao'ren'wu 目标任务
'nei'bu'guan'li 内部管理
'neng'li 能力
'neng'li'ti'sheng 能力提升
'ni'jiao 泥窖
