'a'zi 阿梓
'ai'cai 爱菜
'an'xi'qian'bei 安西前辈
'bai'chuan'jiao'shou 白川教授
'bei'yuan 北原
'bei'yuan'kan 北原栞
'bei'yuan'yi'zhi 北原伊织
'bi'lan'zhi'hai 碧蓝之海
'bin'gang'zi 滨冈梓
'cai'zhai 菜摘
'chuan'nai 川奈
'da'qiao'li'hui 大桥理慧
'da'ren 大人
'deng'zhi'fu 登志夫
'dong'xue'zhang 东学长
'du'dao 毒岛
'du'dao'da'ren 毒岛大人
'du'dao'ying'zi 毒岛樱子
'fan'tian'jia'nai'zi 饭田加奈子
'fan'tian'mo'ye 饭田摩耶
'gan'shi'qian'shui'fu 干式潜水服
'geng'ping 耕平
'gong'gu'dao 宫古岛
'gong'teng 工藤
'gong'teng'hui'zhang 工藤会长
'gong'xue'bu 工学部
'gu'shou'chuan 古手川
'gu'shou'chuan'deng'zhi'fu 古手川登志夫
'gu'shou'chuan'nai'nai'hua 古手川奈奈华
'gu'shou'chuan'qian'sha 古手川千纱
'han'hai 瀚海
'hang'lu'jiu'ba 航路酒吧
'heng'shou'qian'bei 横手前辈
'heng'shou'wu'xiong 横手武雄
'hui'zi 惠子
'ji'yuan'ai'cai 吉原爱菜
'jia'nai'zi 加奈子
'jin'cun 今村
'jin'cun'geng'ping 今村耕平
'jue'yuan'po'huai'xing'shi'yan 绝缘破坏性实验
'ke'ran'shui 可燃水
'li'hui 理慧
'ling'mu'hui'zi 铃木惠子
'mo'ye 摩耶
'nai'nai'hua 奈奈华
'nong'zhuang'guai 浓妆怪
'qian'sha 千纱
'qian'shui'she 潜水社
'qing'hai'nv'zi'da'xue 青海女子大学
'qing'zi 清子
'ren'zha'qun 人渣群
'shan'ben 山本
'shan'ben'zhen'yi'lang 山本真一郎
'shen'wei'qing'zi 神尾清子
'sheng'ming'zhi'shui 生命之水
'shi'shi'qian'shui'fu 湿式潜水服
'shi'tian 时田
'shi'tian'qian'bei 时田前辈
'shi'tian'xin'zhi 时田信治
'shi'tian'xue'zhang 时田学长
'shou'long'ci'lang 寿龙次郎
'shou'qian'bei 寿前辈
'shou'xue'zhang 寿学长
'shui'shu'xia'ye 水树夏夜
'si'pi'ya'tu'si 斯皮亚图斯
'teng'yuan 藤原
'teng'yuan'jian'tai 藤原健太
'wan'nian'zhun'jiao'shou 万年准教授
'wu'long'cha 乌龙茶
'xia'bi'chong'ji 夏比冲击
'xiao'kan 小栞
'ye'dao 野岛
'ye'dao'yuan 野岛元
'yi'dou 伊豆
'yi'dou'chun'ji 伊豆春祭
'yi'dou'da'xue 伊豆大学
'yi'dou'qiu'ji 伊豆秋祭
'yi'shi 乙矢
'yi'shi'shang'hai 乙矢尚海
'yi'zhi 伊织
'ying'zi 樱子
'yong'shi'zhun'jiao'shou 永世准教授
'you'dai'gong'yong'shi 右代宫永世
'you'ji 由纪
'yu'shou'xi 御手洗
'yu'shou'xi'you 御手洗优
'zhen'yuan'du'ce'ding 真圆度测定
'zhuang'shi'shou 妆尸兽
'zhun'jiao'shou 准教授
'zi'xue'jie 梓学姐
