'a'bei'ke'long'bi 阿贝克隆比
'a'bu'lu'qi'gong'jue 阿布鲁齐公爵
'a'da'er'bo'te'qin'wang 阿达尔伯特亲王
'a'di'li'ao'lei'ge'luo 阿蒂利奥雷戈洛
'a'er'bi'en 阿尔比恩
'a'er'fu'lei'duo'ao'li'ya'ni 阿尔弗雷多奥里亚尼
'a'er'han'ge'er'si'ke 阿尔汉格尔斯克
'a'er'ji'li'ya 阿尔及利亚
'a'er'sa'si 阿尔萨斯
'a'fu'le'er 阿芙乐尔
'a'he'ye 阿贺野
'a'ji'li'si 阿基里斯
'a'jia'ke'si 阿贾克斯
'a'ka'si'ta 阿卡司塔
'a'la'ba'ma 阿拉巴马
'a'rui'tuo'sha 阿瑞托莎
'a'si'tuo'li'ya 阿斯托利亚
'a'wu'wei 阿武隈
'ai'dang 爱宕
'ai'ding'bao 爱丁堡
'ai'er'bin 埃尔宾
'ai'er'de'li'qi 埃尔德里奇
'ai'er'wen 艾尔温
'ai'fo'sen 埃佛森
'ai'ji'er 埃吉尔
'ai'ke'sai'te 埃克塞特
'ai'lun'sa'mu'na 艾伦萨姆纳
'ai'man'nu'ai'er'pei'sa'ge'nuo 埃曼努埃尔佩萨格诺
'ai'mi'er'bei'er'ting 埃米尔贝尔汀
'ai'mu'deng 埃姆登
'ai'sai'ke'si 埃塞克斯
'ai'si'ji'mo'ren 爱斯基摩人
'an'de'lie'ya'duo'li'ya 安德烈亚多利亚
'an'ke'lei'qi 安克雷奇
'an'ni'nv'wang'fu'chou'hao 安妮女王复仇号
'an'shan 鞍山
'ao'ding 奥丁
'ao'li'ke 奥利克
'ao'lie'ge 奧列格
'ao'ma'ha 奥马哈
'ba'dan 巴丹
'ba'er'de'mo 巴尔的摩
'ba'la'ka'shao'xiao 巴拉卡少校
'ba'tuo'luo'mei'ao'ke'lai'ao'ni 巴托洛梅奥科莱奥尼
'bai'feng 白凤
'bai'long 白龙
'bai'lu 白露
'bai'xue 白雪
'bai'yan'ju'ren 百眼巨人
'ban'er'wei 伴尔维
'ban'ren'ma 半人马
'bang'ke'shan 邦克山
'bei'an'pu'dun 北安普敦
'bei'er 贝尔
'bei'er'fa'si'te 贝尔法斯特
'bei'feng'bei 北风苝
'bei'ka'luo'lai'na 北卡罗来纳
'bei'lao'sen'lin 贝劳森林
'bei'li 贝利
'bei'qi 贝奇
'bei'ya'de 贝亚德
'bei'ya'en 贝亚恩
'ben'sen 本森
'bi'de'shi'te'la'sai 彼得史特拉塞
'bi'luo'ke'xi 比洛克西
'bi'rui 比叡
'bi'si'mai 俾斯麦
'biao'qiang 标枪
'biao'yu 杓鹬
'bin'feng 滨风
'bin'xi'fa'ni'ya 宾夕法尼亚
'bo'er'ta'wa 波尔塔瓦
'bo'er'zha'nuo 博尔扎诺
'bo'ge 博格
'bo'la 波拉
'bo'ming'han 伯明翰
'bo'te'lan 波特兰
'bo'yi'xi 博伊西
'bu'lai'mo'dun 布莱默顿
'bu'lei'si'te 布雷斯特
'bu'li'si'tuo'er 布里斯托尔
'bu'lu'ke'lin 布鲁克林
'bu'lun'nu'si 布伦努斯
'bu'lun'xi'er'de 布伦希尔德
'bu'lv'xie'er 布吕歇尔
'bu'nao 不挠
'bu'qu 不屈
'bu'shi 布什
'bu'zhi'huo 不知火
'cang'long 苍龙
'ceng'ke'hai'jun'shang'jiang 曾克海军上将
'cha'er'si'ao'si'ben 查尔斯奥斯本
'chai'jun 柴郡
'chang'bo 长波
'chang'chun 长春
'chang'dao 长岛
'chang'feng 长风
'chang'liang 长良
'chang'men 长门
'chang'yue 长月
'chao'chao 朝潮
'chi'cheng 赤城
'chu'chun 初春
'chu'shuang 初霜
'chu'yue 初月
'chu'yun 出云
'chuan'nei 川内
'chui'xue 吹雪
'chun'yue 春月
'da'chao 大潮
'da'dan 大胆
'da'dou'quan 大斗犬
'da'feng 大凤
'da'huang'feng 大黄蜂
'da'qing'hua'yu 大青花鱼
'da'shan 大山
'dai'duo 黛朵
'dan'ben 单本
'dan'fo 丹佛
'dao'feng 岛风
'de'lei'ke 德雷克
'de'li'ya'si'te 的里雅斯特
'de'wen'jun 德文郡
'de'yi'zhi 德意志
'di'gai'te'lu'yin 迪盖特鲁因
'di'guo 帝国
'di'kai'na 迪凯纳
'di'mi'te'li'dun'si'ke'yi 迪米特里顿斯科伊
'di'pu'lai'ke'si 迪普莱克斯
'ding'an 定安
'du'jiao'shou 独角兽
'du'li 独立
'du'liang'lai 渡良濑
'du'wei 杜威
'du'yi'si'bao 杜伊斯堡
'dun'ke'er'ke 敦刻尔克
'duo'sai'te'jun 多塞特郡
'e'du 恶毒
'e'ke'la'he'ma 俄克拉荷马
