'a'te'la'zhi'chao 阿特拉织巢
'ai'nang'chong 矮囊虫
'an'xi'zhi'di 安息之地
'an'ying'pi'feng 暗影披风
'ao'luo 奥罗
'ba'luo 巴洛
'bai'gong 白宫
'bai'se'fang'yu'zhe 白色防御者
'bai'yu'ting 白愈厅
'bao'ran'nang 爆燃囊
'bei'fang'zhu'de'ge'er 被放逐的格尔
'bian'chui'shou'wang'zhe 边陲守望者
'bing'jing'chong 冰晶虫
'bu'lei'ta 布蕾塔
'cai'jue'zhe 裁决者
'cai'si'feng'jiang 裁丝疯匠
'can'bao'de'shou'ying 残暴的兽蝇
'can'po'rong'qi 残破容器
'cang'bai'feng'gang'zhi'zhen 苍白蜂钢织针
'cang'bai'mu'lu 苍白苜鹿
'cang'bai'you 苍白油
'cang'bai'zhi'mu 苍白之母
'cang'bai'zhi'zhao 苍白之爪
'cang'lv'zhi'jing 苍绿之径
'chang'zhao 长爪
'chao'sheng'ju'han 朝圣巨汉
'chao'sheng'zhe'qi'suo 朝圣者憩所
'chi'lun'feng 齿轮蜂
'chi'yan'zhi'fu 炽焰之父
'chong'ye'ye 虫爷爷
'chun'cui'rong'qi 纯粹容器
'ci'shi'tou 磁石骰
'ci'shi'xiong'zhen 磁石胸针
'ci'xi'shu'wei 次席戍卫
'cui'ting 翠庭
'da'huang'feng'diao'xiang 大黄蜂雕像
'de'lu'yi'shuang'tong 德鲁伊双瞳
'de'te'mao'si 德特茅斯
'di'shi'er'xi'jian'zhu'shi 第十二席建筑师
'di'si'sheng'yong'tuan 第四圣咏团
'di'wang'zhi'yi 帝王之翼
'di'yu'shu'ku 低语书库
'dian'he'chao'xue 电荷巢穴
'dian'shu'qiu 电枢球
'ding'ci 钉刺
'duo'chong'fu'si'qi 多重缚丝器
'e'yi'pi'feng 蛾翼披风
'fan'ji'ying'zhi'wang 反击蝇之王
'fei'mao'tui'si'wei'fu'te 飞毛腿斯威夫特
'fei'ming'guan'feng'qin 废鸣管风琴
'fei'ye'shan 费耶山
'fei'zhen'chong'ci 飞针冲刺
'fen'chong'fang'yu'zhe 粪虫防御者
'feng'chao 蜂巢
'fu'di'chao'sheng'zhe 伏地朝圣者
'fu'nang'zhi'fu 腐囊之父
'fu'wen'zhi'nu 符文之怒
'fu'zhi'qu 腐殖渠
'fu'zhi'ze 腐汁泽
'fu'zhi'ze'jia'yi'zi 腐汁泽假椅子
'fu'zhong'huan'dai 负重环带
'gao'nang'chong 高囊虫
'gao'ting 高庭
'gao'ting'lian'zhan 高庭连战
'ge'li'shen'qin 格里什琴
'ge'lin'de'er 格林德尔
'ge'lu'zi'zhi'mu 格鲁兹之母
'gong'ju'dai 工具袋
'guo'wang'shan'dao 国王山道
'hai'di'zhen 骸底镇
'he'la 赫拉
'hei'gua'fu 黑寡妇
'hu'xiao'xuan'ya 呼啸悬崖
'hu'you'zhong 护佑钟
'huan'shou'qu 唤兽曲
'huan'yu'pi'feng 幻羽披风
'huang'zhao'yi'zhu 荒沼翼主
'hui'jue 灰蕨
'hui'se'wang'zi'zuo'te 灰色王子左特
'hui'zhao 灰沼
'hui'zhao'lian'zhan 灰沼连战
'huo'ling'zhu'cong 火灵竹从
'ji'ci'shou'huan 棘刺手环
'ji'feng'bu 疾风步
'ji'li 吉莉
'ji'lun'ren 机轮刃
'ji'shu'he'xin 机枢核心
'ji'shu'shu'wei 机枢戍卫
'ji'shu'wu'zhe 机枢舞者
'ji'ya 畸芽
'jia'meng'de'zha'zha 加蒙德扎扎
'jia'mian'mo'yu 假面魔芋
'jia'mu'lin 甲木林
'jia'qi'shi 假骑士
'jian'gong'xiong'di 监工兄弟
'jian'zhu'shi'wen'zhang 建筑师纹章
'jiao'tang'shi'nv 教堂侍女
'jing'jie'hua'huan 净界花环
'jing'ying'huang'pian'zhan'shi 精英簧片战士
'ju'chi'huan 锯齿环
'ju'fei'sheng'men 巨扉圣门
'ju'xing'luo'ying 巨型螺蝇
'ju'xing'tiao'zao 巨型跳蚤
'jue'dong'zuan 掘洞钻
'ka'la'ka'sha'chuan 卡拉卡沙川
'kan'shou'zhe 看守者
'ke'la'te 克拉特
'ke'wang'ka'han 壳王卡汗
'kong'dong'qi'shi 空洞骑士
'ku'lou'bao'jun 骷髅暴君
'kuang'bao'de'luo'ying 狂暴的螺蝇
'kuang'zao'ren'wei'feng 狂躁刃尾峰
'kui'ruo 奎若
'lei'shui'zhi'cheng 泪水之城
'lei'si 蕾丝
'lian'jin'shu'shi 炼金术士
'lie'ren 猎人
'lie'shou'wen'zhang 猎手纹章
'lie'zhe'xiao'jing 猎者小径
'lie'zhe'xiao'jing'xian'jing'yi'zi 猎者小径陷阱椅子
'ling'hun'da'shi 灵魂大师
'ling'si'feng'bao 灵丝风暴
'ling'si'sheng'teng 灵丝升腾
'ling'si'zhou'sui'pian 灵丝轴碎片
