'a'da'mu'si 阿达姆斯
'a'de'er'fei 阿德尔菲
'a'de'er'fei'qi'yue 阿德尔菲契约
'a'lai'de'ba'er 阿莱德巴尔
'a'long'dai'te 阿隆戴特
'a'po'luo'shi'ni 阿婆罗嗜尼
'a'qia'le'ba're'si 阿恰勒巴热斯
'a'si'ka'long 阿斯卡隆
'a'si'tei'li'weng 阿斯忒里翁
'a'zi'da'ha'ka 阿兹达哈卡
'ai'de'lin 埃德林
'ai'er 埃尔
'ai'ke'zhi'ren 埃克之刃
'ai'wo'fu 埃沃夫
'an'bu'luo'xi'ya 安布罗希亚
'an'bu'luo'xi'ya'nv'zi'xue'yuan 安布罗希亚女子学苑
'an'bu'luo'xi'ya'nv'zi'xue'yuan'gao'deng'xue'xiao 安布罗希亚女子学苑高等学校
'an'ka'le 安喀勒
'an'ma'shan'huan'jing'nv'zi'gao'deng'xue'xiao 鞍马山环境女子高等学校
'an'ma'shan'shi'yan'shi 鞍马山实验室
'an'ran'mei'gui 黯然玫瑰
'ao'lun'cai'luo 奥伦采罗
'ao'nie'men'di'xi'tong'gong'si 奥涅门迪系统公司
'ao'te'ke'lai'er 奥特克莱尔
'ao'te'lin'de 奥特琳德
'ba'er'meng'ke 巴尔蒙克
'ba'la 芭拉
'ba'sang'de'lie 巴桑德列
'bai'er'qi'ya 拜尔琪雅
'bai'he'qiu 百合丘
'bai'he'qiu'lun'li'dao'de'xue'xi'hui 百合丘伦理道德学习会
'bai'he'qiu'nv'zi'xue'yuan 百合丘女子学院
'bai'zhi'bi'shou 白之匕首
'bei'luo'du'ge'da 贝萝度格达
'bi'bu'li'ao'tai'ka 比布利奥泰卡
'bi'ge'nuo'si'zhi'jian 比格诺思之剑
'bo'lv'diu'ke'si 波吕丢刻斯
'bo'shi'dun'yong'zhe'ting 波士顿勇者庭
'bu'dou'yu'hun 布都御魂
'bu'ke'shi'zhe 不可视者
'bu'li'ou'na'ke 布里欧纳克
'bu'lu'tuo'gang'ge 布鲁托刚格
'bu'lu'zi'wei'ke 布鲁兹维克
'bu'lun'la'wen 布伦拉文
'bu'lun'xi'er'de 布伦希尔德
'bu'lun'xi'er'de'lai'en 布伦希尔德莱恩
'can'hai 残骸
'cha'li'man 查理曼
'cha'si'di'fa'er 查斯帝法尔
'chan'wan 蝉丸
'chao'pin 超频
'chao'ran'cun'zai 超然存在
'chao'xian 超限
'chen'xing 晨星
'cheng'dao'gong'ke'nv'xiao 城岛工科女校
'cheng'dao'gong'ke'nv'zi'gao'deng'xue'xiao 城岛工科女子高等学校
'chong'ji'feng'ge 冲击风格
'chong'ji'jian 冲击剑
'chu'dai'ya'er'fu'hai'mu 初代亚尔夫海姆
'chu'zhong'bu 初中部
'chu'zhong'bu'ping'ji'sai 初中部评级赛
'chuan'qiu 传球
'chuan'tian'yu'bei'dui 船田预备队
'ci'bei'zhi'jian 慈悲之剑
'ci'ding 刺钉
'ci'ji'ji'neng 次级技能
'ci'shi'zhi'li 此世之理
'cun'zheng'zhi'ren 村正之刃
'da'gong'shi 大攻势
'da'ji'fang'wei'zhan 大矶防卫战
'da'mu'ou'gong'si 大木偶公司
'dan'tiao 单挑
'dan'tiao'fu'gu'zhu'yi 单挑复古主义
'dan'tiao'nian'dai 单挑年代
'dan'tiao'zhu'yi'zhe 单挑主义者
'dao'yin'si'lei'fu 道因斯雷夫
'dao'yin'si'lei'fu'ka'bin 道因斯雷夫卡宾
'dao'yin'si'lei'fu'shen'she'shou 道因斯雷夫神射手
'de'lan'ge'wen'di'le 德兰格文蒂勒
'di'er'bu'dui 第二部队
'di'er'ci'da'ji'fang'wei'zhan 第二次大矶防卫战
'di'er'dai'ya'er'fu'hai'mu 第二代亚尔夫海姆
'di'er'fei'kong'ting'tuan'jia'bai'lie 第二飞空艇团加百列
'di'liu'fei'kong'ting'tuan'sha'li'ye 第六飞空艇团沙利叶
'di'qi'fei'kong'ting'tuan'lei'mi'er 第七飞空艇团雷米尔
'di'san'bu'dui 第三部队
'di'san'fei'kong'ting'tuan'la'fei'er 第三飞空艇团拉斐尔
'di'si'bu'dui 第四部队
'di'si'fei'kong'ting'tuan'wu'lie'er 第四飞空艇团乌列尔
'di'wei 底位
'di'wu'bu'dui 第五部队
'di'wu'fei'kong'ting'tuan'la'gui'er 第五飞空艇团拉贵尔
'di'yi'bu'dui 第一部队
'di'yi'fei'kong'ting'tuan'mi'jia'le 第一飞空艇团米迦勒
'di'yu'chun'xue'zhu'yi 地域纯血主义
'di'yu'di'yi'zhu'yi 地域第一主义
'ding'xiang'xing'dong'kong'zhi 定向行动控制
'dong'jing'dao'yu'bu'shi'yan'shi 东京岛屿部实验室
'dong'jing'dao'yu'qun 东京岛屿群
'dong'jing'quan'fang'wei'gou'xiang'hui'yi 东京圈防卫构想会议
'dong'jing'yu'san'jia 东京御三家
'dou'fa 都法
'dou'xing'shu 斗星塾
'dou'zi'guo'ji'nv'zi 逗子国际女子
'dou'zi'guo'ji'nv'zi'gao'deng'xue'xiao 逗子国际女子高等学校
'dou'zi'nv'xiao 逗子女校
'du'lin'da'er'te 杜林达尔特
'du'lun'da'er 杜伦达尔
'dui'zhang 队长
'dun'zhi'jie'mei 楯之姐妹
'dun'zhi'shao'nv 楯之少女
'duo'ji'ti'pei'zhi'xuan'ze'fa 多机体配置选择法
'e'lun'su'ge 厄伦苏格
'e'lun'su'ge'nv'zi'xue'yuan 厄伦苏格女子学园
'fa'fu'ni'er 法夫尼尔
'fan'ge'er'fu 梵格尔夫
'fan'jiu'shi'lian'he 反九世联合
'fan'she'bi 反射壁
'fan'tan'dou'peng 反弹斗篷
'fang'de'rui'er 方德瑞尔
'fang'wei'gou'xiang'hui'yi 防卫构想会议
'fang'zong'ban'dao'jie'fang'zhan 房总半岛解放战
'fei'er'nuo'te 菲尔诺特
'fei'fei'se'jin'guo'ji'gong'si 绯绯色金国际公司
'fei'kong'ting'tuan 飞空艇团
'fei'tuo'lian'he 吠陀联合
'fei'tuo'lian'he'gong'si 吠陀联合公司
'fei'ye'er'bu'wa'zhi'jian 菲耶尔布瓦之剑
'fen'bu'zhi 分部制
'feng'ji'wei'yuan 风纪委员
'feng'xin'zi'sha'long 风信子沙龙
'fo'la'ge'la'he 佛拉格拉赫
'fu'gang'tian'shen'nv'zi'gao'deng'xue'xiao 福冈天神女子高等学校
'fu'sheng'zhe 复生者
'fu'yuan 复元
'fu'yuan'ti 复原体
'fu'zhu'ji'qi'ren 辅助机器人
'gai'bo'er'jia 盖伯尔加
'gai'la'wo 盖拉沃
'gang'fu'de 冈弗德
'gang'ge'ni'er 冈格尼尔
'gang'ge'ni'er'ka'bin 冈格尼尔卡宾
'gao'er'sheng 高二生
'gao'huo'li'pao 高火力炮
'gao'san'sheng 高三生
'gao'ya'sheng'yue 高压圣约
'gao'ya'zhan'shu 高压战术
'gao'yi'sheng 高一生
'gao'zhong'bu 高中部
'ge'la'mo 格拉墨
'ge'la'xi'sa 格拉西萨
'ge'la'zi'hai'mu 格拉兹海姆
'ge'lang'ai'pu'lei 格朗艾普蕾
'gong'chang'ke 工厂科
'gong'gan'xian'xiang 共感现象
'gong'ting'qi'shi'shi'yan 宫廷骑士誓言
'gong'zhu 公主
'gu'xi'si'na'ta'er 古希斯纳塔尔
'gu'you'ji 固有技
'guan'hui'shi'yan 冠辉誓言
'guang'bi'xi'tong 光壁系统
'guang'bi'xi'tong'fang'wei'dui 光壁系统防卫队
'guang'hui'zhe'men 光辉者们
'guang'yu'fang'wei'lun 广域防卫论
'guang'zhi'jian 光之剑
'guo'ding'shou'bei'fan'wei 国定守备范围
'ha'kou'bei'han 哈寇贝汉
'hai'an'jing'wei'dui 海岸警卫队
'hai'bin'mu'zhang'sao'dang'zhan 海滨幕张扫荡战
'hai'fu'yue'te 海芙约特
'hai'shen'ji 海神戟
'he'er'wei'er 赫尔薇尔
'he'fo'lin 赫佛琳
'he'jin'zhi'zhan 赫金之战
'he'lu'ti 赫路提
'he'lun'ting 赫伦汀
'he'luo'en 赫萝恩
'hong'zhi'gui'ji 虹之轨迹
'hu'you'zhi'zi 护佑之子
'hu'zhang'wan 虎杖丸
'huan'xiang'ke'shi'hua 幻想可视化
'huan'xiang'lun 幻想论
'huang'zhi'si'wang 黄之死亡
'hui'xuan 回旋
'huo'fen'de 霍芬德
'ji'jin'pai 激进派
'ji'neng'zeng'jin 技能增进
'ji'qu 汲取
'ji'qu'zhi'chu 汲取之触
'ji'shi'fang'yu 即时防御
'jia'bai'lie 加百列
'jia'bai'lie'tuan 加百列团
'jia'er'cha'ge'li 加尔察戈里
'jia'fei'sheng'shan 甲斐圣山
'jia'fei'sheng'shan'nv'xiao 甲斐圣山女校
'jia'fei'sheng'shan'nv'zi'gao'deng'xue'xiao 甲斐圣山女子高等学校
'jia'jia'nuo'te 贾伽诺特
'jia'la'er'hao'jiao 加拉尔号角
'jia'la'tei'ya 伽拉忒亚
'jia'mu'ban'tai'yin 加姆班泰因
'jia'she 假射
'jia'zhou'che'tui'zhan 甲州撤退战
'jiang'zhi'dao'lin'hai'nv'zi'xue'xiao 江之岛临海女子学校
'jiao'gan 交感
'jiao'guan 教官
'jiao'guan'ren'ke'zhi 教官认可制
'jie'dui 结对
'jie'jie'da'ren 姐姐大人
'jie'mei'hui 姐妹会
'jin'ji'guan'shi'yan 金鸡冠誓言
'jin'lun'jia 金伦加
'jin'zai'zhang'wo 尽在掌握
'jing'gang'shou'fu'zhan 静冈收复战
'jing'he 晶核
'jing'he'jie'xian 晶核解限
'jing'jia 鲸岬
'jing'shen'lian'jie'xing 精神链接型
'jiu'ling'nv'zi'xue'yuan 九岭女子学园
'jiu'shi'lian'he 九世联合
'jiu'shi'lian'he'shi'dai 九世联合时代
'jiu'shi'lian'he'zhan'shu 九世联合战术
'jiu'wa'you'si 咎瓦尤斯
'jiu'zhou'jie'fang'zhan 九州解放战
'jue'xing 觉醒
'jun'he'jie'fang'zuo'zhan 骏河解放作战
'jun'shen'jia'hu 军神加护
'jun'tuan 军团
'ka'la'de'bo'jia 卡拉德波加
'ka'li'bo'en 卡利伯恩
'ka'li'bu'li'nu'si 卡里布里努斯
'ka'lv'bu'di'si 卡律布狄斯
'ka'mei'luo'cheng'bao'gong'si 卡美洛城堡公司
'kai'er'te'gu'gong'si 凯尔特谷公司
'ke'bian'zhen'xing 可变阵型
'ke'er'bu'lan'de 科尔布兰德
'ke'lao'suo'la'si 克劳索拉斯
'ke'lv'sa'e'er 克律萨俄耳
'kong'he 恐吓
