'a'er'ci'hai'mo'bing 阿尔茨海默病
'ai'ding'bao'chan'hou'yi'yu'liang'biao 爱丁堡产后抑郁量表
'ba'mao'zheng 拔毛症
'ban'lv'liao'fa 伴侣疗法
'bao'shi'zhang'ai 暴食障碍
'bei'hai'wang'xiang 被害妄想
'bei'wai'ce'qian'e'ye'pi'zhi 背外侧前额叶皮质
'ben'ti'huan'jue 本体幻觉
'bian'yuan'xing'mo'shi 边缘型模式
'bian'yuan'xing'ren'ge'zhang'ai 边缘型人格障碍
'bian'zheng'xing'wei'liao'fa 辩证行为疗法
'biao'yan'xing'ren'ge'zhang'ai 表演型人格障碍
'bing'li'xing'zhui'shu 病理性赘述
'bu'fen'fen'li'xing'shen'fen'zhang'ai 部分分离性身份障碍
'bu'xie'tiao'xing'jing'shen'yun'dong'xing'xing'fen 不协调性精神运动性兴奋
'chan'hou'jing'shen'bing 产后精神病
'chan'hou'yi'yu'zhang'ai 产后抑郁障碍
'chan'qian'yi'yu'zhang'ai 产前抑郁障碍
'chang'suo'kong'ju'zheng 场所恐惧症
'chao'jia'guan'nian 超价观念
'chi'dai 痴呆
'chong'dong'kong'zhi'zhang'ai 冲动控制障碍
'chong'fu'jing'lu'ci'ci'ji 重复经颅磁刺激
'chou'dong'zhang'ai 抽动障碍
'chu'shen'zhang'ai 出神障碍
'chuang'shang'hou'ying'ji'zhang'ai 创伤后应激障碍
'cuo'gou 错构
'cuo'jue 错觉
'dian'chou'chu'zhi'liao 电抽搐治疗
'ding'xiang'li'zhang'ai 定向力障碍
'dui'li'wei'kang'zhang'ai 对立违抗障碍
'duo'ci'shui'mian'qian'fu'qi'shi'yan 多次睡眠潜伏期试验
'e'nie'ye'chi'dai 额颞叶痴呆
'fa'yu'xing'xue'xi'zhang'ai 发育性学习障碍
'fa'yu'xing'yan'yu'huo'yu'yan'zhang'ai 发育性言语或语言障碍
'fa'yu'xing'yun'dong'xie'tiao'zhang'ai 发育性运动协调障碍
'fan'chu'fan'liu'zhang'ai 反刍反流障碍
'fan'she'hui'xing'ren'ge'zhang'ai 反社会型人格障碍
'fan'she'xing'huan'jue 反射性幻觉
'fan'ying'xing'yi'lian'zhang'ai 反应性依恋障碍
'fei'pang'di'tong'qi'zong'he'zheng 肥胖低通气综合征
'fei'xi'tong'xing'wang'xiang 非系统性妄想
'fei'xue'tong'wang'xiang 非血统妄想
'fen'li 分离
'fen'li'xing'shen'fen'zhang'ai 分离性身份障碍
'fen'li'xing'shen'jing'zheng'zhuang'zhang'ai 分离性神经症状障碍
'fen'li'xing'yi'wang'zheng 分离性遗忘症
'fen'li'xing'zhang'ai 分离性障碍
'fen'lie'xing'ren'ge'zhang'ai 分裂型人格障碍
'fu'he'xing'chuang'shang'hou'ying'ji'zhang'ai 复合性创伤后应激障碍
'fu'ti'chu'shen'zhang'ai 附体出神障碍
'fu'xing'qing'gan 负性情感
'gan'jue 感觉
'gan'jue'guo'min 感觉过敏
'gan'jue'jian'tui 感觉减退
'gan'zhi'zong'he'zhang'ai 感知综合障碍
'gang'sai'zong'he'zheng 刚塞综合征
'ge'xing 个性
'gong'bing 共病
'gong'ji'xing'wei 攻击行为
'gong'neng'xing'huan'jue 功能性幻觉
'gong'neng'xing'jin'hong'wai'guang'pu'ji'shu 功能性近红外光谱技术
'gu'du'zheng'pu'xi'zhang'ai 孤独症谱系障碍
'guan'jian'shi'jian'ying'ji'bao'gao'fa 关键事件应激报告法
'guan'xi'wang'xiang 关系妄想
'guang'fan'xing'jiao'lv'zhang'ai 广泛性焦虑障碍
'guang'fan'xing'jiao'lv'zhang'ai'liang'biao 广泛性焦虑障碍量表
'han'mi'er'dun'jiao'lv'liang'biao 汉密尔顿焦虑量表
'han'mi'er'dun'yi'yu'liang'biao 汉密尔顿抑郁量表
'huan'chu 幻触
'huan'jue 幻觉
'huan'jue'wang'xiang'zong'he'zheng 幻觉妄想综合征
'huan'shi 幻视
'huan'ting 幻听
'huan'wei 幻味
'huan'xing'xin'jing 环性心境
'huan'xiu 幻嗅
'huan'zhe'jian'kang'wen'juan'yi'yu'zi'ping'liang'biao 患者健康问卷抑郁自评量表
'hui'bi'xian'zhi'xing'she'shi'zhang'ai 回避限制性摄食障碍
'hui'bi'xing'ren'ge'zhang'ai 回避型人格障碍
'hun'mi 昏迷
'hun'shui 昏睡
'hun'zhuo 混浊
