'an'guan'shi 案管室
'bu'gan'fu'bu'neng'fu'bu'xiang'fu 不敢腐不能腐不想腐
'cheng'qian'bi'hou'zhi'bing'jiu'ren'fang'zhen 惩前毖后治病救人方针
'chu'fen'qi 处分期
'cong'yan'guan'li'jian'du 从严管理监督
'da'tie'bi'xu'zi'shen'ying 打铁必须自身硬
'dang'de'er'shi'da 党的二十大
'dang'de'er'shi'jie'san'zhong'quan'hui 党的二十届三中全会
'dang'de'ji'lv'jian'she 党的纪律建设
'deng'xia'hei 灯下黑
'deng'xiao'ping'li'lun 邓小平理论
'di'er'ge'bai'nian'fen'dou'mu'biao 第二个百年奋斗目标
'di'er'shi'jie'zhong'yang'ji'lv'jian'cha'wei'yuan'hui 第二十届中央纪律检查委员会
'di'er'shi'jie'zhong'yang'wei'yuan'hui 第二十届中央委员会
'er'shi'jie'li'ci'quan'hui 二十届历次全会
'er'shi'jie'zhong'yang'ji'wei'si'ci'quan'hui 二十届中央纪委四次全会
'fan'fu'bai'dou'zheng 反腐败斗争
'fan'fu'bai'yong'yuan'zai'lu'shang 反腐败永远在路上
'feng'fu'tong'cha'tong'zhi 风腐同查同治
'fu'bai'zi'sheng'de'tu'rang'he'tiao'jian 腐败滋生的土壤和条件
'gan'yu'shan'yu'dou'zheng 敢于善于斗争
'gao'zhi'liang'fa'zhan 高质量发展
'gong'jian'zhan'chi'jiu'zhan'zong'ti'zhan 攻坚战持久战总体战
'gu'li'dan'dang'zuo'wei 鼓励担当作为
'guo'zhi'da'zhe 国之大者
'he'shi'tan'hua'shi 核实谈话室
'hong'hong'lian'chu'chu'han 红红脸出出汗
'ji'guo 记过
'ji'jian'jian'cha'ti'zhi'gai'ge 纪检监察体制改革
'ji'jian'jian'cha'tie'jun 纪检监察铁军
'ji'lv'chu'fen 纪律处分
'jian'chi'dang'de'quan'mian'ling'dao 坚持党的全面领导
'jian'chi'gao'zhi'liang'fa'zhan 坚持高质量发展
'jian'chi'quan'mian'shen'hua'gai'ge 坚持全面深化改革
'jian'chi'ren'min'zhi'shang 坚持人民至上
'jian'chi'tong'chou'fa'zhan'he'an'quan 坚持统筹发展和安全
'jian'chi'you'xiao'shi'chang'he'you'wei'zheng'fu'xiang'jie'he 坚持有效市场和有为政府相结合
'jian'du'jian'cha'shi 监督检查室
'jian'du'tan'hua 监督谈话
'jian'du'tan'hua'shi 监督谈话室
'jian'du'zhi'ji'zhi'fa 监督执纪执法
'jie'mian 诫勉
'jie'mian'tan'hua 诫勉谈话
'jing'gao 警告
'jing'zhun'ke'xue'wen'ze 精准科学问责
'kai'chu'dang'ji 开除党籍
'kai'chu'gong'zhi 开除公职
'ke'xue'fa'zhan'guan 科学发展观
'kong'quan 控权
'li'an'shen'cha'diao'cha 立案审查调查
'liang'ge'que'li 两个确立
'liang'ge'wei'hu 两个维护
'liu'dang'cha'kan 留党察看
'ma'ke'si'lie'ning'zhu'yi 马克思列宁主义
'mao'ze'dong'si'xiang 毛泽东思想
'qi'ge'ju'jiao 七个聚焦
'qi'ge'you'zhi 七个有之
'qing'chu'fen 轻处分
'quan'mian'cong'yan'zhi'dang 全面从严治党
'quan'mian'jian'cheng'she'hui'zhu'yi'xian'dai'hua'qiang'guo 全面建成社会主义现代化强国
'quan'mian'shen'hua'gai'ge 全面深化改革
'rong'cuo'ji'zhi 容错机制
'san'ge'dai'biao'zhong'yao'si'xiang 三个代表重要思想
'san'ge'qu'fen'kai'lai 三个区分开来
'she'hui'zhu'yi'min'zhu'fa'zhi'jian'she 社会主义民主法治建设
'shen'cha'diao'cha'shi 审查调查室
'shen'cha'diao'cha'tan'hua'shi 审查调查谈话室
'shi'wu'wu 十五五
'shi'zhi'shi'ze 失职失责
'shou'quan 授权
'si'feng'wen'ti 四风问题
'si'ge'quan'mian 四个全面
'si'ge'yi'shi 四个意识
'si'ge'zi'xin 四个自信
'si'zhong'xing'tai 四种形态
'tong'chou'fa'zhan'he'an'quan 统筹发展和安全
'tong'chou'guo'nei'guo'ji'liang'ge'da'ju 统筹国内国际两个大局
'wan'zheng'zhun'que'quan'mian'guan'che'xin'fa'zhan'li'nian 完整准确全面贯彻新发展理念
'wen'zhong'qiu'jin'gong'zuo'zong'ji'diao 稳中求进工作总基调
'wu'wei'yi'ti 五位一体
'xun'cha 巡察
'xun'shi 巡视
'yan'ming'zheng'zhi'ji'lv'he'zheng'zhi'gui'ju 严明政治纪律和政治规矩
'yan'zhong'jing'gao 严重警告
'ying'tan'yi'fu 蝇贪蚁腐
'you'fu'bi'fan 有腐必反
'you'tan'bi'su 有贪必肃
'zheng'feng'su'ji'fan'fu 正风肃纪反腐
'zheng'wu'chu'fen 政务处分
'zheng'zhi'jian'du 政治监督
'zheng'zhi'jian'du'ju'ti'hua'jing'zhun'hua'chang'tai'hua 政治监督具体化精准化常态化
'zhi'ze'dan'ze'lv'ze 知责担责履责
'zhong'cheng'gan'jing'dan'dang 忠诚干净担当
'zhong'chu'fen 重处分
'zhong'guo'shi'xian'dai'hua 中国式现代化
'zhong'guo'te'se'she'hui'zhu'yi'zhi'du 中国特色社会主义制度
'zhong'hua'min'zu'wei'da'fu'xing 中华民族伟大复兴
'zhong'yang'ba'xiang'gui'ding'jing'shen'xue'xi'jiao'yu 中央八项规定精神学习教育
'zhong'yang'zheng'zhi'ju 中央政治局
'zhuan'an'zu 专案组
'zhuan'xiang'xing'dong 专项行动
'zu'zhi'chu'li 组织处理
