'ce'shi 测试
'dai'kuan 带宽
'dan'yan 单验
'diu'bao'lv 丢包率
'dou'dong 抖动
'fu'zai'jun'heng 负载均衡
'gao'fu'he 高负荷
'ji'dai'ban 基带板
'ji'xian 基线
'ling'xin'ren 零信任
'lou'lan 漏缆
'lu'you'xie'yi 路由协议
'pin'pu'fen'xi 频谱分析
'rong'liang'gui'hua 容量规划
'rong'yu 冗余
'shang'chuan'su'lv 上传速率
'sheng'ji'kuo'rong 升级扩容
'shi'xi 时隙
'shi'yan 时延
'shu'ju'zhi'cha 数据质差
'sui'dao 隧道
'tian'kui'tiao'zheng 天馈调整
'tian'xian 天线
'tun'tu'liang 吞吐量
'tun'tu'lv 吞吐率
'wang'luo'tuo'pu 网络拓扑
'wu'xian'you'hua 无线优化
'xia'zai'su'lv 下载速率
'xin'dao'gan'rao 信道干扰
'xing'neng'ping'gu 性能评估
'yu'yin'zhi'cha 语音质差
'zhu'kong'ban 主控板
'zhua'bao 抓包
