'chuan'shou 船艏
'chuan'wei 船艉
'chuan'zhang'jia'ban 船长甲板
'di'ceng'jia'ban 底层甲板
'fu'shi'tu 俯视图
'fu'shi'tu'fan'mian 俯视图反面
'hou'shi'tu 后视图
'hua'gang'ban'jia'ban 花钢板甲板
'ji'cang'shang'jia'ban 机舱上甲板
'ji'cang'xia'jia'ban 机舱下甲板
'jia'ban'xia 甲板下
'jia'shi'jia'ban 驾驶甲板
'lei'wei'hao 肋位号
'luo'jing'jia'ban 罗经甲板
'shou'bu 艏部
'shou'lou'jia'ban 艏楼甲板
'tie'han 贴焊
'wei'bu 艉部
'wei'lou 艉楼
'wei'lou'jia'ban 艉楼甲板
'xiang'shou'bu'kan 向艏部看
'xiang'wei'bu'kan 向艉部看
'xiang'you'xian'kan 向右舷看
'xiang'zuo'xian'kan 向左舷看
'yang'shi'tu 仰视图
'you'shi'tu 右视图
'you'xian 右舷
'zhu'jia'ban 主甲板
'zhu'shi'tu 主视图
'zuo'shi'tu 左视图
'zuo'xian 左舷
