'an'tang'ren'mu 庵堂认母
'ba'qiao'zhu 八窍珠
'ba'xian'shang'shou 八仙上寿
'bai'hu'ling 白虎岭
'bai'luo'shan 白罗山
'bai'she'zhuan 白蛇传
'bai'yue'ji 拜月记
'ban'zhuo 半桌
'bao'gong 包公
'bao'gong'xiu'qi 包公休妻
'bao'liu'shu'mu 保留书目
'bao'yu'ye'tan 宝玉夜探
'bi'jian'lian'yin 比剑联姻
'bi'yun'peng 毕云鹏
'bi'yun'xian 毕云显
'bie'feng 别凤
'bu'lou'dong 补漏洞
'cai'hui'hua 蔡惠华
'cai'ping 彩苹
'cai'zi'shu 才子书
'cao'xiao'jun 曹啸君
'chang'ci 唱词
'chang'fang 场方
'chang'gong'shu 唱功书
'chang'jiao'xiao'hua 长脚笑话
'chang'pian'ping'tan 长篇评弹
'chang'qiang 唱腔
'chang'sheng'dian 长生殿
'chang'shu'tuan 常熟团
'chang'ting'qi'bie 长亭泣别
'chang'yi 长艺
'chen'cui'e 陈翠娥
'chen'fu'ren 陈夫人
'chen'lian 陈廉
'chen'tiao 陈调
'chen'wei'bo 陈卫伯
'chen'xi'an 陈希安
'chen'xi'du'xin 陈喜读信
'chen'xiang 沉箱
'chen'xiang'shan 沉香扇
'chen'yu'shi 陈御史
'chi'luo'si 吃螺蛳
'chong'shan'zhi'wei 冲山之围
'chou'jian 酬柬
'chu'ke 出窠
'chuan'jian 传柬
'chuan'tong'kai'pian 传统开篇
'chuan'tong'shu 传统书
'chuan'tong'shu'mu 传统书目
'ci'huo 辞伙
'da'hong'pao 大红袍
'da'jiu'lian'huan 大九连环
'da'ming'ying'lie'zhuan 大明英烈传
'da'nao'yan'wu'tang 大闹演武堂
'da'niang'niang 大娘娘
'da'ru'xiang 大儒巷
'da'sheng'tang 大生堂
'da'shi'tai 大师太
'da'shu 大书
'da'xiang'men 打巷门
'da'zhong'jun 打中军
'dai'yu'fen'gao 黛玉焚稿
'dai'yu'li'hun 黛玉离魂
'dai'yu'zang'hua 黛玉葬花
'dan'dang 单档
'dang'jia 当家
'dao'hui 刀会
'dao'qing 道情
'dao'qing'diao 道情调
'dao'zhong 道众
'dian'dao'gu'ren 颠倒古人
'dian'jiang'chun 点绛唇
