'an'ying'ji'ben 暗影疾奔
'ba'fu'xiong'di 霸符兄弟
'bao'ji'lv'dong 暴击律动
'bing'han 冰寒
'bing'shuang'you'ling 冰霜幽灵
'bo'li'da'pao 玻璃大炮
'bu'dong'ru'shan 不动如山
'bu'xiang'qi'yue 不祥契约
'cai'jue'shi 裁决使
'can'bao'zhi'li 残暴之力
'can'ren 残忍
'chao'nao'gui 吵闹鬼
'chao'qiang'da'nao 超强大脑
'chi'lie'li'ming 炽烈黎明
'chuan'zhen'yin'xian 穿针引线
'da'di'su'xing 大地苏醒
'da'li 大力
'dan'bai'fen'nai'xi 蛋白粉奶昔
'di'yu'san'tou'quan 地狱三头犬
'dian'liang'ta'men 点亮他们
'die'jiao'long 叠角龙
'duo'jin 夺金
'e'qu'wei 恶趣味
'fa'shu'su'xing 法术苏醒
'fang'hu'mian'sha 防护面纱
'feng'yu'zhe'de'zhu'fu 风语者的祝福
'fu'chong'hong'zha 俯冲轰炸
'gan'shou'ran'shao 感受燃烧
'ge'li'ya'ju'ren 歌利亚巨人
'geng'wan'yong'de'miao'zhun'jing 更万用的瞄准镜
'gu'shi'jia'niang 古式佳酿
'guan'jian'bao'ji 关键暴击
'gui'dao'lei'she 轨道镭射
'hai'yang'long'hun 海洋龙魂
'hui'gui'ji'ben'gong 回归基本功
'hui'xin'fang'yu 会心防御
'hui'xin'zhi'liao 会心治疗
'huo'li'zai'sheng 活力再生
'huo'shang'jiao'you 火上浇油
'ji'guang'zhi'liao 激光治疗
'ji'ji'xiao'zi 急急小子
'ji'jiu'yong'ju 急救用具
'ji'shi'fa'shi 基石法师
'jia'yuan'wei'shi 家园卫士
'jian'duan'fa'ming'jia 尖端发明家
'jian'ren 坚韧
'jian'ruo'pan'shi 坚若磐石
'jie'er'lian'san 接二连三
'jing'guai'mo'fa 精怪魔法
'jing'zhun'qi'cai 精准奇才
'ju'ren'sha'shou 巨人杀手
'ju'xiang'de'yong'qi 巨像的勇气
'kan'shang 砍伤
'ke'xue 渴血
'ke'xue'kuang'ren 科学狂人
'kuai'zhong'qiu'wen 快中求稳
'kuang'tu'hao'qi 狂徒豪气
'lao'lian'ju'shen 老练狙神
'lei'she'yan 镭射眼
'li'ming'shi'zhe'de'jian'jue 黎明使者的坚决
'li'ren'hua'er'zi 利刃华尔兹
'lian'bo'ji'chui 连拨击锤
'lian'tui'ri 练腿日
'lian'yu'dao'guan 炼狱导管
'lian'yu'long'hun 炼狱龙魂
'liang'chu'ni'de'jian 亮出你的剑
'liang'xing'xun'huan 良性循环
'liang'zi'ji'suan 量子计算
'ling'hun'hong'xi 灵魂虹吸
'ling'qiao 灵巧
'man'dun 慢炖
'mao'shang'jia'mao 帽上加帽
'mi'shu'chong'quan 秘术冲拳
'mian'bao'he'guo'jiang 面包和果酱
'mian'bao'he'huang'you 面包和黄油
'mian'bao'he'nai'lao 面包和奶酪
'mo'fa'fei'dan 魔法飞弹
'mo'fa'zhuan'wu'li 魔法转物理
'mo'gui'zhi'wu 魔鬼之舞
'ni'mo'bu'dao 你摸不到
'pan'duo'la'de'he'zi 潘朵拉的盒子
'pu'cong'da'shi 仆从大师
'qiang'li'hu'dun 强力护盾
'qin'shi 侵蚀
