'an'ling'lang 黯灵狼
'an'yan'shou 暗焰兽
'bao'fu'zhi 饱腹值
'bao'lan'chu'long 宝蓝雏龙
'bao'lu 暴露
'bao'shai 暴晒
'bei'bao'wei'de'bao'xiang 被包围的宝箱
'beng'jie 崩解
'bi'yu'ling'long 碧羽灵龙
'bian'shen'cai'ji 变身菜鸡
'bing'ling'ou 冰灵偶
'bing'ling'zai 冰灵仔
'bing'su'lang 冰速狼
'bo'he'li 波河狸
'cai'ji 菜鸡
'cai'ji'gong'ju 采集工具
'cai'ji'wu 采集物
'cai'ji'xian'zhi 采集限制
'cai'kuang'chang 采矿场
'chao'xian'ti 超限体
'chao'zhong 超重
'chen'zhong 沉重
'cheng'fang 盛放
'chi'jing'jia 赤晶甲
'chong'ci 冲刺
'chuan'jia'xi 穿甲蜥
'dian'ling'ou 电灵偶
'dian'yin'hua 电音花
'du'lu 嘟噜
'dui'jue'shou'pai 对决手牌
'duo'shu'xing'ke'zhi 多属性克制
'e'zu 厄卒
'er'duan'tiao 二段跳
'fa'mu'chang 伐木场
'fan'zhi'ji 反制技
'fei'xing'zuo'ji 飞行坐骑
'feng'jian'ying 风剪鹰
'feng'ling'bao 风灵苞
'feng'ling'duo 风灵朵
'feng'ling'ou 风灵偶
'feng'ling'zai 风灵仔
'feng'qie 风切
'feng'wo 风涡
'fu'ben 副本
'fu'die 浮蝶
'fu'hua'zhuang 孵化桩
'fu'jia'qiu 覆甲犰
'fu'zhu'xing'qi'bo 辅助型奇波
'gong'ji 攻击
'gong'jian 攻坚
'gu'lu'lu 菇噜噜
'guang'yu 广域
'gun'di'qiu 滚地犰
'ha'jia 哈加
'han'leng 寒冷
'he'li'da'shi 河狸大师
'he'li'zai 河狸仔
'hong'bao'chong 红宝虫
'huan'die 幻蝶
'hui'yin'ji'tan 辉印祭坛
'huo'hua'que 火花雀
'huo'lie'ying 火烈鹰
'huo'ling'ou 火灵偶
'huo'ling'zai 火灵仔
'ji'huo'zhi'tan 祭火之坛
'ji'sheng 寄生
'ji'xian'fan'ji 极限反击
'jia'du 加杜
'jian'ren'xing'qi'bo 坚韧型奇波
'ju'ci'xiong'niao 巨刺凶鸟
'jue'dou'xi 角斗蜥
'jun'heng 均衡
'ke'zhao'huan'qu'yu 可召唤区域
'la'jia'ye'zhu 拉加野猪
'lan'ling'ou 岚灵偶
'lan'yin'hua 岚音花
'lei'bao 雷暴
'lei'guan'mao 雷冠牦
'lei'ling'bao 雷灵苞
'lei'ling'duo 雷灵朵
'lei'ling'ou 雷灵偶
'lei'ling'zai 雷灵仔
'lei'ming 雷鸣
'liao'li 料理
'liao'li'guo 料理锅
'lie'xu'shi'zhu 列序石柱
'lie'yan 烈焰
'lie'yan'jiao'niu 烈焰角牛
'luo'guan'ling'hu 萝冠灵狐
'man'ling'ou 蔓灵偶
'man'yin'hua 蔓音花
'mi'lang 谜狼
'mi'shi'de'xi'ling 迷失的息灵
'miao'ji 苗鸡
'mu'ling'bao 木灵苞
'mu'ling'duo 木灵朵
'mu'ling'ou 木灵偶
'mu'ling'zai 木灵仔
'mu'rong'tu 目绒兔
'nuo'nuo'de'zhu 诺诺的猪
'peng'wei'hu 蓬尾狐
'qi'bo'dan 奇波蛋
'qi'bo'qian'ban 奇波牵绊
'qi'bo'xing'jie 奇波星结
'qi'bo'yu'yuan'su 奇波与元素
'qiang'ji'xing'qi'bo 强击型奇波
'qie'huan'jue'se 切换角色
'qin'shi 侵蚀
'quan'yu 全域
'rao'dong 扰动
'rong'yan'qiu 熔岩犰
'rou'feng'ying 柔风鹰
'san'jiao'xi 三角蜥
'sen'cai'ling'die 森彩灵蝶
'sen'jing'lu 森境鹿
'shan'bi 闪避
'shi'jian'tiao'zheng 时间调整
'shi'xu 失序
'shi'xu'bao'fa 失序爆发
'shi'xu'chao'xian 失序超限
'shou'lie'chang 狩猎场
'shou'pi 兽皮
'shuang'ling'ou 霜灵偶
'shuang'ren'lang 霜刃狼
'shui'ling'ou 水灵偶
'shui'ling'zai 水灵仔
'shui'yan'ling 水岩灵
'shui'yan'wei 水岩卫
'su'ya'hua'cai'ji 苏亚化菜鸡
'su'ya'jing'hua 苏亚净化
'sui'bing'tu 碎冰兔
'suo'ding 锁定
'tao'zhuang 套装
'tie'qiu'xi 铁球蜥
'tie'zong'ba'zhu 铁鬃霸主
'tu'xi 突袭
'tui'jin 推进
'wei'huo'yang 尾火羊
'wu'mi 乌咪
'wu'qiu'wa 雾球蛙
'wu'zhan'wa 雾粘蛙
'xi'ling'de'you'xi 息灵的游戏
'xi'ling'ou 汐灵偶
'xia'lu'lu'cun 夏露露村
'xian'wei 纤维
'xiao'fu'die 小浮蝶
'xiao'xue'lang 小雪狼
'xiao'ya'hu 小芽狐
'xin'ya'shan'gu 新芽山谷
'xing'ci 星赐
'xing'hui'kuang 星辉矿
'xing'jie'ka 星结卡
'xing'jie'zhi'yin 星结之印
'xing'jue'ji 星决技
'xing'jue'xu'neng 星决蓄能
'xing'mai'jie'dian 星脉节点
'xing'ming'ji 星鸣技
'xing'sha'ke'hen 星沙刻痕
'xing'xie'dian 星携点
'xing'xie'ji 星携技
'xing'yao 星鳐
'xing'yu'li 星愈力
'xing'yun'yi'ou 星云伊欧
'xiu'fu'shi'xiang 修复石像
'xun'jie 迅捷
'xun'lang 迅狼
'xun'ling'ta'ban 巡灵踏板
'xun'zhao'wu'mi 寻找乌咪
'yan'huo'que 焰火雀
'yan'jia'xi 岩甲蜥
'yan'jing'jia 炎晶甲
'yan'ling'long 焰翎龙
'yan'ling'ou 焰灵偶
'yan'mo 淹没
'yan'mou'mou 焰哞哞
'yan'niu'niu 焰牛牛
'yan'yang'yang 焰羊羊
'yan'zhuo'jiao'yang 炎灼角羊
'ye'guan'tuo 叶冠驼
'ye'wai'cai'ji 野外采集
'yi'bei'fang'zhen 遗碑方阵
'yi'dong 移动
'yi'dong'yu'gong'ji 移动与攻击
'yi'se 异色
'yi'se'qi'bo 异色奇波
'yi'sui 易碎
'yong'qi'zhi'ling 勇气之灵
'yuan'su'ji'tan 元素祭坛
'yuan'su'jun'heng 元素均衡
'yuan'su'ke'zhi 元素克制
'zhao'huan'qi'bo 召唤奇波
'zhi'liao'xing'qi'bo 治疗型奇波
'zhi'lu'cao'yin'lu 指路草引路
'zhong'ji 重击
'zhu'gu'li 猪古力
'zhu'shou 驻守
'zhuang'bei 装备
'zhuo'shao 灼烧
'zu'zan'ka'zhi'ti 祖赞卡之梯
'zuan'shan'xi 钻山蜥
'zuo'qi 坐骑
'zuo'qi'tiao'zhan 坐骑挑战
