'a'da'xi 阿达西
'a'gui 阿鬼
'a'la'bo'ju'feng 阿拉伯飓风
'a'xiu'luo'shan'kong 阿修罗闪空
'ai'de 艾德
'ai'lin'na 艾琳娜
'an'quan'tiao 安全跳
'ao'bi'sha 凹必杀
'ao'sheng'long 凹升龙
'ba'shan'ti 霸山踢
'ba'ti 霸体
'bai'gui'xi 百鬼袭
'bai'lie'shou 百裂手
'bai'lie'tui 百裂腿
'bai'sen 拜森
'ban'bian 板边
'ban'yun 搬运
'ban'yun'gong 搬运工
'ban'zhong 板中
'bao'an 保安
'bao'bao'hui 爆爆回
'bao'hui 爆回
'ben'tian 本田
'beng'fang 迸放
'beng'qiang 迸墙
'bi'sha 必杀
'bi'sha'ji 必杀技
'bi'sha'ren'feng 必杀忍蜂
'bo'dong 波动
'bo'dong'xian'jing 波动陷阱
'bo'dun 波盾
'bo'zhang'ji 波掌击
'bu'lan'ka 布兰卡
'bu'li 不利
'bu'zhi'huo'wu 不知火舞
'cai'tou 踩头
'cha'he 差和
'cha'he'xian'jing 差和陷阱
'chai'tou 拆投
'chao'bi'sha 超必杀
'chao'bi'sha'ren'feng 超必杀忍蜂
'chao'ji'bao'bao'hui 超级爆爆回
'chao'ji'yan'yan'wu 超级炎炎舞
'cheng'guan 城管
'cheng'long 成龙
'chi'xu 持续
'chun'li 春丽
'chun'li'a'yi 春丽阿姨
'da'er'xi'mu 达尔西姆
'da'fei'jiao 大飞脚
'da'hong'an'niu 大红按钮
'da'kang 打康
'da'tou'ze 打投择
'da'zuo 大坐
'dan'di 弹地
'dan'fa'que'ren 单发确认
'dan'qiang 弹墙
'dang'shen 当身
'dao'di 倒地
'deng'san'lun 蹬三轮
'di'bo 地波
'di'ci 地刺
'di'jian 地箭
'di'jie 迪杰
'di'kong 低空
'di'yu'ci 地狱刺
'dian'bo 电波
'dian'chen 点辰
'dian'ren 电刃
'dian'tou 点投
'dian'zuan 电钻
'dong'yuan'feng'bao 冻原风暴
'dou'qi 斗气
'dou'qi'beng'fang 斗气迸放
'dou'qi'chong'feng 斗气冲锋
'dou'qi'zhao'jia 斗气招架
'du'pao 毒泡
'du'she 毒蛇
'dui'bo'wu'di 对波无敌
'dui'kong 对空
'dun'qing'jiao 蹲轻脚
'dun'qing'quan 蹲轻拳
'dun'qing'tui 蹲轻腿
'dun'zhong'jiao 蹲中脚
'dun'zhong'jiao 蹲重脚
'dun'zhong'quan 蹲中拳
'dun'zhong'quan 蹲重拳
'dun'zhong'tui 蹲中腿
'dun'zhong'tui 蹲重腿
'duo'da 哆哒
'e'gui'she'xing 恶鬼蛇行
'er'jiu 二酒
'er'qi 二气
'fa'bo 发波
'fa'sheng 发生
'fan'beng 反迸
'fan'gun 翻滚
'fan'yao 反摇
'fang'yu 防御
'fang'zhen'zhan'xing 方阵战型
'feng'shui'yin'qing 风水引擎
'fu'he 复合
'fu'kong 浮空
'fu'zhen 负帧
'gu'lie 古烈
'gui'dao 跪倒
'guo'bo 过波
'hao'gui 豪鬼
'he'jiu 喝酒
'hong'beng 红迸
'hou'che'bu 后撤步
'hou'hou 后后
'hou'qi'shen 后起身
'hou'tiao 后跳
'hou'zou 后走
'hua'bu 滑步
'hua'die'shan 花蝶扇
'huan'bian 换边
'huang'kang 黄康
'hui'kong 挥空
'hui'xuan'he'jiao'ti 回旋鹤脚踢
'hui'xuan'zhuang 回旋撞
'huo'qiu 火球
'huo'shan'zi 火扇子
'huo'wu 火舞
'ji'feng'xun'lei 疾风迅雷
'ji'qiang'shou'dao 机枪手刀
'jia'mi 嘉米
'jia'tui 架腿
'jia'zhen 加帧
'jian'dao'jiao 剪刀脚
'jiang'jun 将军
'jiang'xiang'yin'qing 酱香引擎
'jiao'dao 脚刀
'jie'kong 截空
'jie'lv'chong 截绿冲
'jie'mi 杰米
'jin'bo'li 金柏莉
'jin'gang'zhuo'huo 金刚灼火
'jing'fang 精防
'jing'shen'li'lao'deng 精神力老登
'jing'shen'li'xiao'deng 精神力小登
'jing'shen'li'zhong'deng 精神力中登
'jiu'gui 酒鬼
'jiu'meng'zi 酒蒙子
'ju'li'xian'jing 距离陷阱
'jue'chang'mo'shen 绝唱魔身
'kang'tou 康投
'ken'shi'fu 肯师傅
'kong'bo 空波
'kong'jian 空箭
'ku'shuang 酷爽
'kuang'long'zheng 狂隆症
'la'xi'de 拉希德
'lan'fang 蓝防
'lao'deng 老登
'lao'ken 牢肯
'lao'long 牢隆
