'ba'si 拔丝
'bai'zi 白渍
'bai'zi'jin'qu 白渍尽去
'bao'xian 爆线
'bi'you'bu'diao 笔油不掉
'bi'zi 笔渍
'bian'se 变色
'bian'xing 变形
'cha'zi 茶渍
'chen'chang 衬长
'chen'po 衬破
'chen'xi'hou'bu'jing 衬洗后不净
'cheng'tuan 成团
'chong'zhu 虫蛀
'chuan'se 串色
'da'se 搭色
'dai'kou'diao 带扣掉
'dang'po 裆破
'dao'rong 倒绒
'dian'jian'bian'xing 垫肩变形
'diao'kou'zi 掉扣子
'diao'mao 掉毛
'diao'pi 掉皮
'diao'rong 掉绒
'diao'shai 掉色
'duo'chu'da'se 多处搭色
'duo'chu'gou'xian 多处勾线
'duo'chu'hua'hen 多处划痕
'duo'chu'kai'jiao 多处开胶
'duo'chu'lan 多处烂
'duo'chu'po 多处破
'duo'chu'se'ban 多处色斑
'fa'bai 发白
'fa'hei 发黑
'fa'huang 发黄
'fa'mei 发霉
'fa'mei'zi'bu'diao 发霉渍不掉
'fa'ying 发硬
'fan'guang 反光
'gan'lie 干裂
'ge'bian'lie 革变裂
'gou'si 勾丝
'gou'xian 勾线
'gua'shang 刮伤
'gua'si 刮丝
'guang'ze'cha 光泽差
'guo'zi 果渍
'hei'zi 黑渍
'hong'la'zhu'zi 红蜡烛渍
'hong'zi 红渍
'hua'hen 划痕
'hua'hua 划花
'huang'zi 黄渍
'huang'zi'you'yin 黄渍有印
'ji'you'zi 机油渍
'jiao'hen 焦痕
'jiao'lan 焦烂
'jiao'shui 胶水
'jin'tang 尽烫
'jiu'zi 酒渍
'jun'lie 龟裂
'ka'fei'zi 咖啡渍
'kai'jiao 开胶
'kai'lie'diao'pi 开裂掉皮
'kai'xian 开线
'kou'bu'yi 扣不一
'kou'diao'qi 扣掉漆
'kou'hong'bu'diao 口红不掉
'kou'lao'hua 扣老化
'kou'po 扣破
'kou'yang'hua 扣氧化
'ku'jiao'lan 裤脚烂
'la'lian'huai 拉链坏
'la'lian'pi'huai 拉链皮坏
'la'lian'tou'diao'shai 拉链头掉色
'la'lian'tou'mo'sun 拉链头磨损
'la'suo'tou'diao 拉锁头掉
'li'po 里破
'liang'pian'diao 亮片掉
'ling'mo 领磨
'lou'di 露底
'luan'mao 乱毛
'lv'zi 绿渍
'mao'bu'juan 毛不卷
'mao'bu'shun 毛不顺
'mao'ling'fa'lv'se'cha 毛领发绿色差
'mei'ban 霉斑
'mian'liao'lao'hua 面料老化
'mo'bai 磨白
'mo'hua 磨花
'mo'lan 磨烂
'mo'liang 磨亮
'mo'mao 磨毛
'mo'po 磨破
'mo'sun 磨损
'mo'yang 磨烊
'mo'zi 墨渍
'nai'zi 奶渍
'ni'zi 泥渍
'niu'kou'diao'shai 纽扣掉色
'ou'tu'wu 呕吐物
'pai'si 排丝
'pi'ban'fa'ying 皮板发硬
'pi'cao 皮草
'pi'mian'lao'hua 皮面老化
'pi'shang 皮伤
'pi'you'cha'bie 皮有差别
'po'sun 破损
'qi'dian'huai'sun 气垫坏损
'qi'jing 起镜
'qi'liang 起亮
'qi'mao 起毛
'qi'pao 起泡
'qi'qiu 起球
'qi'tuan 起团
'qi'zhou 起皱
'que'kou 缺扣
'que'la'lian'tou 缺拉链头
'que'mao 缺帽
'que'mao'ling 缺毛领
'que'xiu'dai 缺袖带
'que'yao'dai 缺腰带
'ran'se 染色
'se'cha 色差
'se'hua 色花
'shao'kou 少扣
'shao'pei'shi 少配饰
'shao'se 少色
'shao'shang 烧伤
'shao'shang'biao 少商标
'shuai'mao 甩毛
'shuai'niu 甩钮
'shuai'se 甩色
'shuai'si 甩丝
'shui'yin 水印
'shui'you'yin'bu'diao 水油印不掉
'song'jin'lao'hua 松紧老化
'suo'shui 缩水
'tang'dong 烫洞
'tang'shang 烫伤
'te'zang 特脏
'tian'chong'wu'bu'yun 填充物不匀
'tie'mao 贴毛
'tu'ceng'huai 涂层坏
'tu'ceng'tuo'luo 涂层脱落
'tui'shai 退色
'tuo'jiao 脱胶
'tuo'mao 脱毛
'tuo'xian 脱线
