'an'ji'jia'suan'zhi 氨基甲酸酯
'an'ji'jia'suan'zhi'lei 胺基甲酸酯类
'bai'cao'wei 稗草畏
'ben'an'ling 苯胺灵
'ben'bing'fu'nan'lei 苯并呋喃类
'ben'cao'mi 苯草醚
'ben'ji'bi'zuo'lei 苯基吡唑类
'ben'ji'da'qin'lei 苯基哒嗪类
'ben'ji'jia'xian'an'lei 苯基甲酰胺类
'ben'ji'mi'lei 苯基醚类
'ben'ji'san'zuo'lin'tong'lei 苯基三唑啉酮类
'ben'ji'ya'an'lei 苯基亚胺类
'ben'ji'za'huan'lei 苯基杂环类
'ben'jia'xian'an 苯甲酰胺
'ben'mi'huang'cao'an 苯嘧磺草胺
'ben'sai'xian'cao'an 苯噻酰草胺
'ben'yang'da'qin 苯氧哒嗪
'ben'zuo'cao'tong 苯唑草酮
'bi'cao'mi 吡草醚
'bi'cao'tong 吡草酮
'bi'ding'weng'lei 吡啶鎓类
'bi'fu'xian'cao'an 吡氟酰草胺
'bi'zuo'cao'an 吡唑草胺
'bi'zuo'lei 吡唑类
'bi'zuo'te 吡唑特
'bian'cao'dan 苄草丹
'bian'cao'long 苄草隆
'bian'cao'zuo 苄草唑
'bian'ji'mi 苄基醚
'bing'cao'an 丙草胺
'bing'que'cao'an 丙炔草胺
'bing'que'e'cao'tong 丙炔噁草酮
'bing'que'fu'cao'an 丙炔氟草胺
'cao'an'lin 草铵膦
'cao'gan'lin 草甘膦
'cao'ku'mi 草枯醚
'chao'chang'lian'zhi'fang'suan'he'cheng'yi'zhi'ji 超长链脂肪酸合成抑制剂
'chu'cao'mi 除草醚
'ci'lin'suan'lei 次膦酸类
'da'cao'te 哒草特
'di'cao'an 敌草胺
'di'cao'jing 敌草腈
'di'cao'kuai 敌草快
'di'le'fen 地乐酚
'di'san'lin 地散磷
'dian'ben'jing 碘苯腈
'ding'cao'an 丁草胺
'ding'cao'di 丁草敌
'ding'xi'cao'an 丁烯草胺
'du'cao'an 毒草胺
'e'cao'tong 噁草酮
'e'qin'cao'tong 噁嗪草酮
'er'ben'ji'za'huan'lei 二苯基杂环类
'er'ben'mi'lei 二苯醚类
'er'bing'xi'cao'an 二丙烯草胺
'er'jia'cao'an 二甲草胺
'er'jia'fen'cao'an 二甲吩草胺
'er'liu'dai'lin'suan'zhi 二硫代磷酸酯
'er'xiao'fen 二硝酚
'er'xiao'ji'ben'fen'lei 二硝基苯酚类
'fa'cao'kuai 伐草快
'fan'qie'hong'su'huan'hua'mei'yi'zhi'ji 番茄红素环化酶抑制剂
'fang'an'bing'suan 芳胺丙酸
'fang'ji'jia'suan'lei 芳基甲酸类
'feng'bi'cao'zuo 砜吡草唑
'fu'an'cao'zuo 氟胺草唑
'fu'bi'cao'tong 氟吡草酮
'fu'bi'cao'zong'na'yan 氟吡草腙钠盐
