'a'shu'yi'er'ba 阿舒已二八
'a'xuan'xing'zhi'xue 阿宣行志学
'ai'ai'kong'zhong'mie 暧暧空中灭
'ai'ai'tang'qian'lin 蔼蔼堂前林
'ai'ai'ting'yun 霭霭停云
'ai'ai'yuan'ren'cun 暧暧远人村
'ai'chan'wu'liu'xiang 哀蝉无留响
'ai'zai'yi'ke'shang 哀哉亦可伤
'an'ci'ri'fu 安此日富
'an'de'bu'wei'huan 安得不为欢
'an'de'bu'xiang'yu 安得不相语
'an'de'cu'xi 安得促席
'an'de'jiu'li'xi 安得久离析
'an'er'ju'shi'mie 黯尔俱时灭
'an'le'bu'wei'jun 安乐不为君
'an'pin'shou'jian'zhe 安贫守贱者
'an'zhi'wu'wei'gui 安知物为贵
'ao'ran'zi'zu 傲然自足
'ba'biao'tong'hun 八表同昏
'ba'biao'xu'yu'hai 八表须臾还
'ba'gan'gong'cheng'lin 八干共成林
'ba'zheng'shi'shi 八政始食
'bai'fa'bei'liang'bin 白发被两鬓
'bai'fa'yi'yi'fan 白发一已繁
'bai'hui'ju'yi'fei 百卉具已腓
'bai'luo'you'you'tan 摆落悠悠谈
'bai'nian'gui'qiu'long 百年归丘垄
'bai'ri'lun'xi'he 白日沦西河
'bai'ri'yan'jing'fei 白日掩荆扉
'bai'shi'dang'shui'chuan 百世当谁传
'bai'yang'yi'xiao'xiao 白杨亦萧萧
'bai'yu'ning'su'ye 白玉凝素液
'bai'yun'su'yan'duan 白云宿檐端
'ban'bai'huan'you'yi 斑白欢游诣
'ban'ban'you'xiang'niao 班班有翔鸟
'ban'jing'zuo'song'xia 班荆坐松下
'ban'zuo'yi'yuan'liu 班坐依远流
'bao'hen'ru'he 抱恨如何
'bao'pu'han'zhen 抱朴含真
'bei'cong'di'zhong'de 悲从弟仲德
'bei'feng'ai'jing'ye 悲风爱静夜
'bei'feng'ji'wo'huai 悲风激我怀
'bei'fu'chang'bu'wan 被服常不完
'bei'he'xin'zi'de 被褐欣自得
'bei'jin'hu'zi'qing 杯尽壶自倾
'bei'lei'ying'xin'ling 悲泪应心零
'bei'lin'rong'qie'feng 北林荣且丰
'ben'bu'zhi'gao'yuan 本不植高原
'ben'jing'hai'liu 奔鲸骇流
'ben'wei'mi'zhe'sheng 本为迷者生
'beng'lang'guo'tian'xiang 崩浪聒天响
'bi'ci'geng'gong'zhi 彼此更共之
'bi'er'bu'fu'yi 必尔不复疑
'bi'fu'reng'bu'zhou 弊服仍不周
'bi'jin'bu'yan'zhou 弊襟不掩肘
'bi'lu'he'bi'guang 敝庐何必广
'bi'lu'jiao'bei'feng 弊庐交悲风
'bian'yan'bei'wu'suo 边雁悲无所
'bin'bian'zao'yi'bai 鬓边早已白
'bing'lei'huan'shi'wu 秉耒欢时务
'bing'qi'gua'suo'xie 禀气寡所谐
'bing'tan'man'huai'bao 冰炭满怀抱
'bing'zhi'si'cong 秉直司聪
'bing'zi'gu'lou 禀兹固陋
'bo'ya'yu'zhuang'zhou 伯牙与庄周
'bo'yan'dong'jiao 薄言东郊
'bo'zhi'qie'mo'nian 拨置且莫念
'bo'zuo'shao'shi'lin 薄作少时邻
'bu'bu'xun'wang'ji 步步寻往迹
'bu'jian'suo'wen'jin 不见所问津
'bu'jian'xiang'zhi'ren 不见相知人
'bu'jiu'dang'ru'he 不久当如何
'bu'jue'zhi'you'wo 不觉知有我
'bu'lai'gu'qiong'jie 不赖固穷节
'bu'le'fu'he'ru 不乐复何如
'bu'mian'zhi'xi'yong 不眠知夕永
'bu'sheng'shan'si'mu 卜生善斯牧
'bu'shi'liu'yu'qi 不识六与七
'bu'shi'yi'bu'chi 不驶亦不迟
'bu'si'fu'bu'lao 不死复不老
'bu'wei'hang'dang'jiu 不谓行当久
'bu'wei'hao'jue'ying 不为好爵萦
'bu'xi'yi'bu'ju 不喜亦不惧
'bu'xue'kuang'chi'zi 不学狂驰子
'bu'yan'chun'zuo'ku 不言春作苦
'bu'yi'yu'jun'zi 不以喻君子
'bu'you'tong'ai 不有同爱
'bu'yuan'dao'li'chang 不怨道里长
'bu'yun'jia'ri 卜云嘉日
'bu'zai'jie'bei'jiu 不在接杯酒
'bu'zhi'bi'men'li 步止荜门里
'bu'zhi'ji'he'nian 不知几何年
'bu'zhi'jing'he'zhi 不知竟何之
'cai'cai'rong'mu 采采荣木
'cai'ju'dong'li'xia 采菊东篱下
'cai'ju'zu'chao'can 采莒足朝餐
'can'can'han'ri 惨惨寒日
'can'can'san'zhu'shu 粲粲三珠树
'can'ran'you'xin'li 粲然有心理
'can'sheng'ru'gui 飡胜如归
'cang'cang'gu'zhong'shu 苍苍谷中树
'cang'geng'zai'ming 仓庚载鸣
'cao'lu'ji'qiong'xiang 草庐寄穷巷
'cao'mu'cong'heng'shu 草木从横舒
'cao'mu'de'chang'li 草木得常理
'cao'rong'shi'jie'he 草荣识节和
'cao'sheng'dou'miao'xi 草盛豆苗稀
'cao'wu'ba'jiu'jian 草屋八九间
'ce'ce'bei'jin'ying 恻恻悲襟盈
'ce'chuang'duo'suo'bei 恻怆多所悲
'ce'wo'ming'ji 策我名骥
'chang'feng'wu'xi'shi 长风无息时
'chang'gong'zeng'yi'shi 长公曾一仕
'chang'hen'du'ce'hai 怅恨独策还
'chang'ji'zhi'yu'lao 长饥至于老
'chang'kong'da'hua'jin 常恐大化尽
'chang'kong'fu'suo'huai 常恐负所怀
'chang'kong'gong'yu'wei 常恐功愈微
'chang'kong'shuang'xian'zhi 常恐霜霰至
'chang'ku'gu'yi'ju 长枯固已剧
'chang'kuang'du'chang'bei 猖狂独长悲
'chang'shan'zhou'zhe'xin 常善粥者心
'chang'yi'chu'jun'fu 长揖储君傅
'chang'yin'yan'chai'men 长吟掩柴门
'chang'you'hao'rong'yan 常有好容颜
'chao'qi'mu'gui'mian 朝起暮归眠
'chao'wei'fei'niao'tang 朝为飞鸟堂
'chao'wei'guan'yuan 朝为灌园
'chao'wei'wang'mu'shi 朝为王母使
'chao'yu'ren'yi'sheng 朝与仁义生
'chen'chu'si'wei'qin 晨出肆微勤
'chen'feng'qing'xing 晨风清兴
'chen'ji'bu'ken'ming 晨鸡不肯鸣
'chen'jue'chi'xu'lei 尘爵耻虚罍
'chen'niao'mu'lai'huan 晨鸟暮来还
'chen'qu'yu'lin 晨去于林
'chen'qu'yue'he'guan 晨去越河关
'chen'se'zou'jing'feng 晨色奏景风
'chen'xi'kan'shan'chuan 晨夕看山川
'chen'xin'er'yan 称心而言
'chen'xin'gu'wei'hao 称心固为好
'chen'xing'li'huang'hui 晨兴理荒秽
'chen'yao'qi'hua 晨耀其华
'chen'yin'ni'xun'she 沉阴拟薰麝
'chen'zhi'bu'neng'qi 晨止不能起
'cheng'ming'you'bu'qin 成名犹不勤
'cheng'yuan'you'kun'hua 诚愿游崑华
'chi'chi'chu'lin'he 迟迟出林翮
'chi'chi'jiang'hui'bu 迟迟将回步
'chi'ci'gan'ren'duo 持此感人多
'chi'ci'yu'he'cheng 持此欲何成
'chi'quan'gei'wo'yin 赤泉给我饮
'chi'yu'si'gu'yuan 池鱼思故渊
'chong'hua'gu'ling'fen 重华固灵坟
'chong'hua'qu'wo'jiu 重华去我久
'chong'hua'wei'zhi'lai 重华为之来
'chong'shu'zuo'mei'jiu 舂秫作美酒
'chou'chang'nian'chang'can 惆怅念常飡
'chou'ding'chai'sang 酬丁柴桑
'chou'liu'chai'sang 酬刘柴桑
'chou'ren'nan'wei'ci 愁人难为辞
'chou'xi'jia'shang'jing 畴昔家上京
'chou'xi'ku'chang'ji 畴昔苦长饥
'chu'gao'you'chang'wen 刍藁有常温
'chu'men'wan'li'ke 出门万里客
'chu'yu'jun'bie'shi 初与君别时
